team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2024,1,North Melbourne,3,W,37,5,2.0,2,7,,,,1.0,1.0,,1.0,1.0,1.0,,,5.0,2,,,2.0,,,91,2024-03-15
Fremantle,2024,2,Adelaide,4,W,37,4,4.0,10,14,,,,2.0,1.0,1.0,,1.0,,1.0,,6.0,9,1.0,,3.0,1.0,,83,2024-03-22
Fremantle,2024,3,Carlton,5,L,37,2,2.0,2,4,,,,,1.0,,,1.0,,1.0,,1.0,3,,,4.0,,,92,2024-03-29
Fremantle,2024,4,Port Adelaide,6,L,37,2,2.0,8,10,,,,1.0,2.0,,,3.0,,1.0,,5.0,5,,,3.0,,,94,2024-04-05
Fremantle,2024,5,West Coast,7,L,37,7,9.0,5,12,,,,1.0,1.0,,,1.0,,1.0,,2.0,10,,,4.0,,,86,2024-04-12
Fremantle,2024,6↓,Western Bulldogs,8,W,37,2,1.0,1,3,,,,,1.0,,,,,,,1.0,2,,,1.0,,,16,2024-04-19
Fremantle,2024,7,Richmond,9,W,37,6,5.0,4,10,,,,2.0,2.0,,,1.0,,,,3.0,6,1.0,,1.0,,,80,2024-04-26
Fremantle,2024,8,Sydney,10,L,37,3,3.0,3,6,,,,1.0,2.0,,,1.0,1.0,1.0,,2.0,4,1.0,,6.0,,,80,2024-05-03
Fremantle,2024,9,St Kilda,11,W,37,2,2.0,2,4,,,,,1.0,,,2.0,,2.0,,,4,,,4.0,,,87,2024-05-10
Fremantle,2024,10↓,Collingwood,12,D,37,6,5.0,1,7,,,,2.0,2.0,,,1.0,,1.0,,2.0,5,1.0,,2.0,,,60,2024-05-17
Fremantle,2024,11,Melbourne,13,W,37,5,5.0,11,16,,,,,2.0,,,,,,,4.0,12,,,4.0,1.0,,89,2024-05-24
Fremantle,2024,12,Western Bulldogs,15,L,37,7,5.0,2,9,,,,1.0,3.0,,,5.0,1.0,4.0,,4.0,6,1.0,,5.0,,,82,2024-06-07
Fremantle,2024,13,Sydney,17,W,37,12,8.0,2,14,,,,2.0,4.0,3.0,,1.0,1.0,,1.0,6.0,9,1.0,,12.0,,,91,2024-06-21
Fremantle,2024,14,Richmond,18,W,37,4,,2,6,,,,2.0,2.0,,,,,,,2.0,4,,,,,,66,2024-06-28
Fremantle,2024,15,Hawthorn,19,L,37,9,9.0,3,12,,,,,2.0,,,1.0,,1.0,,4.0,8,2.0,,2.0,,,90,2024-07-05
Fremantle,2024,16,West Coast,21,W,37,6,4.0,12,18,,,,,3.0,,,,,,,3.0,15,,,2.0,1.0,,89,2024-07-19
Fremantle,2024,17,Essendon,22,L,37,5,5.0,6,11,,,,,,,,1.0,,1.0,,4.0,8,1.0,,3.0,,,88,2024-07-26
Fremantle,2024,18,Geelong,23,L,37,10,5.0,9,19,,,,1.0,3.0,,,1.0,2.0,,,8.0,11,1.0,,2.0,,,89,2024-08-02
Fremantle,2024,19,Greater Western Sydney,24,L,37,2,,2,4,,,,1.0,2.0,1.0,,2.0,,2.0,,2.0,3,,,2.0,,,89,2024-08-09
Fremantle,2024,20,Port Adelaide,25,L,37,5,4.0,8,13,,,,,2.0,,,2.0,,,,8.0,5,2.0,,5.0,,1.0,94,2024-08-16
Fremantle,2025,21,Geelong,2,L,37,5,5.0,4,9,,,,2.0,2.0,,,1.0,,1.0,,2.0,8,,,1.0,,,74,2025-03-08
Fremantle,2025,22↑,Sydney,3,L,37,5,1,2,7,,,,2,,1,,,2,,,5,2,,,4,,1,46,2025-03-15
Fremantle,2025,23,West Coast,4,W,37,3,2,1,4,,,,,1,1,1,1,,,,2,2,1,,3,,,88,2025-03-22
Fremantle,2025,24,Western Bulldogs,5,W,37,5,2,3,8,,,,2,3,,,2,1,2,,3,5,,,12,,,87,2025-03-29
