team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2020,1,Brisbane Lions,9,L,38,6,2.0,3.0,9,,1.0,21,2.0,,3.0,3.0,2,1.0,2.0,,6.0,2.0,1.0,1.0,1.0,,,78,2020-04-26
Essendon,2020,2,Greater Western Sydney,10,L,38,9,1.0,4.0,13,1.0,1.0,16,,1.0,1.0,6.0,5,3.0,4.0,,9.0,3.0,,1.0,2.0,,,83,2020-05-03
Essendon,2020,3,St Kilda,12,L,38,6,1.0,,6,,,22,1.0,2.0,4.0,2.0,2,1.0,1.0,,2.0,3.0,,,2.0,,,84,2020-05-17
Essendon,2020,4,Richmond,13,L,38,9,6.0,4.0,13,,,14,4.0,4.0,1.0,1.0,3,2.0,2.0,,8.0,5.0,2.0,,,,,77,2020-05-24
Essendon,2020,5,West Coast,15,L,38,4,,1.0,5,,,17,4.0,,3.0,,2,1.0,2.0,,2.0,3.0,,,5.0,,,84,2020-06-07
Essendon,2020,6,Geelong,16,L,38,8,3.0,1.0,9,,1.0,26,2.0,1.0,1.0,1.0,2,1.0,2.0,,4.0,6.0,1.0,,1.0,,,80,2020-06-14
Essendon,2020,7,Port Adelaide,17,L,38,3,2.0,4.0,7,,,18,1.0,,2.0,2.0,3,1.0,1.0,,5.0,3.0,1.0,,3.0,,,75,2020-06-21
Essendon,2020,8,Melbourne,18,L,38,1,,3.0,4,,,13,1.0,,1.0,,2,,1.0,,1.0,3.0,,,5.0,,,85,2020-06-28
Essendon,2021,9,Hawthorn,1,L,2,5,2.0,5.0,10,1.0,1.0,24,5.0,1.0,3.0,4.0,4,2.0,2.0,3.0,8.0,3.0,2.0,1.0,4.0,,,84,2021-03-01
Essendon,2021,10,Port Adelaide,2,L,2,2,,1.0,3,,,17,3.0,,1.0,,2,,2.0,,,1.0,,,4.0,,,65,2021-03-08
Essendon,2021,11,Hawthorn,14,W,2,12,6.0,3.0,15,,,18,2.0,3.0,2.0,9.0,6,,1.0,,14.0,2.0,4.0,,9.0,,,81,2021-05-31
Essendon,2021,12,Melbourne,15,L,2,6,1.0,4.0,10,,,10,1.0,1.0,1.0,4.0,4,2.0,2.0,,6.0,4.0,,,9.0,,,77,2021-06-07
Essendon,2021,13,Geelong,16,L,2,5,1.0,2.0,7,,,34,,1.0,2.0,,3,,1.0,,3.0,3.0,1.0,1.0,2.0,,,82,2021-06-14
Essendon,2021,14,Adelaide,17,W,2,5,2.0,5.0,10,,,17,3.0,,2.0,6.0,2,1.0,1.0,,5.0,4.0,,1.0,6.0,1.0,1.0,74,2021-06-21
Essendon,2021,15,North Melbourne,18,W,2,4,2.0,4.0,8,,1.0,19,1.0,2.0,3.0,4.0,1,1.0,,,3.0,4.0,,1.0,2.0,,1.0,81,2021-06-28
Essendon,2021,16,Greater Western Sydney,19,L,2,6,1.0,5.0,11,,,27,1.0,2.0,3.0,7.0,5,4.0,4.0,,8.0,3.0,,,4.0,,,77,2021-07-05
Essendon,2021,17,Sydney,20,L,2,7,4.0,4.0,11,,1.0,23,1.0,2.0,3.0,5.0,2,1.0,1.0,,10.0,3.0,2.0,1.0,6.0,,,79,2021-07-12
Essendon,2021,18,Western Bulldogs,21,W,2,7,3.0,4.0,11,1.0,,39,1.0,2.0,2.0,4.0,5,,3.0,,8.0,3.0,1.0,1.0,2.0,,1.0,83,2021-07-19
Essendon,2021,19,Gold Coast,22,W,2,8,3.0,2.0,10,,,24,,1.0,3.0,5.0,4,1.0,2.0,1.0,6.0,4.0,2.0,,2.0,,,79,2021-07-26
Essendon,2021,20,Collingwood,23,W,2,6,1.0,1.0,7,,,20,1.0,1.0,2.0,4.0,4,2.0,3.0,,6.0,,1.0,,1.0,,,79,2021-08-02
Essendon,2021,21,Western Bulldogs,EF,L,2,12,5.0,6.0,18,,2.0,44,4.0,5.0,5.0,5.0,3,2.0,2.0,,12.0,6.0,2.0,1.0,3.0,,,85,2021-03-01
Essendon,2022,22,Geelong,1,L,2,5,1.0,7.0,12,,,33,3.0,1.0,1.0,6.0,2,4.0,1.0,,10.0,3.0,,,9.0,,,83,2022-03-01
Essendon,2022,23,Brisbane Lions,2,L,2,9,1.0,4.0,13,,,32,1.0,2.0,4.0,3.0,3,1.0,2.0,,8.0,5.0,,,2.0,,1.0,83,2022-03-08
