team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2023,1,St Kilda,8,L,41,8,4.0,5,13,,1.0,,1.0,1.0,2.0,1.0,,2.0,,,5.0,7,,,1.0,,,70,2023-04-19
North Melbourne,2023,2,Port Adelaide,9,L,41,3,1.0,4,7,,,,2.0,,,,3.0,,1.0,,1.0,6,,1.0,,,,78,2023-04-26
North Melbourne,2023,3↓,Sydney,10,L,41,2,,4,6,,,,,,,,2.0,,,,2.0,4,,,,,1.0,41,2023-05-03
North Melbourne,2023,4↑,Richmond,23,L,41,1,,2,3,,1.0,,2.0,,,,1.0,,1.0,,1.0,2,,,,,,48,2023-08-02
North Melbourne,2024,5,Geelong,6,L,41,13,11.0,4,17,2.0,,,2.0,2.0,4.0,2.0,2.0,1.0,,,4.0,13,,2.0,,,1.0,85,2024-04-05
North Melbourne,2024,6,Hawthorn,7,L,41,7,3.0,2,9,1.0,,,1.0,,3.0,,,,,,,9,,1.0,1.0,,,76,2024-04-12
North Melbourne,2024,7,Adelaide,8,L,41,5,3.0,7,12,,,,,1.0,4.0,,1.0,,,,6.0,5,,,1.0,,,82,2024-04-19
North Melbourne,2024,8,St Kilda,9,L,41,5,3.0,6,11,,,,3.0,,1.0,,2.0,1.0,,,2.0,9,,,1.0,,,66,2024-04-26
North Melbourne,2024,9↓,Gold Coast,10,L,41,2,1.0,4,6,,,,1.0,,1.0,,2.0,,,,2.0,4,,,,,,54,2024-05-03
North Melbourne,2024,10↑,Hawthorn,25,L,41,5,3.0,1,6,,,,,2.0,1.0,,1.0,,,,2.0,3,1.0,,,,,60,2024-08-24
