team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2025,1,West Coast,4,W,43,9,3,1,10,2,,,,,4,,,,,,2,9,,1,1,1,,69,2025-03-22
Fremantle,2025,2,Western Bulldogs,5,W,43,5,3,7,12,1,,,3,,2,,2,,,,1,11,,,,,,71,2025-03-29
Fremantle,2025,3↑,Richmond,6,W,43,4,3,2,6,,1,,,,2,,,,,,1,5,1,1,,4,,23,2025-04-05
Fremantle,2025,4↑,Melbourne,7,L,43,3,2,2,5,1,,,,,2,,,,,,,5,,1,,,,28,2025-04-12
Fremantle,2025,5↓,Adelaide,8,W,43,3,,1,4,,1,,4,,2,,2,1,,,2,1,,,3,,2,60,2025-04-19
Fremantle,2025,6,St Kilda,9,L,43,4,1,3,7,1,1,,8,1,,,,,,,2,5,,,2,,1,83,2025-04-26
Fremantle,2025,7,Collingwood,10,L,43,7,4,,7,1,2,,3,,2,,2,,1,,1,6,,3,,,1,72,2025-05-03
Fremantle,2025,8↓,Greater Western Sydney,11,W,43,7,4,1,8,,2,,,,4,,3,,2,,2,6,,,,,,65,2025-05-10
Fremantle,2025,9,Port Adelaide,12,W,43,9,5,3,12,2,,,2,,4,1,4,,2,,6,7,,1,,,3,73,2025-05-17
Fremantle,2025,10,St Kilda,17,W,43,4,,1,5,1,,,2,,2,1,1,1,,,2,2,,,2,,,77,2025-06-21
Fremantle,2025,11,Sydney,18,L,43,4,3,6,10,1,1,,1,1,2,,1,1,1,,6,4,,1,1,,1,65,2025-06-28
Fremantle,2025,12↑,Hawthorn,19,W,43,1,,1,2,,,,1,,,,1,,,,1,1,,,,,,21,2025-07-05
Fremantle,2025,13,West Coast,21,W,43,8,3,2,10,1,,,1,,1,2,1,,,,5,6,,1,1,,2,73,2025-07-19
Fremantle,2025,14,Carlton,22,W,43,2,,6,8,2,,,1,,,,1,1,1,,4,4,,,1,,1,67,2025-07-26
Fremantle,2025,15↓,Port Adelaide,23,W,43,1,,1,2,,1,,,,,,2,,1,,,3,,,,,,47,2025-08-02
Fremantle,2025,16,Gold Coast,EF,L,43,3,2,2,5,2,,,3,1,1,,2,,,,1,5,,2,2,,1,61,2025-08-09
Fremantle,2026,17,Geelong,2,L,43,7,1,3,10,3,2,,4,,1,,2,,1,,5,6,,1,1,,1,65,2026-03-08
Fremantle,2026,18,Melbourne,3,W,43,9,2,6,15,3,1,,4,2,3,1,3,1,,,4,11,,1,,1,1,80,2026-03-15
Fremantle,2026,19,Richmond,4,W,43,5,3,6,11,1,,,2,,2,,2,2,1,,7,6,,,,,,62,2026-03-22
Fremantle,2026,20,Adelaide,5,W,43,6,1,6,12,1,1,,2,,1,,4,1,3,,4,9,,1,,,2,78,2026-03-29
Fremantle,2026,21,Collingwood,6,W,43,6,2,2,8,2,,,4,1,,1,4,1,1,,3,3,,1,1,,,71,2026-04-05
Fremantle,2026,22,West Coast,7,W,43,3,3,2,5,,,,3,,2,,,,,,1,4,,,,,1,75,2026-04-12
Fremantle,2026,23,Carlton,8,W,43,4,1,2,6,,1,,2,,1,1,1,,1,,3,3,,1,,,1,63,2026-04-19
Fremantle,2026,24,Western Bulldogs,9,W,43,2,,4,6,1,,,2,,,1,2,1,1,,3,4,,,1,,2,68,2026-04-26
Fremantle,2026,25,Hawthorn,10,W,43,3,1,,3,1,1,,3,,1,,1,2,,,3,1,,1,,,,71,2026-05-03
Fremantle,2026,26,Essendon,11,W,43,6,1,5,11,1,,,4,,4,2,2,,,,5,7,,,3,,2,70,2026-05-10
Fremantle,2026,27,St Kilda,12,W,43,7,1,2,9,2,,,3,,1,,3,,1,,4,4,,,,,2,64,2026-05-17
Fremantle,2026,28,Brisbane Lions,13,W,43,4,2,5,9,1,,,2,,1,1,,1,,,3,7,,1,1,,,64,2026-05-24
Fremantle,2026,29,North Melbourne,14,W,43,5,1,7,12,1,,,,,1,,2,,1,,5,6,,,,1,,72,2026-05-31
