team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2015,1↑,Carlton,2,W,14,3,3.0,2.0,5,,1.0,,,,1.0,,1.0,,,,2.0,4,,1.0,,,,17,2015-03-08
West Coast,2015,2↑,Fremantle,3,L,14,3,,1.0,4,,,,1.0,,,,2.0,,1.0,,2.0,2,,,1.0,,,28,2015-03-15
West Coast,2015,3↑,Brisbane Lions,4,W,14,6,2.0,5.0,11,,,,1.0,,3.0,2.0,1.0,,1.0,,6.0,5,,,2.0,,,29,2015-03-22
West Coast,2015,4,Greater Western Sydney,5,W,14,15,7.0,10.0,25,,,,3.0,,4.0,1.0,2.0,,,,4.0,21,,,,,,83,2015-03-29
West Coast,2015,5,Port Adelaide,6,W,14,8,2.0,6.0,14,,,,2.0,,2.0,1.0,2.0,,2.0,,6.0,8,1.0,,,,,76,2015-04-05
West Coast,2015,6,Gold Coast,7,W,14,6,4.0,4.0,10,,,,1.0,,2.0,1.0,1.0,,,,1.0,9,,1.0,,1.0,,80,2015-04-12
West Coast,2015,7,St Kilda,8,W,14,16,6.0,7.0,23,,1.0,,4.0,1.0,8.0,2.0,2.0,2.0,,,8.0,15,,1.0,2.0,,2.0,78,2015-04-19
West Coast,2015,8,Geelong,9,W,14,6,3.0,9.0,15,,1.0,,2.0,,6.0,1.0,2.0,1.0,1.0,,6.0,10,,,,1.0,,74,2015-04-26
West Coast,2015,9,North Melbourne,10,L,14,6,4.0,9.0,15,1.0,,,2.0,,2.0,2.0,3.0,1.0,2.0,,8.0,7,2.0,,,,,76,2015-05-03
West Coast,2015,10,Essendon,11,W,14,7,3.0,4.0,11,,1.0,,3.0,,5.0,1.0,1.0,,1.0,,2.0,7,,1.0,,,,78,2015-05-10
