team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2021,1,North Melbourne,18,W,42,7,5.0,4,11,,1.0,,1.0,2.0,1.0,1.0,2.0,,,,3,9,1.0,1.0,1.0,,1.0,72,2021-06-28
Essendon,2021,2,Greater Western Sydney,19,L,42,10,7.0,5,15,,,,1.0,2.0,,2.0,2.0,,,,7,9,,,1.0,,,75,2021-07-05
Essendon,2021,3,Sydney,20,L,42,6,1.0,5,11,,,,1.0,,3.0,1.0,2.0,1.0,,,4,7,,,2.0,,,82,2021-07-12
Essendon,2021,4,Western Bulldogs,21,W,42,5,3.0,10,15,,,,1.0,,2.0,3.0,1.0,,,,6,9,,,,,2.0,78,2021-07-19
Essendon,2021,5,Gold Coast,22,W,42,8,6.0,12,20,1.0,1.0,,1.0,5.0,,2.0,1.0,1.0,,,5,14,,1.0,2.0,,1.0,80,2021-07-26
Essendon,2021,6,Collingwood,23,W,42,4,4.0,6,10,,,,2.0,,3.0,,1.0,1.0,1.0,,3,8,,,1.0,1.0,,73,2021-08-02
Essendon,2021,7,Western Bulldogs,EF,L,42,7,5.0,10,17,,,,2.0,2.0,4.0,1.0,1.0,1.0,,,6,12,,,2.0,,,82,2021-03-01
Essendon,2022,8,Brisbane Lions,2,L,22,4,4.0,6,10,,1.0,,3.0,,1.0,1.0,1.0,,1.0,,2,7,,1.0,2.0,,,74,2022-03-08
Essendon,2022,9,Melbourne,3,L,22,4,2.0,10,14,,,,2.0,2.0,1.0,,3.0,2.0,1.0,,3,10,,,4.0,,1.0,75,2022-03-15
Essendon,2022,10,Adelaide,4,W,22,9,7.0,9,18,1.0,1.0,,1.0,,,1.0,3.0,1.0,2.0,,4,16,,2.0,,2.0,1.0,78,2022-03-22
Essendon,2022,11,Fremantle,5,L,22,5,1.0,10,15,,,,1.0,,2.0,2.0,6.0,2.0,2.0,,9,8,,,2.0,,,77,2022-03-29
Essendon,2022,12,Collingwood,6,L,22,8,4.0,9,17,,,,4.0,2.0,1.0,1.0,1.0,3.0,,,9,9,,,,3.0,,78,2022-04-05
Essendon,2022,13,Western Bulldogs,7,L,22,6,3.0,11,17,,,,2.0,3.0,2.0,1.0,7.0,1.0,3.0,,6,12,1.0,,3.0,,,78,2022-04-12
Essendon,2022,14,Sydney,9,L,22,7,5.0,3,10,,1.0,,,1.0,3.0,,2.0,1.0,2.0,,2,8,1.0,,,,,72,2022-04-26
Essendon,2022,15,Richmond,10,L,22,7,3.0,7,14,,,,2.0,3.0,1.0,,1.0,1.0,1.0,,7,8,,,1.0,,,70,2022-05-03
