team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2019,1,Melbourne,1,W,21,9,5.0,7,16,1.0,1.0,,2.0,,1.0,,1.0,,,,3,13,,1.0,1.0,,1.0,77,2019-03-01
Port Adelaide,2019,2,Carlton,2,W,21,14,9.0,9,23,,1.0,,2.0,1.0,3.0,4.0,3.0,2.0,,,6,16,,1.0,1.0,,1.0,89,2019-03-08
Port Adelaide,2019,3,Brisbane Lions,3,L,21,5,3.0,11,16,,,,3.0,,2.0,1.0,3.0,1.0,3.0,,7,8,,,1.0,,1.0,90,2019-03-15
Port Adelaide,2019,4,Richmond,4,L,21,9,4.0,8,17,,1.0,,2.0,,2.0,1.0,3.0,3.0,3.0,,8,11,1.0,1.0,,,,88,2019-03-22
Port Adelaide,2019,5,West Coast,5,W,21,5,3.0,7,12,2.0,,,,,4.0,2.0,,,,,4,6,,1.0,2.0,,,85,2019-03-29
Port Adelaide,2019,6,North Melbourne,6,W,21,10,8.0,14,24,1.0,1.0,,,,3.0,1.0,3.0,1.0,,,12,12,,1.0,2.0,2.0,1.0,87,2019-04-05
Port Adelaide,2019,7,Collingwood,7,L,21,9,4.0,7,16,,,,5.0,1.0,1.0,1.0,1.0,,,,8,8,,,,,,88,2019-04-12
Port Adelaide,2019,8,Adelaide,8,L,21,12,5.0,10,22,1.0,1.0,,2.0,3.0,5.0,4.0,4.0,1.0,1.0,,7,15,,1.0,1.0,,,92,2019-04-19
Port Adelaide,2019,9,Gold Coast,9,W,21,13,4.0,6,19,,1.0,,1.0,2.0,4.0,3.0,2.0,2.0,1.0,,9,9,,,,,,81,2019-04-26
Port Adelaide,2019,10,Hawthorn,10,L,21,12,5.0,10,22,1.0,2.0,,4.0,1.0,4.0,4.0,,4.0,,,11,10,,1.0,,,1.0,69,2019-05-03
Port Adelaide,2019,11,St Kilda,11,W,21,9,10.0,14,23,1.0,,,2.0,2.0,4.0,2.0,3.0,1.0,1.0,,6,18,,1.0,2.0,,1.0,80,2019-05-10
Port Adelaide,2019,12,Fremantle,13,L,21,10,10.0,11,21,,,,1.0,3.0,,1.0,3.0,,,,7,14,1.0,1.0,,1.0,,84,2019-05-24
Port Adelaide,2019,13,Geelong,14,W,21,10,5.0,10,20,,,,2.0,1.0,,2.0,3.0,,1.0,,8,12,,1.0,1.0,1.0,,83,2019-05-31
Port Adelaide,2019,14,Western Bulldogs,15,L,21,8,3.0,3,11,,,,3.0,1.0,3.0,3.0,2.0,2.0,,,4,8,,,2.0,,,78,2019-06-07
Port Adelaide,2019,15,Adelaide,16,W,21,15,8.0,7,22,,3.0,,,1.0,4.0,1.0,1.0,2.0,,,3,18,1.0,,2.0,,,80,2019-06-14
Port Adelaide,2019,16,Richmond,18,L,21,9,4.0,15,24,1.0,,,2.0,2.0,2.0,1.0,3.0,1.0,,,8,16,1.0,1.0,1.0,,,85,2019-06-28
Port Adelaide,2019,17,Greater Western Sydney,19,L,21,10,6.0,8,18,,1.0,,2.0,1.0,3.0,1.0,1.0,,,,4,14,,1.0,1.0,1.0,1.0,83,2019-07-05
Port Adelaide,2019,18,Essendon,20,W,21,13,6.0,13,26,1.0,,,2.0,3.0,1.0,1.0,1.0,1.0,,,3,20,,,,,,83,2019-07-12
