team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2021,1,Carlton,12,W,16,8.0,3.0,7.0,15.0,,,,2.0,,4.0,1.0,,,,,4.0,10.0,,,1.0,,1.0,65.0,2021-05-17
West Coast,2021,2,Richmond,13,W,16,13.0,5.0,14.0,27.0,,,,1.0,,4.0,1.0,3.0,4.0,,,11.0,16.0,,,,1.0,2.0,75.0,2021-05-24
West Coast,2021,3,Western Bulldogs,15,L,16,5.0,3.0,,5.0,,,,2.0,,,,1.0,,,,,5.0,,,1.0,,,80.0,2021-06-07
West Coast,2021,4,Sydney,16,L,16,6.0,3.0,6.0,12.0,,,,,1.0,1.0,,1.0,,1.0,,3.0,11.0,,,2.0,,,83.0,2021-06-14
West Coast,2021,5,North Melbourne,17,L,16,,,,,,,,,,,,,,,,,,,,,,,,2021-06-21
West Coast,2021,6,Adelaide,18,W,16,12.0,6.0,7.0,19.0,,,,2.0,2.0,,2.0,2.0,,,,6.0,13.0,,,1.0,,,83.0,2021-06-28
West Coast,2021,7,Melbourne,21,L,16,5.0,1.0,4.0,9.0,,,,,1.0,,1.0,3.0,1.0,1.0,,3.0,6.0,,,,,,61.0,2021-07-19
West Coast,2021,8,Fremantle,22,L,16,8.0,5.0,5.0,13.0,,1.0,,3.0,2.0,,1.0,3.0,,2.0,,1.0,13.0,,1.0,,,,74.0,2021-07-26
West Coast,2022,9↑,North Melbourne,2,L,16,6.0,6.0,2.0,8.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,8.0,,,1.0,,,50.0,2022-03-08
West Coast,2022,10,Fremantle,3,L,16,8.0,3.0,3.0,11.0,,,,2.0,,,1.0,3.0,,2.0,,2.0,11.0,,,1.0,,,68.0,2022-03-15
West Coast,2022,11↓,Collingwood,4,W,16,5.0,2.0,10.0,15.0,1.0,,,2.0,1.0,1.0,3.0,1.0,,,,7.0,8.0,,1.0,,,,57.0,2022-03-22
West Coast,2023,12,Melbourne,4,L,16,8.0,2.0,8.0,16.0,,,,,1.0,,4.0,1.0,2.0,,,12.0,7.0,,,1.0,,,78.0,2023-03-22
West Coast,2023,13,Geelong,5,L,16,4.0,1.0,6.0,10.0,,,,7.0,1.0,1.0,4.0,1.0,1.0,,,6.0,4.0,,,,,,76.0,2023-03-29
West Coast,2023,14,Port Adelaide,6,L,16,7.0,1.0,10.0,17.0,,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,5.0,12.0,,,1.0,,1.0,73.0,2023-04-05
West Coast,2023,15,Carlton,7,L,16,6.0,4.0,9.0,15.0,,,,1.0,,1.0,2.0,2.0,,2.0,,6.0,9.0,,,2.0,,,70.0,2023-04-12
West Coast,2023,16,Richmond,8,L,16,6.0,5.0,5.0,11.0,,,,6.0,,1.0,1.0,1.0,2.0,1.0,,3.0,10.0,,,1.0,,,78.0,2023-04-19
West Coast,2023,17↑,Gold Coast,9,L,16,7.0,3.0,3.0,10.0,,,,5.0,1.0,2.0,2.0,2.0,,,,3.0,7.0,,,,1.0,,42.0,2023-04-26
West Coast,2023,18↓,Essendon,11,L,16,3.0,2.0,,3.0,,,,,,,,1.0,,1.0,,,3.0,,,,,,33.0,2023-05-10
West Coast,2023,19,Adelaide,13,L,16,5.0,2.0,3.0,8.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,6.0,,,1.0,,,75.0,2023-05-24
West Coast,2023,20,Sydney,15,L,16,1.0,2.0,2.0,3.0,,,,4.0,,,,,,,,,3.0,,,,,,80.0,2023-06-07
West Coast,2023,21,North Melbourne,20,W,16,9.0,6.0,6.0,15.0,,,,,1.0,2.0,2.0,,,,,3.0,12.0,,,1.0,,,80.0,2023-07-12
West Coast,2023,22,Essendon,21,L,16,10.0,5.0,10.0,20.0,,,,5.0,2.0,2.0,1.0,2.0,1.0,2.0,,5.0,16.0,,,1.0,,,74.0,2023-07-19
West Coast,2023,23,Fremantle,22,L,16,7.0,4.0,1.0,8.0,,,,3.0,1.0,,3.0,1.0,1.0,1.0,,2.0,5.0,,,1.0,,,76.0,2023-07-26
West Coast,2023,24,Western Bulldogs,23,W,16,10.0,4.0,6.0,16.0,,,,2.0,1.0,,2.0,3.0,,,,3.0,12.0,,1.0,,,,83.0,2023-08-02
West Coast,2023,25↓,Adelaide,24,L,16,3.0,1.0,4.0,7.0,,,,1.0,,,,2.0,,1.0,,1.0,5.0,,,,,,50.0,2023-08-09
West Coast,2024,26,Port Adelaide,2,L,16,4.0,2.0,12.0,16.0,,,,1.0,1.0,1.0,2.0,1.0,,,,6.0,10.0,,,,,,79.0,2024-03-08
West Coast,2024,27,Greater Western Sydney,3,L,16,7.0,3.0,5.0,12.0,,,,2.0,1.0,2.0,2.0,,,,,3.0,10.0,,,1.0,,,83.0,2024-03-15
West Coast,2024,28↑,Western Bulldogs,4,L,16,3.0,,4.0,7.0,,,,4.0,1.0,1.0,,,1.0,,,2.0,4.0,,,,,,42.0,2024-03-22
West Coast,2024,29↓,Sydney,5,L,16,5.0,2.0,2.0,7.0,,,,2.0,1.0,,,2.0,1.0,,,3.0,5.0,,,,,1.0,29.0,2024-03-29
West Coast,2024,30↓,Richmond,6,W,16,1.0,1.0,1.0,2.0,,,,2.0,,1.0,,,,,,1.0,2.0,,,,,,21.0,2024-04-05
West Coast,2024,31,Gold Coast,8,L,16,8.0,4.0,1.0,9.0,,,,4.0,1.0,1.0,1.0,1.0,,,,2.0,7.0,,,1.0,,,78.0,2024-04-19
West Coast,2024,32,Essendon,9,L,16,6.0,5.0,5.0,11.0,,,,2.0,,4.0,1.0,4.0,,2.0,,1.0,10.0,,,2.0,,1.0,83.0,2024-04-26
West Coast,2024,33,Collingwood,10,L,16,9.0,6.0,8.0,17.0,1.0,,,1.0,2.0,1.0,1.0,3.0,,,,2.0,14.0,,1.0,1.0,,,83.0,2024-05-03
West Coast,2024,34↓,Melbourne,11,W,16,3.0,2.0,3.0,6.0,,1.0,,1.0,,1.0,,1.0,,1.0,,2.0,4.0,,,,,,69.0,2024-05-10
West Coast,2024,35,Brisbane Lions,19,L,16,10.0,5.0,6.0,16.0,1.0,,,1.0,1.0,2.0,2.0,3.0,,2.0,,5.0,11.0,,1.0,,1.0,2.0,83.0,2024-07-05
West Coast,2024,36,St Kilda,20,L,16,11.0,8.0,4.0,15.0,,,,1.0,1.0,3.0,,2.0,,1.0,,2.0,14.0,,,,,,81.0,2024-07-20
