team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2026,1,Western Bulldogs,8,W,28,7,3,5,12,,,,2.0,1,,,5,3.0,1.0,,5,8,,,4,,,88,2026-04-19
Sydney,2026,2,Melbourne,9,W,28,4,3,6,10,,,,2.0,1,,,3,1.0,2.0,,6,4,1.0,,9,,,86,2026-04-26
Sydney,2026,3,North Melbourne,10,W,28,4,4,6,10,,,,,2,1.0,,2,1.0,2.0,,4,5,1.0,,7,,,87,2026-05-03
Sydney,2026,4,Collingwood,11,W,28,6,7,7,13,,,,1.0,1,2.0,,4,2.0,2.0,,6,8,,,7,,,81,2026-05-10
Sydney,2026,5,Geelong,12,L,28,8,5,9,17,,,,,3,,,4,1.0,,,6,10,1.0,,3,,,87,2026-05-17
Sydney,2026,6,Richmond,13,W,28,3,3,2,5,,,,,2,,,2,,2.0,,1,4,,,2,1.0,,82,2026-05-24
Sydney,2026,7,St Kilda,14,W,28,7,3,9,16,,,,1.0,2,2.0,,2,1.0,1.0,,6,9,1.0,,11,,1.0,85,2026-05-31
Sydney,2026,8,Port Adelaide,15,W,28,5,1,4,9,,,,2.0,6,,,2,1.0,1.0,,3,4,,,7,,,85,2026-06-07
Sydney,2026,9,Brisbane Lions,17,L,28,5,1,9,14,,,,2.0,3,1.0,,3,,2.0,,10,2,1.0,,9,,,82,2026-06-21
Sydney,2026,10,Western Bulldogs,18,W,28,6,4,2,8,,,,,4,2.0,,2,,1.0,,5,2,2.0,,18,,1.0,90,2026-06-28
Sydney,2026,11,Fremantle,19,L,28,5,1,7,12,,,,,6,1.0,,1,1.0,,,7,3,1.0,,8,,1.0,92,2026-07-09
Sydney,2026,12,Adelaide,20,L,28,1,1,7,8,,,,2.0,2,,,4,,2.0,,3,4,,,11,,,95,2026-07-17
