team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2025,1↑,Port Adelaide,4,W,41,3,,4,7,,,,,,1,1,2,,,,3,4,,,,2,,25,2025-03-22
Essendon,2025,2↑,Melbourne,6,W,41,8,5,10,18,,,,4,,3,2,3,1,1,,4,14,,,3,,,62,2025-04-05
Essendon,2025,3↑,West Coast,7,W,41,,,1,1,,,,,,,,1,,1,,1,,,,,,,30,2025-04-12
Essendon,2025,4,Sydney,10,W,41,15,6,6,21,1,,,,2,4,2,5,1,,,5,17,,,1,2,,80,2025-05-03
Essendon,2025,5↓,Western Bulldogs,11,L,41,7,1,2,9,,,,,,,1,,1,,,3,6,,,1,,,37,2025-05-10
Essendon,2025,6,Western Bulldogs,21,L,41,7,4,6,13,,,,4,2,3,,3,1,1,,3,12,,,2,1,1,84,2025-07-19
Essendon,2025,7↑,St Kilda,24,L,41,7,5,1,8,,,,1,2,2,,1,1,,,2,7,,,1,1,,56,2025-08-09
Essendon,2025,8↓,Carlton,25,L,41,13,5,3,16,,,,2,3,2,,5,,,,2,14,1,,2,2,,83,2025-08-16
Essendon,2025,9↓,Gold Coast,1,L,41,3,2,4,7,,,,2,,2,1,1,,1,,3,5,,,2,,,84,2025-03-01
Essendon,2026,10,North Melbourne,4,L,41,7,1,6,13,1,1,,1,1,2,1,1,1,1,,4,10,,,,,,68,2026-03-22
Essendon,2026,11,Western Bulldogs,5,L,41,10,4,3,13,,1,,,2,2,,,2,,,3,9,,,1,,,65,2026-03-29
Essendon,2026,12,Gold Coast,7,L,41,9,4,5,14,1,,,6,1,,2,4,,,,5,8,,,1,,,78,2026-04-12
Essendon,2026,13,Collingwood,8,L,41,12,4,11,23,,,,1,2,1,1,3,2,1,,9,14,,,3,2,,80,2026-04-19
Essendon,2026,14,Brisbane Lions,9,L,41,11,4,6,17,,,,2,5,2,,3,1,,,5,11,,,,3,,60,2026-04-26
Essendon,2026,15,West Coast,13,L,41,10,5,6,16,,,,3,,2,1,4,1,,,5,10,,,1,1,,81,2026-05-24
Essendon,2026,16,Carlton,14,L,41,4,1,4,8,,,,,1,2,,5,1,1,,3,5,,,,1,,58,2026-05-31
