team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2017,1,Geelong,15,D,31,,,4.0,4,,,,3.0,,,,,,,,1.0,3,,,,,,20,2017-06-07
Greater Western Sydney,2018,2,Western Bulldogs,1,W,31,12.0,4.0,8.0,20,,,,1.0,6.0,,,3.0,,1.0,,1.0,16,,,2.0,1.0,,68,2018-03-01
Greater Western Sydney,2018,3,Collingwood,2,W,31,21.0,6.0,2.0,23,,,,2.0,7.0,,,3.0,,1.0,,8.0,12,2.0,,4.0,,,75,2018-03-08
Greater Western Sydney,2018,4,Sydney,3,L,31,13.0,3.0,7.0,20,,,,1.0,5.0,3.0,1.0,6.0,2.0,3.0,,9.0,12,,,1.0,1.0,,69,2018-03-15
Greater Western Sydney,2018,5,Fremantle,4,W,31,17.0,6.0,8.0,25,,,,1.0,6.0,1.0,,5.0,1.0,,,5.0,20,,,5.0,2.0,1.0,78,2018-03-22
Greater Western Sydney,2018,6,St Kilda,5,D,31,14.0,1.0,4.0,18,,,,2.0,7.0,,,2.0,2.0,1.0,,6.0,10,,,4.0,,,79,2018-03-29
Greater Western Sydney,2018,7,Brisbane Lions,6,W,31,10.0,6.0,5.0,15,,1.0,,2.0,4.0,3.0,,4.0,1.0,1.0,,3.0,10,,,2.0,,,68,2018-04-05
Greater Western Sydney,2018,8,Geelong,7,L,31,11.0,2.0,4.0,15,2.0,,,,1.0,2.0,,2.0,,1.0,,1.0,11,1.0,1.0,2.0,,,74,2018-04-12
Greater Western Sydney,2018,9,West Coast,8,L,31,9.0,4.0,8.0,17,,,,2.0,2.0,2.0,,5.0,2.0,2.0,,6.0,11,,,1.0,,,81,2018-04-19
Greater Western Sydney,2018,10,North Melbourne,9,L,31,8.0,2.0,6.0,14,,,,1.0,,2.0,,3.0,,,,5.0,8,2.0,,3.0,,,86,2018-04-26
Greater Western Sydney,2018,11,Brisbane Lions,14,W,31,4.0,2.0,4.0,8,1.0,,,,4.0,1.0,,2.0,,2.0,,3.0,6,1.0,,3.0,,,73,2018-05-31
Greater Western Sydney,2018,12,Hawthorn,15,W,31,12.0,5.0,2.0,14,,,,,2.0,3.0,,5.0,1.0,4.0,,5.0,10,1.0,,2.0,,,71,2018-06-07
Greater Western Sydney,2018,13,West Coast,16,L,31,8.0,5.0,5.0,13,,,,1.0,4.0,1.0,,,,,,6.0,7,2.0,,4.0,,,67,2018-06-14
Greater Western Sydney,2018,14,Sydney,22,L,31,9.0,3.0,2.0,11,,,,1.0,2.0,3.0,,7.0,,4.0,,5.0,5,1.0,,2.0,,,79,2018-07-26
Greater Western Sydney,2018,15,Melbourne,23,L,31,13.0,6.0,3.0,16,1.0,,,,6.0,3.0,,2.0,,2.0,,2.0,11,1.0,1.0,2.0,2.0,,83,2018-08-02
Greater Western Sydney,2019,16,Essendon,1,W,31,8.0,5.0,1.0,9,,1.0,,,1.0,,,1.0,1.0,,,3.0,7,,1.0,10.0,,,82,2019-03-01
Greater Western Sydney,2019,17,West Coast,2,L,31,16.0,7.0,3.0,19,,,,1.0,8.0,1.0,,3.0,1.0,1.0,,3.0,13,1.0,,4.0,1.0,,87,2019-03-08
Greater Western Sydney,2019,18,Richmond,3,W,31,12.0,5.0,3.0,15,5.0,1.0,,2.0,,3.0,,2.0,2.0,1.0,,8.0,7,2.0,2.0,2.0,,,84,2019-03-15
Greater Western Sydney,2019,19,Geelong,4,W,31,11.0,5.0,1.0,12,3.0,1.0,,,,2.0,,,,,,4.0,9,,2.0,2.0,,,92,2019-03-22
Greater Western Sydney,2019,20,Fremantle,5,L,31,8.0,5.0,2.0,10,3.0,2.0,,3.0,,2.0,,,,,,2.0,7,,2.0,1.0,,1.0,77,2019-03-29
Greater Western Sydney,2019,21,Sydney,6,W,31,9.0,3.0,5.0,14,,,,3.0,,4.0,2.0,,,,,7.0,7,1.0,,2.0,,1.0,82,2019-04-05
Greater Western Sydney,2019,22,St Kilda,7,W,31,7.0,4.0,1.0,8,2.0,,,1.0,,3.0,,1.0,,,,5.0,4,1.0,1.0,2.0,,2.0,88,2019-04-12
Greater Western Sydney,2019,23,Hawthorn,8,L,31,14.0,9.0,3.0,17,3.0,2.0,,1.0,,3.0,,2.0,,1.0,,7.0,10,3.0,4.0,1.0,,,87,2019-04-19
Greater Western Sydney,2019,24,Carlton,9,W,31,9.0,3.0,3.0,12,5.0,1.0,,4.0,1.0,1.0,1.0,1.0,3.0,,,7.0,6,1.0,2.0,3.0,1.0,2.0,83,2019-04-26
