team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2017,1,Gold Coast,4,L,25,7,3.0,5,12,1.0,,,5.0,2.0,,,1.0,1.0,,,6,5,1.0,,,,1.0,69,2017-03-22
Carlton,2017,2,Port Adelaide,5,L,25,8,,9,17,,,,1.0,,2.0,1.0,4.0,1.0,1.0,,6,11,,,1.0,,,70,2017-03-29
Carlton,2017,3,Sydney,6,W,25,7,1.0,4,11,,,,2.0,,2.0,,1.0,,,,3,8,,,,1.0,1.0,63,2017-04-05
Carlton,2017,4,St Kilda,8,L,25,5,1.0,3,8,,,,5.0,1.0,2.0,1.0,3.0,1.0,2.0,,4,5,,,1.0,,1.0,64,2017-04-19
Carlton,2017,5,Fremantle,9,L,25,7,1.0,6,13,1.0,,,2.0,,3.0,,4.0,4.0,,,7,6,,,1.0,,1.0,75,2017-04-26
Carlton,2017,6,North Melbourne,10,L,25,4,,5,9,,1.0,,4.0,,1.0,2.0,3.0,1.0,,,6,3,,,2.0,,1.0,58,2017-05-03
Carlton,2017,7,Greater Western Sydney,12,W,25,5,2.0,7,12,,1.0,,1.0,1.0,1.0,,1.0,,,,7,5,,,,,,77,2017-05-17
Carlton,2017,8,Gold Coast,13,W,25,3,,8,11,,,,5.0,1.0,2.0,4.0,2.0,,,,8,3,,,2.0,,,66,2017-05-24
Carlton,2017,9,Adelaide,15,L,25,4,,5,9,,,,4.0,,,1.0,1.0,,,,7,2,,,,,,68,2017-06-07
Carlton,2017,10,Melbourne,16,L,25,4,,6,10,,,,5.0,1.0,,2.0,1.0,2.0,,,6,4,,,1.0,1.0,,73,2017-06-14
Carlton,2017,11,Western Bulldogs,17,L,25,6,2.0,7,13,,1.0,,4.0,,,,2.0,,1.0,,3,11,,,,,,79,2017-06-21
Carlton,2017,12,Brisbane Lions,18,L,25,8,,3,11,,,,1.0,,3.0,1.0,5.0,,2.0,,5,5,,,2.0,,1.0,70,2017-06-28
Carlton,2017,13,Geelong,19,L,25,5,1.0,4,9,,1.0,,2.0,,2.0,2.0,1.0,,1.0,,4,5,,,,1.0,1.0,75,2017-07-05
Carlton,2017,14,Essendon,20,L,25,3,,5,8,,,,1.0,,3.0,,,,,,5,4,,,1.0,,,68,2017-07-12
Carlton,2017,15,West Coast,21,L,25,3,4.0,12,15,1.0,,,2.0,1.0,1.0,,1.0,,,,1,14,,1.0,,,,69,2017-07-19
Carlton,2017,16,Hawthorn,22,W,25,8,4.0,8,16,1.0,,,3.0,,1.0,1.0,,,,,6,9,,,2.0,,,73,2017-07-26
Carlton,2017,17,Sydney,23,L,25,6,3.0,7,13,,,,3.0,,2.0,1.0,1.0,1.0,1.0,,5,10,,,,,,75,2017-08-02
Carlton,2018,18,Richmond,1,L,25,13,2.0,8,21,1.0,,,1.0,2.0,5.0,3.0,3.0,1.0,,,8,15,,,4.0,,1.0,81,2018-03-01
Carlton,2018,19,Gold Coast,2,L,25,9,1.0,9,18,1.0,,,8.0,,5.0,3.0,1.0,,1.0,,10,10,,1.0,2.0,,1.0,74,2018-03-08
Carlton,2018,20,Collingwood,3,L,25,9,1.0,7,16,1.0,,,6.0,2.0,,2.0,2.0,2.0,1.0,,8,8,,,1.0,,,84,2018-03-15
Carlton,2018,21,North Melbourne,4,L,25,11,3.0,2,13,,2.0,,2.0,1.0,1.0,2.0,3.0,,1.0,,7,7,,1.0,1.0,,,78,2018-03-22
Carlton,2018,22,West Coast,5,L,25,15,2.0,12,27,1.0,,,4.0,3.0,7.0,4.0,5.0,3.0,1.0,,15,12,,,,,1.0,72,2018-03-29
Carlton,2018,23,Western Bulldogs,6,L,25,17,2.0,11,28,1.0,1.0,,5.0,1.0,4.0,7.0,4.0,3.0,,,12,16,,1.0,,,,81,2018-04-05
Carlton,2018,24,Adelaide,7,L,25,8,1.0,9,17,,,,3.0,,1.0,4.0,2.0,,,,6,11,,,,1.0,1.0,78,2018-04-12
Carlton,2018,25,Essendon,8,W,25,8,3.0,7,15,1.0,,,5.0,,3.0,4.0,1.0,1.0,1.0,,6,12,,,,,1.0,78,2018-04-19
Carlton,2018,26,Melbourne,9,L,25,10,3.0,10,20,1.0,1.0,,6.0,3.0,1.0,3.0,5.0,,,,8,12,,,1.0,1.0,,74,2018-04-26
Carlton,2018,27,Geelong,10,L,25,9,1.0,16,25,,,,2.0,,1.0,2.0,7.0,,3.0,,10,14,,,,,,85,2018-05-03
Carlton,2018,28,Sydney,11,L,25,12,,7,19,,,,2.0,,4.0,3.0,3.0,1.0,,,8,11,,,,2.0,1.0,79,2018-05-10
Carlton,2018,29,Fremantle,13,L,25,9,3.0,10,19,,1.0,,4.0,2.0,3.0,3.0,2.0,,2.0,,3,14,,1.0,,1.0,,86,2018-05-24
Carlton,2018,30,Collingwood,14,L,25,10,1.0,7,17,,,,1.0,2.0,1.0,5.0,1.0,,,,7,10,,,1.0,1.0,1.0,86,2018-05-31
Carlton,2018,31,Port Adelaide,15,L,25,11,1.0,12,23,,,,2.0,,2.0,2.0,2.0,1.0,,,6,17,,,,1.0,,83,2018-06-07
Carlton,2018,32,Brisbane Lions,16,L,25,9,1.0,8,17,,1.0,,1.0,1.0,6.0,2.0,1.0,1.0,,,6,11,,,,,1.0,80,2018-06-14
Carlton,2018,33,St Kilda,17,L,25,6,3.0,16,22,1.0,,,5.0,,5.0,3.0,3.0,1.0,1.0,,8,16,,,,1.0,1.0,75,2018-06-21
Carlton,2018,34,Hawthorn,18,L,25,4,1.0,5,9,,,,2.0,,,3.0,2.0,1.0,,,5,4,,,,2.0,,15,2018-06-28
Carlton,2019,35,Richmond,1,L,25,14,2.0,8,22,1.0,1.0,,6.0,,3.0,8.0,5.0,1.0,4.0,,12,13,,,3.0,,1.0,80,2019-03-01
Carlton,2019,36,Port Adelaide,2,L,25,8,2.0,10,18,,,,3.0,1.0,5.0,2.0,2.0,,,,11,9,,,1.0,,,85,2019-03-08
Carlton,2019,37,Sydney,3,L,25,10,3.0,9,19,1.0,1.0,,3.0,3.0,3.0,4.0,4.0,,1.0,,14,7,,,2.0,,,76,2019-03-15
Carlton,2019,38,Gold Coast,4,L,25,11,3.0,9,20,1.0,1.0,,4.0,,1.0,2.0,2.0,,,,12,7,,,,,,82,2019-03-22
Carlton,2019,39,Western Bulldogs,5,W,25,14,6.0,14,28,1.0,,,3.0,2.0,5.0,7.0,2.0,,1.0,,10,18,,1.0,1.0,,2.0,82,2019-03-29
Carlton,2019,40,Hawthorn,6,L,25,10,2.0,13,23,,1.0,,7.0,1.0,4.0,4.0,5.0,1.0,2.0,,8,16,,,2.0,,,83,2019-04-05
Carlton,2019,41,North Melbourne,7,L,25,18,3.0,8,26,,1.0,,1.0,1.0,5.0,7.0,3.0,1.0,,,10,15,,,,4.0,,81,2019-04-12
Carlton,2019,42,Collingwood,8,L,25,8,1.0,13,21,,,,,1.0,3.0,4.0,2.0,,,,9,12,,,,1.0,1.0,67,2019-04-19
Carlton,2019,43,Greater Western Sydney,9,L,25,9,5.0,8,17,1.0,,,1.0,2.0,1.0,2.0,3.0,2.0,,,3,13,,,,1.0,1.0,82,2019-04-26
Carlton,2019,44,St Kilda,10,L,25,3,1.0,9,12,,,,5.0,1.0,2.0,1.0,2.0,,2.0,,1,13,,,1.0,,,81,2019-05-03
Carlton,2019,45,Essendon,11,L,25,10,3.0,4,14,,1.0,,1.0,,5.0,4.0,4.0,,,,5,9,,,1.0,,,77,2019-05-10
Carlton,2019,46,Brisbane Lions,12,W,25,9,2.0,16,25,,,,,,1.0,3.0,2.0,1.0,1.0,,11,14,,,,4.0,,72,2019-05-17
Carlton,2019,47,Western Bulldogs,13,L,25,7,4.0,9,16,,1.0,,3.0,1.0,2.0,3.0,4.0,,1.0,,6,10,,1.0,,,,75,2019-05-24
Carlton,2019,48,Fremantle,15,W,25,9,6.0,7,16,,,,4.0,3.0,2.0,2.0,2.0,,,,8,8,,,1.0,,1.0,81,2019-06-07
Carlton,2019,49,Melbourne,16,L,25,5,2.0,9,14,1.0,,,1.0,1.0,2.0,3.0,1.0,2.0,,,3,10,,1.0,1.0,2.0,,76,2019-06-14
Carlton,2019,50,Sydney,17,W,25,12,1.0,5,17,1.0,,,6.0,,3.0,4.0,2.0,,1.0,,7,11,,,,,,86,2019-06-21
Carlton,2019,51,Gold Coast,18,W,25,14,2.0,3,17,1.0,,,4.0,3.0,2.0,2.0,1.0,1.0,,,4,12,,,1.0,1.0,1.0,82,2019-06-28
Carlton,2019,52,West Coast,20,L,25,5,,6,11,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,4,8,,,1.0,,1.0,75,2019-07-12
Carlton,2019,53,Richmond,21,L,25,3,1.0,7,10,,,,1.0,,1.0,,7.0,,2.0,,5,6,,,1.0,3.0,,75,2019-07-19
Carlton,2019,54,St Kilda,22,W,25,4,,8,12,,,,5.0,,4.0,1.0,1.0,,1.0,,3,9,,,1.0,,1.0,83,2019-07-26
Carlton,2019,55,Geelong,23,L,25,7,,3,10,1.0,,,,1.0,2.0,,2.0,,,,2,8,,,,,1.0,77,2019-08-02
Carlton,2020,56,Richmond,1,L,25,10,3.0,7,17,,,,,,5.0,3.0,,1.0,,,8,9,,,2.0,,,76,2020-03-01
Carlton,2020,57,West Coast,11,L,25,7,1.0,5,12,4.0,,,5.0,,3.0,1.0,1.0,,,,3,8,,,,,,81,2020-05-10
Carlton,2020,58,Fremantle,12,W,25,8,1.0,3,11,,,,5.0,,5.0,1.0,4.0,,1.0,,5,6,,1.0,2.0,1.0,,77,2020-05-17
Carlton,2020,59,Gold Coast,13,W,25,8,4.0,13,21,,,,5.0,,3.0,,1.0,1.0,,1.0,10,12,,,1.0,3.0,1.0,80,2020-05-24
Carlton,2020,60,Collingwood,14,L,25,9,2.0,7,16,1.0,,,3.0,,4.0,1.0,,,,,5,11,,,,,,77,2020-05-31
Carlton,2020,61,Greater Western Sydney,15,L,25,3,,3,6,,,,1.0,,1.0,1.0,,,,,4,2,,,,,,71,2020-06-07
Carlton,2020,62,Sydney,16,W,25,7,2.0,9,16,1.0,1.0,,1.0,,3.0,,2.0,,,,9,7,,,,2.0,1.0,81,2020-06-14
Carlton,2020,63,Adelaide,17,L,25,5,,3,8,,1.0,,,,,1.0,,1.0,,,2,4,,,2.0,1.0,1.0,61,2020-06-21
Carlton,2021,64,Richmond,1,L,25,10,3.0,10,20,,2.0,,1.0,,4.0,1.0,4.0,,,,10,13,2.0,1.0,1.0,,1.0,79,2021-03-01
Carlton,2021,65,Collingwood,2,L,25,8,4.0,8,16,1.0,,,,,4.0,,4.0,2.0,2.0,,6,11,,2.0,,,3.0,78,2021-03-08
Carlton,2021,66,West Coast,12,L,25,9,2.0,5,14,,,,2.0,,6.0,,1.0,,,,2,12,,,1.0,1.0,2.0,77,2021-05-17
Carlton,2021,67,Greater Western Sydney,14,L,25,7,3.0,9,16,1.0,,,1.0,,1.0,1.0,2.0,1.0,2.0,,7,10,,,1.0,,,80,2021-05-31
Carlton,2021,68,Collingwood,18,W,25,11,2.0,8,19,,2.0,,3.0,1.0,3.0,3.0,3.0,,2.0,,9,10,1.0,1.0,,1.0,,83,2021-06-28
Carlton,2021,69,North Melbourne,19,L,25,8,3.0,5,13,1.0,3.0,,,,,,,,,,3,9,,2.0,,,,85,2021-07-05
Carlton,2021,70,St Kilda,20,W,25,9,2.0,9,18,,,,5.0,3.0,5.0,3.0,2.0,,,,6,11,,,2.0,1.0,2.0,77,2021-07-12
Carlton,2021,71,Gold Coast,21,L,25,5,1.0,7,12,,1.0,,,,1.0,1.0,3.0,1.0,1.0,,6,8,,,2.0,3.0,,76,2021-07-19
Carlton,2021,72,Port Adelaide,22,L,25,11,2.0,6,17,,,,7.0,,2.0,4.0,2.0,1.0,,,6,11,,,1.0,1.0,,78,2021-07-26
Carlton,2021,73,Greater Western Sydney,23,L,25,7,1.0,7,14,1.0,,,5.0,2.0,2.0,4.0,2.0,,2.0,,5,11,,1.0,1.0,1.0,1.0,80,2021-08-02
Carlton,2022,74,Richmond,1,W,25,8,,8,16,1.0,,,1.0,,3.0,1.0,2.0,1.0,,,5,11,,,,,,79,2022-03-01
Carlton,2022,75,Western Bulldogs,2,W,25,11,4.0,12,23,1.0,,,1.0,,2.0,1.0,3.0,1.0,1.0,,7,16,,1.0,1.0,,,78,2022-03-08
Carlton,2022,76,Hawthorn,3,W,25,7,1.0,9,16,,,,5.0,,2.0,1.0,2.0,1.0,1.0,,6,10,,,1.0,,1.0,75,2022-03-15
Carlton,2022,77,Gold Coast,4,L,25,9,6.0,9,18,1.0,,,1.0,3.0,2.0,1.0,1.0,,,,3,15,,1.0,,,,76,2022-03-22
Carlton,2022,78,Port Adelaide,5,W,25,12,2.0,10,22,2.0,1.0,,2.0,1.0,5.0,,3.0,1.0,,,5,17,,,,,,76,2022-03-29
Carlton,2022,79,Fremantle,6,L,25,3,4.0,6,9,,,,3.0,,,,4.0,,2.0,,1,9,,,,1.0,,82,2022-04-05
Carlton,2022,80,North Melbourne,7,W,25,16,5.0,5,21,,,,2.0,2.0,4.0,,4.0,1.0,1.0,,3,20,,,,,2.0,86,2022-04-12
Carlton,2022,81,Adelaide,8,W,25,13,8.0,10,23,2.0,2.0,,1.0,2.0,3.0,2.0,1.0,,,,6,16,,1.0,2.0,,,76,2022-04-19
Carlton,2022,82,Greater Western Sydney,9,W,25,10,1.0,8,18,2.0,,,4.0,,3.0,1.0,3.0,1.0,2.0,,8,11,,,1.0,1.0,,81,2022-04-26
Carlton,2022,83,Sydney,10,W,25,14,3.0,4,18,2.0,1.0,,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,9,11,,,,1.0,1.0,84,2022-05-03
