team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2018,1,Melbourne,1,W,13,8.0,4.0,12.0,20.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,,10.0,10.0,1.0,,1.0,,1.0,79.0,2018-03-01
Geelong,2018,2,Hawthorn,2,L,13,5.0,1.0,3.0,8.0,1.0,,,3.0,,2.0,1.0,,,,,1.0,7.0,,1.0,3.0,,,62.0,2018-03-08
Geelong,2018,3,West Coast,3,L,13,12.0,4.0,2.0,14.0,1.0,4.0,,1.0,,2.0,,,1.0,,,3.0,10.0,,1.0,,,,88.0,2018-03-15
Geelong,2018,4,St Kilda,4,W,13,10.0,2.0,8.0,18.0,,1.0,,3.0,,6.0,,3.0,2.0,,,11.0,10.0,,,4.0,,1.0,87.0,2018-03-22
Geelong,2018,5,Port Adelaide,5,W,13,9.0,2.0,8.0,17.0,1.0,,,10.0,1.0,3.0,2.0,2.0,1.0,,,9.0,8.0,,,,1.0,,82.0,2018-03-29
Geelong,2018,6,Sydney,6,L,13,5.0,,6.0,11.0,,1.0,,4.0,,3.0,,2.0,2.0,,,6.0,6.0,,,,,1.0,84.0,2018-04-05
Geelong,2018,7,Greater Western Sydney,7,W,13,9.0,1.0,4.0,13.0,,1.0,,8.0,1.0,2.0,,2.0,,,,4.0,10.0,,,,,1.0,82.0,2018-04-12
Geelong,2018,8,Gold Coast,11,W,13,9.0,6.0,8.0,17.0,,1.0,,2.0,,3.0,,,1.0,,,4.0,12.0,,1.0,2.0,,1.0,64.0,2018-05-10
Geelong,2018,9,North Melbourne,12,W,13,5.0,2.0,11.0,16.0,,,,2.0,1.0,3.0,,1.0,,1.0,,6.0,11.0,,,1.0,,1.0,77.0,2018-05-17
Geelong,2018,10,Richmond,13,L,13,8.0,3.0,1.0,9.0,,1.0,,2.0,,3.0,1.0,3.0,3.0,,,3.0,6.0,,1.0,1.0,,,85.0,2018-05-24
Geelong,2018,11,Western Bulldogs,15,L,13,6.0,4.0,7.0,13.0,,,,,1.0,1.0,,2.0,,,,3.0,10.0,,,,1.0,,75.0,2018-06-07
Geelong,2018,12,Sydney,16,W,13,7.0,2.0,5.0,12.0,1.0,1.0,,5.0,,1.0,,1.0,,,,3.0,8.0,1.0,1.0,,,1.0,76.0,2018-06-14
Geelong,2018,13,Brisbane Lions,19,W,13,10.0,3.0,5.0,15.0,,2.0,,4.0,,1.0,,1.0,,1.0,,5.0,9.0,1.0,1.0,2.0,,,68.0,2018-07-05
Geelong,2018,14,Richmond,20,L,13,4.0,2.0,7.0,11.0,,,,3.0,,1.0,1.0,2.0,2.0,1.0,,6.0,8.0,,,2.0,,,72.0,2018-07-12
Geelong,2018,15,Hawthorn,21,L,13,2.0,1.0,3.0,5.0,,,,3.0,,1.0,1.0,1.0,,1.0,,2.0,3.0,,1.0,1.0,,,79.0,2018-07-19
Geelong,2019,16,Adelaide,15,W,13,3.0,3.0,4.0,7.0,,,,7.0,,1.0,,,1.0,,,3.0,4.0,,,1.0,,1.0,56.0,2019-06-07
Geelong,2019,17,Western Bulldogs,16,L,13,7.0,,5.0,12.0,,,,3.0,,3.0,,1.0,,,,3.0,8.0,,,1.0,,,54.0,2019-06-14
Geelong,2020,18,Fremantle,8,W,13,9.0,1.0,4.0,13.0,,,,6.0,,5.0,,2.0,3.0,,,9.0,5.0,,,1.0,,,78.0,2020-04-19
Geelong,2020,19,West Coast,9,L,13,3.0,3.0,2.0,5.0,,,,2.0,1.0,1.0,,2.0,,1.0,,1.0,4.0,,,,,,77.0,2020-04-26
Geelong,2020,20,North Melbourne,10,W,13,14.0,3.0,9.0,23.0,,1.0,,4.0,1.0,4.0,4.0,1.0,1.0,,,7.0,15.0,,,,,2.0,70.0,2020-05-03
Geelong,2020,21,Port Adelaide,12,W,13,9.0,3.0,3.0,12.0,1.0,,,4.0,,,1.0,2.0,3.0,2.0,,4.0,9.0,,1.0,,,1.0,86.0,2020-05-17
Geelong,2020,22,Essendon,16,W,13,8.0,2.0,6.0,14.0,,,,2.0,,4.0,3.0,1.0,1.0,,,6.0,8.0,,,,,1.0,67.0,2020-06-14
Geelong,2020,23,Richmond,17,L,13,9.0,5.0,5.0,14.0,,,,1.0,,2.0,1.0,2.0,2.0,,,5.0,10.0,,,,,,67.0,2020-06-21
Carlton,2021,24,Richmond,1,L,8,12.0,4.0,8.0,20.0,,1.0,,2.0,,3.0,,2.0,2.0,1.0,,8.0,12.0,,,2.0,,,75.0,2021-03-01
Carlton,2021,25,Collingwood,2,L,8,10.0,5.0,11.0,21.0,1.0,,,4.0,,4.0,4.0,,1.0,,,8.0,11.0,,2.0,,,1.0,78.0,2021-03-08
Carlton,2021,26,Fremantle,3,W,8,16.0,7.0,9.0,25.0,1.0,,,7.0,2.0,5.0,3.0,2.0,2.0,1.0,,9.0,17.0,,3.0,1.0,,1.0,78.0,2021-03-15
Carlton,2021,27,Gold Coast,4,W,8,10.0,1.0,1.0,11.0,,,,8.0,2.0,4.0,2.0,5.0,,1.0,,6.0,4.0,,,2.0,,1.0,81.0,2021-03-22
Carlton,2021,28,Port Adelaide,5,L,8,8.0,5.0,8.0,16.0,1.0,,,4.0,1.0,1.0,1.0,3.0,,,,7.0,9.0,2.0,2.0,1.0,,,82.0,2021-03-29
Carlton,2021,29,Brisbane Lions,6,L,8,8.0,2.0,5.0,13.0,,1.0,,3.0,,3.0,1.0,,2.0,,,4.0,8.0,,,2.0,,,80.0,2021-04-05
Carlton,2021,30,Essendon,7,W,8,9.0,4.0,5.0,14.0,2.0,,,1.0,2.0,2.0,1.0,3.0,,1.0,,4.0,10.0,,1.0,,,,79.0,2021-04-12
Carlton,2021,31,Western Bulldogs,8,L,8,6.0,,7.0,13.0,,2.0,,1.0,,4.0,1.0,3.0,1.0,,,7.0,7.0,,,2.0,,,78.0,2021-04-19
Carlton,2021,32,Melbourne,9,L,8,14.0,4.0,9.0,23.0,,,,6.0,2.0,6.0,6.0,6.0,3.0,1.0,,9.0,12.0,,,1.0,,1.0,79.0,2021-04-26
Carlton,2021,33,Hawthorn,10,W,8,7.0,5.0,5.0,12.0,,,,8.0,,,,,1.0,,,4.0,7.0,,,,,,73.0,2021-05-03
Carlton,2021,34,Sydney,11,L,8,5.0,2.0,9.0,14.0,,,,1.0,,2.0,,2.0,1.0,1.0,,11.0,4.0,,1.0,,,,74.0,2021-05-10
Carlton,2021,35,Greater Western Sydney,14,L,8,5.0,1.0,4.0,9.0,1.0,,,4.0,,,3.0,,1.0,,,4.0,5.0,,,1.0,,,67.0,2021-05-31
Carlton,2021,36,Adelaide,15,W,8,7.0,5.0,7.0,14.0,,2.0,,1.0,,2.0,,2.0,,1.0,,5.0,9.0,,1.0,1.0,,,71.0,2021-06-07
Carlton,2021,37,Fremantle,16,W,8,7.0,5.0,7.0,14.0,,,,1.0,,3.0,,1.0,2.0,,,4.0,10.0,,,,,,72.0,2021-06-14
Carlton,2021,38,Geelong,17,L,8,3.0,,4.0,7.0,,,,7.0,,3.0,,5.0,,2.0,,1.0,6.0,,,,,,73.0,2021-06-21
