team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2020,1,West Coast,7,L,43,5,3.0,5.0,10,1.0,,,,,4.0,,2.0,,,,4.0,7,1.0,,,,,73,2020-04-12
Fremantle,2020,2,Geelong,8,L,43,3,,2.0,5,,1.0,,2.0,,1.0,,3.0,1.0,1.0,,1.0,2,,,,,,87,2020-04-19
Fremantle,2020,3,Collingwood,9,W,43,5,1.0,2.0,7,,1.0,,1.0,,1.0,,2.0,1.0,,,2.0,4,,,,,,71,2020-04-26
Fremantle,2020,4,Hawthorn,11,W,43,8,2.0,7.0,15,,1.0,,,,3.0,1.0,6.0,,,,5.0,9,,,1.0,,,73,2020-05-10
Fremantle,2020,5,Carlton,12,L,43,3,3.0,1.0,4,1.0,1.0,,,,,,,,,,,4,,3.0,1.0,,,75,2020-05-17
Fremantle,2020,6,Sydney,13,W,43,6,3.0,3.0,9,1.0,,,1.0,,2.0,,,,,,4.0,4,,1.0,,,,75,2020-05-24
Fremantle,2020,7,Richmond,15,L,43,5,4.0,6.0,11,,,,1.0,,2.0,,4.0,1.0,2.0,,2.0,10,,,,,,69,2020-06-07
Fremantle,2020,8,Melbourne,16,W,43,2,,4.0,6,1.0,1.0,,3.0,,,1.0,1.0,1.0,1.0,,3.0,3,,,1.0,,,71,2020-06-14
Fremantle,2020,9,North Melbourne,17,W,43,3,1.0,5.0,8,,1.0,,,,1.0,,,,,,2.0,5,,,1.0,,,76,2020-06-21
Fremantle,2020,10,Western Bulldogs,18,L,43,1,1.0,4.0,5,,,,,,,,1.0,,1.0,,1.0,4,,,1.0,,,74,2020-06-28
Fremantle,2021,11,Greater Western Sydney,2,W,43,12,8.0,1.0,13,1.0,2.0,,1.0,,7.0,,1.0,2.0,,,3.0,10,,1.0,1.0,,1.0,71,2021-03-08
Fremantle,2021,12,Carlton,3,L,43,10,8.0,4.0,14,1.0,4.0,,1.0,,3.0,1.0,2.0,1.0,,,6.0,9,1.0,4.0,,,,85,2021-03-15
Fremantle,2021,13,Hawthorn,4,W,43,7,3.0,3.0,10,1.0,,,,,2.0,,2.0,1.0,1.0,,4.0,5,,,,,1.0,82,2021-03-22
Fremantle,2021,14,Adelaide,5,W,43,10,5.0,2.0,12,1.0,2.0,,,,5.0,3.0,,,,,5.0,8,,,2.0,2.0,,86,2021-03-29
Fremantle,2021,15,North Melbourne,6,W,43,7,5.0,4.0,11,,2.0,,4.0,1.0,1.0,,,,,,5.0,6,1.0,,,,,79,2021-04-05
Fremantle,2021,16,West Coast,7,L,43,5,5.0,2.0,7,1.0,,,1.0,,1.0,,1.0,1.0,,,3.0,5,1.0,,,,1.0,78,2021-04-12
Fremantle,2021,17↓,Brisbane Lions,8,L,43,1,1.0,,1,,1.0,,,,,,,,,,,1,,1.0,,,,11,2021-04-19
Fremantle,2022,18,Adelaide,1,W,32,6,4.0,2.0,8,1.0,1.0,,1.0,,2.0,,2.0,,,,4.0,5,1.0,,2.0,,1.0,83,2022-03-01
Fremantle,2022,19,St Kilda,2,L,32,3,1.0,3.0,6,,1.0,,3.0,,,,2.0,,,,1.0,4,,,1.0,,,79,2022-03-08
Fremantle,2022,20,West Coast,3,W,32,10,5.0,3.0,13,2.0,1.0,,3.0,,5.0,,3.0,1.0,2.0,,6.0,9,1.0,2.0,1.0,,1.0,86,2022-03-15
Fremantle,2022,21,Greater Western Sydney,4,W,32,9,4.0,5.0,14,2.0,,,2.0,,2.0,,,1.0,,,5.0,9,,1.0,,,,77,2022-03-22
Fremantle,2022,22,Essendon,5,W,32,9,5.0,4.0,13,2.0,,,2.0,,4.0,,5.0,1.0,,,4.0,8,,,1.0,3.0,3.0,85,2022-03-29
Fremantle,2022,23,Carlton,6,W,32,1,1.0,1.0,2,,,,2.0,,2.0,,6.0,1.0,5.0,,1.0,3,,,1.0,,,85,2022-04-05
Fremantle,2022,24,Geelong,7,W,32,5,4.0,5.0,10,2.0,,,2.0,,1.0,2.0,,,,,5.0,5,,,,,,80,2022-04-12
Fremantle,2022,25,Gold Coast,9,L,32,6,,7.0,13,1.0,,,3.0,,2.0,1.0,1.0,1.0,,,8.0,5,,,,,,87,2022-04-26
Fremantle,2022,26,Collingwood,10,L,32,5,3.0,4.0,9,,1.0,,1.0,,2.0,,1.0,,1.0,,4.0,5,,,,,,92,2022-05-03
Fremantle,2022,27,Melbourne,11,W,32,11,4.0,6.0,17,2.0,1.0,,3.0,,3.0,1.0,1.0,2.0,,,6.0,11,,,2.0,1.0,2.0,79,2022-05-10
Fremantle,2022,28,Brisbane Lions,12,W,32,14,10.0,4.0,18,3.0,,,2.0,,7.0,,1.0,,,,1.0,17,,2.0,,1.0,1.0,82,2022-05-17
