team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2020,1,St Kilda,13,W,47,4.0,1.0,4.0,8.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,,,5.0,3.0,1.0,1.0,1.0,,1.0,67.0,2020-05-24
Brisbane Lions,2020,2,Collingwood,15,W,47,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,13.0,2020-06-07
Brisbane Lions,2021,3,Sydney,1,L,21,4.0,1.0,4.0,8.0,,,1.0,,,1.0,,1.0,,1.0,,3.0,4.0,,,,,1.0,74.0,2021-03-01
Brisbane Lions,2021,4,Geelong,2,L,21,2.0,1.0,6.0,8.0,,,6.0,2.0,,1.0,2.0,1.0,1.0,1.0,,3.0,3.0,,,1.0,,,72.0,2021-03-08
Brisbane Lions,2021,5,Collingwood,3,W,21,9.0,2.0,8.0,17.0,,,3.0,,1.0,3.0,5.0,1.0,1.0,,,5.0,11.0,,,2.0,,,82.0,2021-03-15
Brisbane Lions,2021,6,Western Bulldogs,4,L,21,2.0,2.0,5.0,7.0,1.0,,2.0,1.0,,,,1.0,,,,4.0,3.0,,1.0,3.0,,,63.0,2021-03-22
Brisbane Lions,2021,7,Richmond,18,L,21,1.0,1.0,8.0,9.0,,,8.0,2.0,,,1.0,1.0,,,,3.0,5.0,,,,,,80.0,2021-06-28
Brisbane Lions,2021,8,Gold Coast,19,W,21,5.0,4.0,9.0,14.0,,1.0,6.0,2.0,,2.0,3.0,1.0,1.0,1.0,,10.0,5.0,2.0,1.0,2.0,,2.0,75.0,2021-07-05
Brisbane Lions,2021,9,Hawthorn,20,L,21,7.0,5.0,8.0,15.0,1.0,,4.0,1.0,1.0,1.0,,2.0,,,,5.0,9.0,2.0,,2.0,,1.0,76.0,2021-07-12
Brisbane Lions,2021,10,Fremantle,21,W,21,6.0,1.0,8.0,14.0,,,2.0,2.0,,1.0,3.0,1.0,1.0,,,10.0,6.0,,,3.0,,1.0,82.0,2021-07-19
Brisbane Lions,2021,11,Collingwood,22,W,21,4.0,1.0,4.0,8.0,,,4.0,3.0,2.0,,1.0,1.0,,,,3.0,5.0,,,1.0,,,79.0,2021-07-26
Brisbane Lions,2021,12,West Coast,23,W,21,4.0,2.0,2.0,6.0,,,1.0,2.0,,2.0,1.0,4.0,,1.0,,5.0,2.0,1.0,1.0,,,,64.0,2021-08-02
Brisbane Lions,2021,13,Melbourne,QF,L,21,3.0,,3.0,6.0,,,1.0,2.0,,,,1.0,,,,2.0,3.0,,,2.0,,,80.0,2021-03-01
Brisbane Lions,2021,14,Western Bulldogs,SF,L,21,5.0,2.0,8.0,13.0,1.0,,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,8.0,,1.0,3.0,,1.0,79.0,2021-03-01
Brisbane Lions,2022,15,Geelong,4,L,21,4.0,2.0,3.0,7.0,1.0,,1.0,1.0,,,,3.0,,1.0,,2.0,5.0,,1.0,1.0,,1.0,70.0,2022-03-22
Brisbane Lions,2022,16,Hawthorn,10,L,21,5.0,3.0,7.0,12.0,1.0,,3.0,1.0,,2.0,1.0,1.0,2.0,1.0,,11.0,2.0,2.0,2.0,3.0,,3.0,71.0,2022-05-03
Brisbane Lions,2022,17,Essendon,17,L,21,6.0,5.0,3.0,9.0,,,,1.0,1.0,2.0,,,,,,3.0,6.0,1.0,,4.0,,,76.0,2022-06-21
Brisbane Lions,2022,18,Greater Western Sydney,18,W,21,,,,,,,,,,,,,,,,,,,,,,,,2022-06-28
Brisbane Lions,2022,19,Melbourne,SF,W,21,8.0,2.0,2.0,10.0,,,4.0,1.0,4.0,2.0,2.0,2.0,1.0,,,6.0,5.0,,,2.0,,,63.0,2022-03-01
Melbourne,2025,20,Fremantle,7,W,33,3,1,3,6,,,6,1,,1,,2,3,1,,5,2,,,,,,60,2025-04-12
Melbourne,2025,21,Richmond,8,W,33,2,,1,3,,,10,1,,1,1,1,1,,,2,,,,2,,,70,2025-04-19
