team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Fremantle,2010,1,Richmond,5,W,13,10.0,6.0,3.0,13.0,1.0,4.0,,2.0,,4.0,1.0,2.0,,2.0,,7.0,6.0,3.0,3.0,1.0,,1.0,73.0,2010-03-29
Fremantle,2010,2,West Coast,6,W,13,5.0,3.0,2.0,7.0,2.0,,,5.0,,1.0,1.0,,,,,2.0,5.0,,1.0,2.0,,1.0,70.0,2010-04-05
Fremantle,2010,3,Brisbane Lions,7,W,13,8.0,5.0,7.0,15.0,1.0,,,1.0,,4.0,3.0,,,,,10.0,5.0,2.0,,2.0,,,68.0,2010-04-12
Fremantle,2010,4,Collingwood,8,L,13,7.0,1.0,4.0,11.0,,,,3.0,2.0,3.0,1.0,3.0,1.0,1.0,,7.0,4.0,,1.0,1.0,,,83.0,2010-04-19
Fremantle,2010,5,Sydney,9,W,13,13.0,7.0,10.0,23.0,,1.0,,5.0,,7.0,4.0,3.0,1.0,1.0,2.0,13.0,10.0,2.0,2.0,1.0,,1.0,80.0,2010-04-26
Fremantle,2010,6,North Melbourne,10,W,13,18.0,5.0,9.0,27.0,3.0,1.0,,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,10.0,17.0,,2.0,,,1.0,82.0,2010-05-03
Fremantle,2010,7,Adelaide,11,L,13,13.0,4.0,7.0,20.0,1.0,,,3.0,,3.0,3.0,3.0,1.0,2.0,,7.0,13.0,1.0,,3.0,,,82.0,2010-05-10
Fremantle,2010,8,St Kilda,12,L,13,6.0,2.0,5.0,11.0,1.0,,,3.0,,1.0,,,1.0,,,5.0,6.0,1.0,,1.0,,1.0,85.0,2010-05-17
Fremantle,2010,9,Carlton,13,W,13,12.0,4.0,3.0,15.0,1.0,2.0,,3.0,1.0,5.0,,1.0,1.0,1.0,,4.0,10.0,,1.0,2.0,1.0,1.0,78.0,2010-05-24
Fremantle,2010,10,Port Adelaide,14,W,13,4.0,,6.0,10.0,,,,2.0,,3.0,1.0,,1.0,,,4.0,6.0,,,2.0,,,37.0,2010-05-31
Fremantle,2010,11,Melbourne,16,W,13,8.0,7.0,6.0,14.0,1.0,,,1.0,,4.0,,1.0,2.0,1.0,,5.0,9.0,1.0,,3.0,,1.0,88.0,2010-06-14
Fremantle,2010,12,Western Bulldogs,17,L,13,3.0,3.0,11.0,14.0,1.0,,,2.0,,2.0,2.0,6.0,,1.0,,8.0,7.0,1.0,2.0,,,,81.0,2010-06-21
Fremantle,2010,13,West Coast,18,W,13,12.0,6.0,9.0,21.0,,3.0,,7.0,,4.0,4.0,4.0,,1.0,1.0,11.0,10.0,2.0,,3.0,2.0,,80.0,2010-06-28
Fremantle,2010,14,North Melbourne,19,L,13,12.0,3.0,5.0,17.0,1.0,1.0,1.0,,2.0,8.0,,1.0,,1.0,,6.0,11.0,1.0,1.0,1.0,1.0,2.0,85.0,2010-07-05
Fremantle,2010,15,Sydney,20,L,13,8.0,6.0,6.0,14.0,,1.0,,5.0,,3.0,,4.0,,1.0,,2.0,11.0,,1.0,3.0,,,83.0,2010-07-12
Fremantle,2010,16,Carlton,22,W,13,7.0,4.0,11.0,18.0,,1.0,,3.0,1.0,2.0,4.0,3.0,,2.0,,10.0,9.0,2.0,,2.0,,1.0,78.0,2010-07-26
Fremantle,2010,17,Hawthorn,EF,W,13,15.0,9.0,7.0,22.0,,,,1.0,,4.0,3.0,2.0,,2.0,,7.0,15.0,2.0,,2.0,,1.0,79.0,2010-03-01
Fremantle,2010,18,Geelong,SF,L,13,12.0,7.0,6.0,18.0,1.0,,,5.0,2.0,3.0,2.0,4.0,1.0,1.0,,11.0,7.0,2.0,,3.0,,,78.0,2010-03-01
Fremantle,2011,19,Brisbane Lions,1,W,7,13.0,4.0,16.0,29.0,1.0,,,2.0,,4.0,6.0,3.0,1.0,1.0,,14.0,15.0,1.0,3.0,2.0,,,82.0,2011-03-01
Fremantle,2011,20,Geelong,2,L,7,11.0,3.0,10.0,21.0,,,,1.0,3.0,5.0,,5.0,2.0,1.0,,5.0,15.0,1.0,,2.0,,,83.0,2011-03-08
Fremantle,2011,21,Adelaide,3,W,7,15.0,5.0,12.0,27.0,1.0,2.0,1.0,6.0,4.0,6.0,3.0,2.0,,,3.0,14.0,12.0,3.0,1.0,3.0,,,89.0,2011-03-15
Fremantle,2011,22,North Melbourne,4,W,7,16.0,6.0,16.0,32.0,2.0,,,7.0,3.0,3.0,4.0,1.0,2.0,1.0,,19.0,14.0,1.0,,5.0,1.0,1.0,88.0,2011-03-22
Fremantle,2011,23,Western Bulldogs,5,W,7,13.0,7.0,16.0,29.0,,,,5.0,1.0,6.0,5.0,4.0,1.0,2.0,,14.0,15.0,1.0,,4.0,1.0,1.0,86.0,2011-03-29
Fremantle,2011,24,Richmond,7,L,7,11.0,2.0,12.0,23.0,,,,3.0,1.0,2.0,1.0,3.0,,2.0,,5.0,19.0,1.0,,2.0,,1.0,87.0,2011-04-12
Fremantle,2011,25,West Coast,8,L,7,15.0,4.0,13.0,28.0,2.0,,,6.0,4.0,3.0,3.0,3.0,1.0,2.0,,17.0,11.0,4.0,,2.0,,1.0,89.0,2011-04-19
Fremantle,2011,26,Port Adelaide,9,W,7,15.0,8.0,15.0,30.0,2.0,,,4.0,1.0,5.0,3.0,8.0,2.0,3.0,3.0,12.0,19.0,1.0,2.0,,5.0,,95.0,2011-04-26
Fremantle,2011,27,St Kilda,10,L,7,10.0,4.0,13.0,23.0,,3.0,,2.0,,2.0,3.0,3.0,1.0,,,8.0,15.0,1.0,2.0,1.0,1.0,,89.0,2011-05-03
Fremantle,2011,28,Hawthorn,11,L,7,14.0,4.0,9.0,23.0,1.0,2.0,,3.0,4.0,1.0,5.0,2.0,2.0,2.0,,13.0,11.0,2.0,1.0,3.0,,1.0,87.0,2011-05-10
Fremantle,2011,29,Essendon,12,W,7,13.0,9.0,11.0,24.0,1.0,,1.0,4.0,,3.0,2.0,6.0,,1.0,3.0,10.0,14.0,3.0,1.0,1.0,2.0,,91.0,2011-05-17
Fremantle,2011,30,Melbourne,13,L,7,12.0,4.0,11.0,23.0,,,,5.0,3.0,6.0,4.0,3.0,1.0,,,12.0,11.0,2.0,,4.0,2.0,1.0,89.0,2011-05-24
Fremantle,2011,31,Brisbane Lions,14,W,7,12.0,8.0,12.0,24.0,,3.0,,2.0,,4.0,2.0,1.0,,,,12.0,12.0,4.0,3.0,2.0,,1.0,93.0,2011-05-31
Fremantle,2011,32,Gold Coast,15,W,7,8.0,8.0,15.0,23.0,2.0,1.0,,4.0,,1.0,4.0,2.0,,1.0,,15.0,8.0,4.0,2.0,3.0,,,78.0,2011-06-07
Fremantle,2011,33,Sydney,17,W,7,11.0,5.0,20.0,31.0,1.0,,1.0,4.0,3.0,3.0,8.0,5.0,,2.0,3.0,22.0,9.0,3.0,2.0,3.0,,1.0,92.0,2011-06-21
Fremantle,2011,34,West Coast,18,L,7,13.0,6.0,6.0,19.0,1.0,,1.0,4.0,,5.0,3.0,1.0,1.0,,1.0,10.0,8.0,3.0,,3.0,1.0,2.0,84.0,2011-06-28
Fremantle,2011,35,Hawthorn,19,L,7,12.0,2.0,15.0,27.0,1.0,2.0,6.0,4.0,,5.0,7.0,2.0,4.0,,,20.0,7.0,1.0,1.0,1.0,,,93.0,2011-07-05
Fremantle,2011,36,St Kilda,20,L,7,9.0,5.0,11.0,20.0,,,,4.0,,2.0,3.0,4.0,,1.0,,11.0,10.0,2.0,1.0,3.0,1.0,2.0,95.0,2011-07-12
Fremantle,2011,37,Carlton,21,L,7,8.0,8.0,12.0,20.0,,,,5.0,,5.0,1.0,3.0,,,,9.0,11.0,2.0,1.0,3.0,3.0,2.0,85.0,2011-07-19
