team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2011,1↑,North Melbourne,1,W,3,9,4.0,5.0,14,,,,1.0,,3.0,,,,,,3.0,12,,,2.0,2.0,,61,2011-03-01
West Coast,2011,2↑,Port Adelaide,2,W,3,7,2.0,4.0,11,,1.0,,,,,1.0,1.0,,,,3.0,8,,1.0,,2.0,2.0,33,2011-03-08
West Coast,2011,3↑,Sydney,3,L,3,9,3.0,3.0,12,1.0,,,,2.0,,2.0,,,,,2.0,8,,,,,,34,2011-03-15
West Coast,2011,4,Hawthorn,4,L,3,11,6.0,3.0,14,1.0,,,1.0,1.0,2.0,,,1.0,,,5.0,9,,1.0,,3.0,,72,2011-03-22
West Coast,2011,5↑,Melbourne,6,W,3,4,1.0,1.0,5,,,,1.0,,,,1.0,,,,2.0,3,,,,,,27,2011-04-05
West Coast,2011,6↑,Fremantle,8,W,3,5,3.0,,5,,1.0,,1.0,,1.0,,,,,,,5,,1.0,,,,22,2011-04-19
West Coast,2011,7,St Kilda,17,L,3,14,9.0,7.0,21,2.0,,,2.0,2.0,2.0,1.0,2.0,1.0,,,4.0,17,,1.0,2.0,1.0,2.0,78,2011-06-21
West Coast,2011,8,Fremantle,18,W,3,9,5.0,9.0,18,,1.0,,,,1.0,,1.0,,1.0,,3.0,14,,,4.0,,,76,2011-06-28
West Coast,2011,9,Western Bulldogs,19,W,3,17,8.0,14.0,31,2.0,,,1.0,6.0,9.0,3.0,1.0,,,,5.0,25,,,1.0,,2.0,85,2011-07-05
West Coast,2011,10,Richmond,20,W,3,13,3.0,16.0,29,,1.0,,1.0,1.0,5.0,1.0,2.0,1.0,,,6.0,23,,,,2.0,1.0,79,2011-07-12
West Coast,2011,11,Melbourne,21,W,3,17,6.0,16.0,33,,1.0,,1.0,4.0,1.0,3.0,5.0,,1.0,3.0,8.0,24,,1.0,1.0,2.0,1.0,92,2011-07-19
West Coast,2011,12,Essendon,22,W,3,6,5.0,9.0,15,,,,3.0,1.0,1.0,1.0,2.0,,2.0,,4.0,12,,,1.0,,,89,2011-07-26
West Coast,2011,13,Brisbane Lions,23,W,3,17,4.0,8.0,25,1.0,2.0,,2.0,4.0,4.0,2.0,3.0,,,1.0,10.0,14,,1.0,,2.0,,82,2011-08-02
West Coast,2011,14↑,Adelaide,24,W,3,5,2.0,6.0,11,,,,1.0,,2.0,,3.0,,,,3.0,9,,,,,,49,2011-08-09
West Coast,2011,15,Collingwood,QF,L,3,13,4.0,7.0,20,,,,3.0,3.0,4.0,1.0,4.0,,1.0,,5.0,15,,,1.0,3.0,,81,2011-03-01
West Coast,2011,16,Carlton,SF,W,3,7,4.0,8.0,15,,,,,,2.0,2.0,,1.0,,,6.0,10,,1.0,2.0,1.0,2.0,77,2011-03-01
West Coast,2011,17,Geelong,PF,L,3,9,6.0,14.0,23,,,,1.0,4.0,2.0,1.0,5.0,,1.0,,6.0,16,,,,5.0,,82,2011-03-01
West Coast,2012,18,Western Bulldogs,1,W,3,15,3.0,8.0,23,1.0,1.0,,,2.0,5.0,1.0,4.0,,1.0,,6.0,16,,1.0,,2.0,,83,2012-03-01
West Coast,2012,19,Melbourne,2,W,3,19,7.0,14.0,33,1.0,,,1.0,1.0,6.0,2.0,,1.0,,,5.0,27,,1.0,1.0,2.0,1.0,90,2012-03-08
West Coast,2012,20,Greater Western Sydney,3,W,3,16,4.0,11.0,27,,,,4.0,3.0,5.0,1.0,1.0,1.0,,,5.0,23,,1.0,1.0,,,87,2012-03-15
West Coast,2012,21,Hawthorn,4,W,3,16,3.0,8.0,24,,,,1.0,5.0,4.0,,1.0,,,,2.0,19,,,1.0,,,89,2012-03-22
West Coast,2012,22,Richmond,5,W,3,15,9.0,15.0,30,,1.0,,,3.0,4.0,2.0,2.0,,1.0,1.0,10.0,20,,,,,1.0,92,2012-03-29
West Coast,2012,23,North Melbourne,6,W,3,12,4.0,7.0,19,,1.0,,1.0,1.0,3.0,1.0,2.0,,,,6.0,13,,,,1.0,1.0,89,2012-04-05
West Coast,2012,24,Essendon,7,L,3,12,7.0,13.0,25,,,,2.0,4.0,3.0,1.0,1.0,,,,6.0,19,,,2.0,1.0,1.0,85,2012-04-12
West Coast,2012,25,St Kilda,8,W,3,17,11.0,8.0,25,1.0,,,1.0,3.0,4.0,2.0,1.0,,,,4.0,20,,1.0,,2.0,,79,2012-04-19
West Coast,2012,26,Fremantle,9,W,3,25,7.0,4.0,29,,2.0,,2.0,,8.0,2.0,2.0,,,2.0,6.0,25,,,1.0,4.0,1.0,82,2012-04-26
West Coast,2012,27,Brisbane Lions,10,L,3,16,4.0,8.0,24,,,,1.0,3.0,4.0,1.0,,,,,4.0,20,,,,5.0,1.0,85,2012-05-03
West Coast,2012,28,Carlton,12,W,3,18,1.0,9.0,27,,,,4.0,2.0,5.0,2.0,7.0,,1.0,,7.0,16,,,,3.0,,78,2012-05-17
West Coast,2012,29,Collingwood,13,L,3,15,3.0,6.0,21,,,,4.0,1.0,4.0,2.0,,,,,7.0,14,,,2.0,1.0,,91,2012-05-24
West Coast,2012,30↓,Gold Coast,14,W,3,20,7.0,5.0,25,1.0,3.0,,1.0,1.0,6.0,,2.0,,2.0,,1.0,23,,2.0,,2.0,1.0,51,2012-05-31
West Coast,2012,31,North Melbourne,15,W,3,11,1.0,6.0,17,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,4.0,13,,,3.0,1.0,,79,2012-06-07
West Coast,2012,32,Sydney,16,L,3,17,7.0,9.0,26,,,,1.0,6.0,3.0,3.0,2.0,3.0,1.0,,8.0,19,,,1.0,1.0,,91,2012-06-14
West Coast,2012,33,Adelaide,17,L,3,22,6.0,11.0,33,,,,,3.0,4.0,3.0,2.0,,1.0,,7.0,24,,,2.0,3.0,1.0,86,2012-06-21
