team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2025,1↓,Adelaide,14,L,22,2,2.0,4.0,6,,,2.0,4.0,,1.0,,1,,,,4,2.0,,,,,,45,2025-05-31
Brisbane Lions,2025,2↓,Hawthorn,25,W,22,1,1.0,4.0,5,,,,4.0,,2.0,,1,1.0,1.0,,5,1.0,,,1.0,,1.0,67,2025-08-16
Brisbane Lions,2026,7,Western Bulldogs,1,L,22,7,4.0,3.0,10,,1.0,,6.0,,3.0,,2,,,,5,4.0,2.0,1.0,,,,80,2026-03-01
Brisbane Lions,2026,8,Sydney,2,L,22,2,,1.0,3,,1.0,1.0,2.0,,1.0,,1,1.0,1.0,,3,,,,2.0,,1.0,63,2026-03-08
Brisbane Lions,2026,9,St Kilda,4,W,22,4,2.0,2.0,6,,,,,2.0,,,1,,,,2,4.0,,,5.0,,,87,2026-03-22
Brisbane Lions,2026,10,Collingwood,5,W,22,9,8.0,,9,,,,,2.0,,,2,,1.0,,2,8.0,1.0,,6.0,,,87,2026-03-29
Brisbane Lions,2026,11,North Melbourne,6,W,22,6,3.0,,6,,,,2.0,1.0,3.0,,1,1.0,,,3,3.0,1.0,,6.0,,,83,2026-04-05
Brisbane Lions,2026,12,Melbourne,7,L,22,7,4.0,1.0,8,,,,1.0,2.0,1.0,1.0,2,2.0,1.0,,2,6.0,,,7.0,,,95,2026-04-12
Brisbane Lions,2026,13,Adelaide,8,W,22,12,9.0,,12,,,,,4.0,2.0,,1,1.0,1.0,,4,9.0,1.0,,4.0,,,90,2026-04-19
Brisbane Lions,2026,14,Essendon,9,W,22,8,5.0,1.0,9,,,,1.0,1.0,3.0,,4,,2.0,,4,5.0,1.0,,6.0,,,68,2026-04-26
Brisbane Lions,2026,15,Greater Western Sydney,12,L,22,8,3.0,2.0,10,,,,3.0,1.0,1.0,,4,1.0,2.0,,5,6.0,1.0,,9.0,,,86,2026-05-17
Brisbane Lions,2026,16,Fremantle,13,L,22,5,5,3,8,,,,1,2,1,,1,,1,,4,4,1,,5,,,95,2026-05-24
