team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2024,1↑,Greater Western Sydney,6,L,34,3.0,1.0,8.0,11.0,,,,7.0,,1.0,3.0,4.0,,1.0,,8.0,3.0,,,,,,34.0,2024-04-05
St Kilda,2024,2,Western Bulldogs,7,L,34,4.0,1.0,10.0,14.0,1.0,,,9.0,1.0,2.0,1.0,5.0,,2.0,,10.0,7.0,,1.0,2.0,,1.0,75.0,2024-04-12
St Kilda,2024,3,Port Adelaide,8,L,34,2.0,1.0,5.0,7.0,,,,6.0,,,1.0,1.0,1.0,1.0,,3.0,3.0,,,,,,59.0,2024-04-19
St Kilda,2024,4,North Melbourne,9,W,34,1.0,2.0,5.0,6.0,,,,7.0,,,,,,,,4.0,2.0,,1.0,,,,68.0,2024-04-26
St Kilda,2024,5,Hawthorn,10,L,34,5.0,2.0,6.0,11.0,,1.0,,6.0,,1.0,2.0,,,,,6.0,4.0,,1.0,,,1.0,68.0,2024-05-03
St Kilda,2024,6↑,West Coast,20,W,34,2.0,1.0,3.0,5.0,,,,3.0,,,1.0,1.0,,,,1.0,4.0,,,,,,21.0,2024-07-12
St Kilda,2024,7,Essendon,21,W,34,,,,,,,,,,,,,,,,,,,,,,,,2024-07-19
St Kilda,2024,8↑,Geelong,24,W,34,4.0,,2.0,6.0,,,,1.0,,,1.0,,1.0,,,4.0,2.0,,,,,,15.0,2024-08-09
St Kilda,2024,9↑,Carlton,25,W,34,4.0,1.0,6.0,10.0,,,,1.0,2.0,1.0,1.0,,,,,5.0,4.0,,,,,,27.0,2024-08-16
St Kilda,2025,10,Adelaide,2,L,34,10.0,1.0,8.0,18.0,1.0,,,3.0,,4.0,5.0,5.0,1.0,3.0,,6.0,13.0,,,1.0,,,61.0,2025-03-08
St Kilda,2025,11↑,Geelong,3,W,34,1.0,,4.0,5.0,,,,4.0,,1.0,1.0,,,,,1.0,4.0,,,2.0,,,29.0,2025-03-15
St Kilda,2025,12,Richmond,4,W,34,13.0,5.0,10.0,23.0,,2.0,,9.0,3.0,3.0,6.0,3.0,1.0,1.0,,8.0,15.0,,,,,,66.0,2025-03-22
St Kilda,2025,13,Port Adelaide,5,W,34,4.0,,8.0,12.0,,,,5.0,1.0,1.0,7.0,2.0,,2.0,,7.0,4.0,,,,,,66.0,2025-03-29
St Kilda,2025,14,Greater Western Sydney,6,L,34,14.0,3.0,9.0,23.0,,,,4.0,,7.0,4.0,5.0,,1.0,,8.0,13.0,,1.0,,,,77.0,2025-04-05
St Kilda,2025,15,Western Bulldogs,7,L,34,10.0,1.0,6.0,16.0,,1.0,,10.0,1.0,1.0,2.0,4.0,1.0,1.0,,7.0,10.0,,,,,,65.0,2025-04-12
St Kilda,2025,16↓,Brisbane Lions,8,L,34,2.0,2.0,2.0,4.0,,,,1.0,2.0,1.0,,,,,,1.0,3.0,,,,,,20.0,2025-04-19
St Kilda,2025,17,Fremantle,9,W,34,10.0,,9.0,19.0,1.0,,,10.0,2.0,2.0,5.0,9.0,2.0,4.0,,9.0,10.0,,,,,,78.0,2025-04-26
St Kilda,2025,18,Carlton,10,L,34,7.0,3.0,4.0,11.0,,1.0,,7.0,,1.0,2.0,4.0,,1.0,,1.0,10.0,,1.0,,,,79.0,2025-05-03
St Kilda,2025,19,West Coast,11,L,34,8.0,1.0,4.0,12.0,,1.0,,7.0,,1.0,4.0,1.0,1.0,,,8.0,4.0,,1.0,,,1.0,66.0,2025-05-10
St Kilda,2025,20,Fremantle,17,L,34,10.0,1.0,14.0,24.0,,1.0,,1.0,4.0,3.0,10.0,2.0,1.0,,,12.0,10.0,,,,2.0,,83.0,2025-06-21
St Kilda,2025,21,Hawthorn,18,L,34,7.0,,10.0,17.0,,,,4.0,,4.0,8.0,4.0,,,,11.0,6.0,,,1.0,1.0,,61.0,2025-06-28
St Kilda,2025,22,Sydney,19,L,34,10.0,,5.0,15.0,1.0,,,5.0,3.0,4.0,,6.0,1.0,4.0,,4.0,10.0,,,,1.0,,80.0,2025-07-05
St Kilda,2025,23,North Melbourne,22,W,34,10.0,,5.0,15.0,,,,1.0,1.0,4.0,4.0,4.0,,1.0,,5.0,10.0,,,1.0,4.0,1.0,76.0,2025-07-26
St Kilda,2025,24,Richmond,23,W,34,12.0,6.0,8.0,20.0,1.0,,,7.0,,3.0,4.0,4.0,,1.0,,8.0,13.0,,,,1.0,,81.0,2025-08-02
St Kilda,2025,25,Essendon,24,W,34,11.0,2.0,9.0,20.0,,1.0,,12.0,1.0,5.0,3.0,3.0,,,,8.0,12.0,,,,1.0,1.0,76.0,2025-08-09
St Kilda,2025,26,Greater Western Sydney,25,L,34,6.0,3.0,6.0,12.0,,,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,,5.0,8.0,,,2.0,,1.0,76.0,2025-08-16
St Kilda,2026,27,Collingwood,1,L,34,7.0,4.0,10.0,17.0,,,,6.0,,5.0,5.0,1.0,2.0,,,7.0,10.0,,,1.0,,,71.0,2026-03-01
St Kilda,2026,28,Melbourne,2,L,34,11.0,1.0,8.0,19.0,,1.0,,6.0,1.0,3.0,4.0,3.0,,,,4.0,13.0,,,4.0,,1.0,69.0,2026-03-08
St Kilda,2026,29,Greater Western Sydney,3,W,34,10.0,,11.0,21.0,,,,4.0,,4.0,6.0,3.0,2.0,,,9.0,10.0,,,6.0,,,86.0,2026-03-15
St Kilda,2026,30,Brisbane Lions,4,L,34,1.0,,11.0,12.0,,,,10.0,,1.0,3.0,3.0,,1.0,,5.0,7.0,,,2.0,,,75.0,2026-03-22
St Kilda,2026,31,Port Adelaide,6,W,34,18.0,4.0,8.0,26.0,1.0,,,4.0,3.0,2.0,10.0,4.0,2.0,,,14.0,12.0,,,1.0,,,62.0,2026-04-05
St Kilda,2026,32,Adelaide,7,L,34,13.0,6.0,11.0,24.0,,,,5.0,1.0,4.0,7.0,4.0,,2.0,,12.0,12.0,,,2.0,,,78.0,2026-04-12
St Kilda,2026,33,West Coast,8,W,34,9.0,3.0,23.0,32.0,2.0,,,5.0,1.0,3.0,9.0,6.0,1.0,1.0,,15.0,16.0,,1.0,,,,70.0,2026-04-19
St Kilda,2026,34,Carlton,9,W,34,7.0,2.0,9.0,16.0,,1.0,,3.0,2.0,3.0,4.0,3.0,1.0,1.0,,8.0,9.0,,,1.0,,3.0,72.0,2026-04-26
St Kilda,2026,35,Gold Coast,10,L,34,14.0,2.0,13.0,27.0,,,,3.0,1.0,4.0,5.0,3.0,1.0,,,10.0,19.0,,,2.0,,2.0,80.0,2026-05-03
St Kilda,2026,36,Richmond,11,W,34,13.0,2.0,12.0,25.0,2.0,,,7.0,,3.0,10.0,3.0,3.0,,,16.0,10.0,,,3.0,,3.0,74.0,2026-05-10
St Kilda,2026,37,Fremantle,12,L,34,4.0,,6.0,10.0,,1.0,,5.0,1.0,2.0,2.0,1.0,,,,4.0,6.0,,,1.0,,,69.0,2026-05-17
St Kilda,2026,38,Hawthorn,13,L,34,7.0,3.0,12.0,19.0,,1.0,,5.0,,1.0,2.0,1.0,,,,7.0,14.0,,1.0,4.0,,,77.0,2026-05-24
St Kilda,2026,39,Sydney,14,L,34,14.0,4.0,15.0,29.0,,1.0,,6.0,2.0,7.0,9.0,4.0,1.0,1.0,,13.0,15.0,,,,1.0,1.0,70.0,2026-05-31
St Kilda,2026,40,Greater Western Sydney,15,W,34,13,2,14,27,,1,,4,,6,8,6,1,4,,9,17,,1,,1,,80,2026-06-07
