team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Brisbane Lions,2014,1,Richmond,5,L,27,6.0,2.0,5.0,11,,,1.0,1.0,3.0,,1.0,3.0,,2.0,,4.0,5,,,4.0,,,88,2014-03-29
Brisbane Lions,2014,2,St Kilda,6,W,27,6.0,4.0,3.0,9,,,,2.0,1.0,2.0,,2.0,1.0,2.0,,1.0,8,,,5.0,,,84,2014-04-05
Brisbane Lions,2014,3,Sydney,7,L,27,5.0,2.0,2.0,7,,,,1.0,,,,1.0,1.0,1.0,,,8,,,4.0,,1.0,88,2014-04-12
Brisbane Lions,2014,4,Essendon,8,L,27,2.0,2.0,7.0,9,,,,3.0,3.0,1.0,,1.0,1.0,,,4.0,5,,,3.0,,,88,2014-04-19
Brisbane Lions,2014,5,North Melbourne,9,L,27,11.0,8.0,4.0,15,,,,2.0,3.0,,,3.0,2.0,2.0,,4.0,10,,,7.0,,,91,2014-04-26
Brisbane Lions,2014,6,Carlton,11,W,27,5.0,3.0,5.0,10,,,,,1.0,1.0,,2.0,,1.0,,5.0,3,1.0,,2.0,,,79,2014-05-10
Brisbane Lions,2014,7,Western Bulldogs,12,W,27,1.0,1.0,5.0,6,,,,,,1.0,,,,,,1.0,5,,,3.0,,,83,2014-05-17
Brisbane Lions,2014,8,Greater Western Sydney,13,L,27,4.0,3.0,7.0,11,1.0,,,1.0,2.0,,,3.0,,1.0,,5.0,6,,1.0,5.0,,,95,2014-05-24
Brisbane Lions,2014,9↓,Fremantle,14,L,27,5.0,3.0,4.0,9,,,,3.0,3.0,,2.0,2.0,,1.0,,5.0,4,,,3.0,,,57,2014-05-31
Brisbane Lions,2014,10,Richmond,16,L,27,9.0,4.0,13.0,22,,,,3.0,6.0,,,1.0,4.0,,,10.0,14,,,7.0,,,83,2014-06-14
Brisbane Lions,2014,11,West Coast,17,L,27,4.0,2.0,3.0,7,,,,3.0,,2.0,,,1.0,,,1.0,5,,,5.0,,1.0,89,2014-06-21
Brisbane Lions,2014,12,Gold Coast,18,W,27,4.0,2.0,8.0,12,,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,5.0,6,,,8.0,,,83,2014-06-28
Brisbane Lions,2014,13,Melbourne,19,W,27,8.0,12.0,10.0,18,,,,,3.0,1.0,1.0,1.0,,1.0,,5.0,13,,,5.0,,1.0,87,2014-07-05
Brisbane Lions,2014,14,Adelaide,20,L,27,4.0,5.0,7.0,11,,,,,2.0,1.0,,1.0,,1.0,,5.0,7,1.0,,7.0,,,83,2014-07-12
Brisbane Lions,2014,15↓,Collingwood,21,W,27,10.0,4.0,6.0,16,1.0,,,5.0,3.0,1.0,,5.0,1.0,2.0,,6.0,11,,,2.0,,1.0,69,2014-07-19
Brisbane Lions,2014,16,Fremantle,22,L,27,4.0,2.0,7.0,11,,,,5.0,1.0,,1.0,1.0,,,,3.0,9,,,6.0,1.0,,85,2014-07-26
Brisbane Lions,2014,17,Geelong,23,L,27,4.0,2.0,4.0,8,,,,1.0,1.0,,,,,,,1.0,7,,,6.0,,,63,2014-08-02
Brisbane Lions,2015,18↓,Richmond,3,L,27,3.0,1.0,6.0,9,,,,,2.0,,,,,,,4.0,5,,,1.0,,,56,2015-03-15
Brisbane Lions,2015,19,West Coast,4,L,27,8.0,5.0,4.0,12,,,,3.0,4.0,,1.0,2.0,1.0,,,5.0,7,,1.0,8.0,,,94,2015-03-22
Brisbane Lions,2015,20,Gold Coast,5,L,27,4.0,3.0,6.0,10,,,,2.0,1.0,1.0,,7.0,1.0,7.0,,5.0,6,1.0,1.0,8.0,,,96,2015-03-29
Brisbane Lions,2015,21,Carlton,6,W,27,3.0,1.0,4.0,7,,,,3.0,1.0,,,2.0,,2.0,,,7,,,7.0,,,80,2015-04-05
Brisbane Lions,2015,22,Port Adelaide,7,W,27,4.0,1.0,4.0,8,,,,2.0,2.0,,,1.0,1.0,1.0,,2.0,6,,,7.0,,,87,2015-04-12
Brisbane Lions,2015,23,Essendon,8,L,27,5.0,4.0,5.0,10,1.0,,,1.0,1.0,1.0,,7.0,1.0,4.0,,3.0,7,2.0,1.0,6.0,,,93,2015-04-19
Brisbane Lions,2015,24,Fremantle,14,L,27,9.0,3.0,5.0,14,,,,3.0,4.0,1.0,,2.0,2.0,2.0,,5.0,8,,,10.0,,,86,2015-05-31
