team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2019,1,West Coast,11,L,43,3.0,2.0,6.0,9.0,1.0,1.0,,1.0,,1.0,1.0,1.0,2.0,,,4.0,5.0,,1.0,3.0,,,76,2019-05-10
Western Bulldogs,2019,2,Carlton,13,W,43,1.0,,2.0,3.0,1.0,,4.0,,,,,,1.0,,,2.0,1.0,,,3.0,,,69,2019-05-24
Western Bulldogs,2020,3,Collingwood,1,L,43,8.0,5.0,3.0,11.0,,,,1.0,,,,2.0,,,,,10.0,,,8.0,,,97,2020-03-01
Western Bulldogs,2020,4,St Kilda,2,L,43,4.0,1.0,2.0,6.0,,,,1.0,,,,2.0,,1.0,,2.0,4.0,,,7.0,,,100,2020-03-08
Western Bulldogs,2020,5,Brisbane Lions,11,L,43,2.0,1.0,3.0,5.0,,,,1.0,1.0,,,4.0,,3.0,,3.0,1.0,1.0,,3.0,,,81,2020-05-10
Western Bulldogs,2020,6,Adelaide,12,W,43,3.0,2.0,3.0,6.0,,,,,1.0,,,,,,,2.0,4.0,,,4.0,,,98,2020-05-17
Western Bulldogs,2020,7,Melbourne,13,W,43,3.0,3.0,4.0,7.0,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,6.0,,,7.0,,,95,2020-05-24
Western Bulldogs,2020,8,Geelong,14,L,43,3.0,1.0,5.0,8.0,,,,3.0,1.0,1.0,,2.0,,1.0,,2.0,6.0,,,10.0,,,100,2020-05-31
Western Bulldogs,2020,9,West Coast,16,W,43,3.0,3.0,4.0,7.0,,,,1.0,,,,3.0,,3.0,,2.0,5.0,,,6.0,,,97,2020-06-14
Western Bulldogs,2020,10,Hawthorn,17,W,43,5.0,5.0,4.0,9.0,,,,3.0,1.0,,,1.0,,,,4.0,5.0,,,12.0,,,91,2020-06-21
Western Bulldogs,2020,11,Fremantle,18,W,43,1.0,,2.0,3.0,,,,2.0,,,,2.0,,1.0,,2.0,1.0,,,10.0,,,97,2020-06-28
Western Bulldogs,2020,12,St Kilda,EF,L,43,9.0,6.0,5.0,14.0,,,,,3.0,1.0,,,,,,3.0,11.0,,,8.0,,,96,2020-03-01
Western Bulldogs,2021,13,Collingwood,1,W,43,7.0,7.0,4.0,11.0,,,,1.0,1.0,,,,,,,4.0,7.0,1.0,,9.0,,,100,2021-03-01
Western Bulldogs,2021,14,West Coast,2,W,43,8.0,4.0,2.0,10.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,3.0,7.0,,,9.0,,,100,2021-03-08
Western Bulldogs,2021,15↓,North Melbourne,3,W,43,,,,,,,,,,,,,,,,,,,,,,,1,2021-03-15
