team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2011,1,Essendon,11,W,37,5.0,4.0,3.0,8,,2.0,10,2.0,,,2.0,,3.0,,,5,5.0,1.0,2.0,4.0,,,84,2011-05-10
Melbourne,2011,2,Collingwood,12,L,37,2.0,1.0,6.0,8,,,23,4.0,1.0,1.0,2.0,2.0,,2.0,,3,5.0,,,3.0,,,78,2011-05-17
Melbourne,2011,3,Fremantle,13,W,37,3.0,3.0,2.0,5,1.0,,22,4.0,2.0,1.0,,2.0,,1.0,,3,3.0,,1.0,5.0,,,80,2011-05-24
Melbourne,2011,4,Carlton,20,L,37,5.0,4.0,3.0,8,,,10,2.0,,,,1.0,1.0,,,3,5.0,2.0,,,,,64,2011-07-12
Melbourne,2013,5,Greater Western Sydney,4,W,37,3.0,6.0,10.0,13,2.0,,13,2.0,,1.0,1.0,,1.0,,,5,8.0,3.0,2.0,3.0,,1.0,75,2013-03-22
Melbourne,2013,6,Brisbane Lions,5,L,37,5.0,2.0,7.0,12,2.0,,11,,,,2.0,2.0,3.0,1.0,,9,2.0,1.0,1.0,1.0,,,79,2013-03-29
Melbourne,2013,7,Carlton,6,L,37,4.0,3.0,2.0,6,,,12,1.0,,1.0,2.0,1.0,2.0,1.0,,5,3.0,1.0,,2.0,,,87,2013-04-05
Melbourne,2013,8,Gold Coast,7,L,37,3.0,2.0,7.0,10,2.0,1.0,10,1.0,,1.0,2.0,2.0,2.0,2.0,,6,4.0,2.0,2.0,1.0,,,78,2013-04-12
Melbourne,2013,9,Richmond,8,L,37,5.0,2.0,,5,,,10,3.0,,1.0,,3.0,,,,2,2.0,1.0,1.0,,,,77,2013-04-19
Melbourne,2013,10,Fremantle,9,L,37,,1.0,5.0,5,,,13,2.0,1.0,,1.0,,,,,3,2.0,1.0,,,,1.0,79,2013-04-26
Melbourne,2013,11,Western Bulldogs,14,W,37,6.0,5.0,4.0,10,1.0,,33,6.0,,2.0,2.0,3.0,2.0,2.0,,4,6.0,1.0,1.0,4.0,,,84,2013-05-31
