team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2022,1,Carlton,1,L,28,3,5.0,7.0,10,,,,,3.0,,,2.0,,1.0,,3,8.0,,,6,,,73,2022-03-01
Richmond,2022,2,Greater Western Sydney,2,W,28,6,4.0,4.0,10,,,,,6.0,,,1.0,,,,2,8.0,1.0,,6,,,88,2022-03-08
Richmond,2022,3,St Kilda,3,L,28,3,2.0,5.0,8,,,,3.0,1.0,1.0,,,1.0,,,3,5.0,,,7,,1.0,87,2022-03-15
Richmond,2022,4,Western Bulldogs,4,W,28,8,4.0,3.0,11,,,,,5.0,,,3.0,,,,2,10.0,,,6,,,78,2022-03-22
Richmond,2022,5,Melbourne,6,L,28,15,12.0,3.0,18,,,,1.0,7.0,,,1.0,1.0,1.0,,4,12.0,2.0,,3,,,94,2022-04-05
Richmond,2022,6,West Coast,7,W,28,8,6.0,4.0,12,,,,3.0,3.0,2.0,,2.0,2.0,,,6,6.0,2.0,,10,,,92,2022-04-12
Richmond,2022,7,Collingwood,8,W,28,7,3.0,5.0,12,,,,1.0,2.0,,1.0,1.0,,,,3,8.0,1.0,,10,,,93,2022-04-19
Richmond,2022,8,Essendon,10,W,28,8,3.0,4.0,12,,,,3.0,,2.0,,1.0,3.0,,,7,6.0,1.0,,2,,1.0,87,2022-05-03
Richmond,2022,9,Sydney,11,L,28,7,3.0,3.0,10,1.0,,,2.0,3.0,1.0,,4.0,1.0,2.0,,3,6.0,1.0,1.0,6,,,94,2022-05-10
Richmond,2022,10,Port Adelaide,13,W,28,3,1.0,3.0,6,1.0,,,2.0,2.0,1.0,,1.0,1.0,1.0,,5,3.0,,,6,,,85,2022-05-24
Richmond,2022,11,Carlton,14,W,28,5,3.0,2.0,7,,,,,2.0,,,2.0,1.0,,,2,5.0,,,10,,,74,2022-05-31
Richmond,2022,12,Geelong,15,L,28,1,1.0,2.0,3,,,,,2.0,,,,,,,1,2.0,,,4,,,71,2022-06-07
Richmond,2022,13,West Coast,16,W,28,9,5.0,2.0,11,1.0,,,,2.0,2.0,,5.0,,,,1,10.0,,,8,,,93,2022-06-14
Richmond,2022,14↓,North Melbourne,18,L,28,2,2.0,1.0,3,,1.0,4.0,2.0,,,,3.0,,2.0,,1,3.0,,1.0,1,,,52,2022-06-28
Richmond,2022,15,Port Adelaide,21,W,28,2,2.0,2.0,4,,,,1.0,,,,1.0,1.0,1.0,,3,2.0,1.0,,5,,,84,2022-07-19
Richmond,2022,16,Hawthorn,22,W,28,6,4.0,6.0,12,,,,2.0,2.0,1.0,,2.0,,,,4,7.0,1.0,,6,,1.0,87,2022-07-26
Richmond,2022,17,Essendon,23,W,28,4,2.0,4.0,8,,,,1.0,,1.0,,2.0,,1.0,,8,3.0,1.0,,7,,,79,2022-08-02
Richmond,2022,18,Brisbane Lions,EF,L,28,2,,6.0,8,,,,1.0,3.0,1.0,,4.0,,2.0,,5,2.0,,,12,,,94,2022-03-01
Richmond,2024,19,Gold Coast,1,L,18,6,2.0,3.0,9,,,,2.0,3.0,1.0,,1.0,1.0,,,8,1.0,2.0,,7,,,89,2024-03-01
Richmond,2024,20,Carlton,2,L,18,1,,,1,,,,2.0,1.0,,,,1.0,,,1,,,,5,,,40,2024-03-08
Richmond,2025,21↓,Geelong,25,L,18,5,3,2,7,,,,,2,,,1,,1,,3,4,,,6,,,56,2025-08-16
Richmond,2026,22,Carlton,2,L,18,6,4,3,9,,,,4,2,,,1,,,,4,3,1,,5,,,76,2026-03-08
