team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2015,1↑,Brisbane Lions,1,W,35,2,1.0,3.0,5,,,,1.0,1.0,1.0,1.0,3.0,,2.0,,2.0,3,,,,,,32,2015-03-01
Collingwood,2015,2,Richmond,7,L,35,6,1.0,8.0,14,1.0,1.0,,9.0,,2.0,3.0,3.0,1.0,2.0,,7.0,8,,1.0,,,,67,2015-04-12
Collingwood,2015,3,Gold Coast,8,W,35,12,2.0,4.0,16,,,,1.0,1.0,3.0,4.0,3.0,1.0,,,5.0,8,1.0,,,,1.0,84,2015-04-19
Collingwood,2015,4↑,North Melbourne,9,W,35,2,,6.0,8,,,,4.0,,1.0,3.0,2.0,,1.0,,6.0,3,,,,,,31,2015-04-26
Collingwood,2015,5,Melbourne,10,W,35,9,3.0,6.0,15,,,,9.0,,3.0,2.0,4.0,,,,5.0,10,,,1.0,,,84,2015-05-03
Collingwood,2015,6↓,Greater Western Sydney,11,W,35,5,,4.0,9,1.0,,,4.0,,1.0,3.0,2.0,1.0,,,6.0,4,,,3.0,,,68,2015-05-10
Collingwood,2015,7,Fremantle,13,L,35,7,1.0,5.0,12,1.0,,,4.0,1.0,2.0,,2.0,,,,5.0,7,1.0,,2.0,,1.0,88,2015-05-24
Collingwood,2015,8,Hawthorn,14,L,35,5,3.0,13.0,18,1.0,1.0,,5.0,,1.0,2.0,1.0,2.0,,,9.0,10,,1.0,,,,78,2015-05-31
Collingwood,2015,9↑,Port Adelaide,15,L,35,13,,3.0,16,1.0,,,5.0,2.0,5.0,7.0,3.0,,,,7.0,5,,,1.0,,1.0,53,2015-06-07
Collingwood,2015,10,West Coast,16,L,35,8,6.0,6.0,14,,1.0,,3.0,,3.0,,2.0,,,,4.0,10,,2.0,2.0,,,91,2015-06-14
Collingwood,2015,11,Western Bulldogs,17,L,35,7,1.0,11.0,18,,,,5.0,1.0,6.0,3.0,2.0,2.0,2.0,,11.0,9,,,2.0,,,82,2015-06-21
Collingwood,2015,12,Melbourne,18,L,35,8,,3.0,11,,1.0,,3.0,1.0,2.0,3.0,3.0,1.0,1.0,,6.0,5,,,1.0,1.0,1.0,85,2015-06-28
Collingwood,2015,13,Sydney,20,L,35,12,4.0,6.0,18,1.0,,,12.0,,5.0,2.0,1.0,1.0,,,8.0,10,,,1.0,,1.0,71,2015-07-12
Collingwood,2015,14↑,Richmond,21,L,35,7,2.0,4.0,11,,,,4.0,2.0,3.0,4.0,4.0,,1.0,,6.0,4,,,,,1.0,40,2015-07-19
Collingwood,2015,15,Geelong,22,W,35,16,3.0,9.0,25,,,,7.0,,3.0,10.0,5.0,2.0,1.0,,17.0,7,,,,,,79,2015-07-26
Collingwood,2015,16,Essendon,23,L,35,6,4.0,6.0,12,,,,2.0,,2.0,1.0,3.0,1.0,1.0,,6.0,7,1.0,,1.0,,,81,2015-08-02
Collingwood,2016,17,Sydney,1,L,2,7,5.0,9.0,16,1.0,1.0,,5.0,2.0,1.0,3.0,2.0,1.0,,,9.0,7,,,1.0,,1.0,89,2016-03-01
Collingwood,2016,18,Richmond,2,W,2,10,2.0,4.0,14,1.0,,,4.0,,5.0,2.0,5.0,2.0,2.0,,5.0,8,,1.0,1.0,,1.0,85,2016-03-08
Collingwood,2016,19,St Kilda,3,L,2,10,5.0,7.0,17,2.0,2.0,,4.0,,3.0,1.0,,,,,6.0,11,1.0,1.0,,,1.0,84,2016-03-15
Collingwood,2016,20,Melbourne,4,L,2,9,2.0,13.0,22,,1.0,,4.0,,2.0,5.0,1.0,,,,10.0,10,,,2.0,,,80,2016-03-22
Collingwood,2016,21,Essendon,5,W,2,10,6.0,13.0,23,1.0,,,5.0,,4.0,1.0,1.0,,,,6.0,16,1.0,1.0,,,2.0,82,2016-03-29
Collingwood,2016,22,West Coast,6,L,2,8,1.0,10.0,18,,1.0,,5.0,2.0,2.0,,1.0,,,,4.0,14,,,3.0,,,85,2016-04-05
Collingwood,2016,23,Carlton,7,L,2,8,2.0,10.0,18,,,,5.0,1.0,2.0,6.0,7.0,1.0,4.0,,9.0,11,,,1.0,,1.0,87,2016-04-12
Collingwood,2016,24,Brisbane Lions,8,W,2,12,6.0,11.0,23,1.0,3.0,,2.0,,3.0,3.0,2.0,,1.0,,6.0,18,,1.0,2.0,,1.0,83,2016-04-19
Collingwood,2016,25,Geelong,9,W,2,10,5.0,12.0,22,1.0,,,2.0,2.0,3.0,5.0,3.0,1.0,2.0,,11.0,13,,,,,,85,2016-04-26
