team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2025,1↓,Melbourne,8,L,50,5,5.0,,5,,,,,3.0,,,1,,,,1,5,1.0,,4,,,54,2025-04-19
Richmond,2025,2,Essendon,12,L,50,6,6.0,5.0,11,,,,2.0,3.0,,,1,,,,2,8,,,14,,,84,2025-05-17
Richmond,2025,3,Greater Western Sydney,13,L,50,9,5.0,4.0,13,,,,,4.0,1.0,,2,,,,6,6,1.0,,8,,,77,2025-05-24
Richmond,2026,4,Carlton,2,L,50,1,,1.0,2,,,2.0,,,,,1,,1.0,,1,1,,,3,,,32,2026-03-08
Richmond,2026,5,Fremantle,4,L,50,1,1.0,2.0,3,,,5.0,2.0,1.0,,,4,,3.0,,2,3,,,5,,,82,2026-03-22
Richmond,2026,6,Port Adelaide,5,L,50,8,7.0,6.0,14,,,,5.0,3.0,1.0,,6,4.0,3.0,,5,10,,,5,1.0,,74,2026-03-29
Richmond,2026,7,Greater Western Sydney,6,L,50,1,1.0,4.0,5,1.0,,4.0,1.0,,,1.0,1,,1.0,,2,3,1.0,1.0,1,,,37,2026-04-05
Richmond,2026,8,North Melbourne,7,L,50,5,3.0,1.0,6,,,1.0,2.0,2.0,,,1,2.0,1.0,,2,4,,,4,,,85,2026-04-12
Richmond,2026,9,Melbourne,8,L,50,5,4.0,1.0,6,,,,1.0,2.0,,,2,,1.0,,4,3,1.0,,9,,,84,2026-04-19
Richmond,2026,10,West Coast,9,W,50,7,3.0,2.0,9,,,,1.0,4.0,1.0,,1,,1.0,,2,7,,,11,,,91,2026-04-26
Richmond,2026,11,Adelaide,10,L,50,8,4.0,1.0,9,,,,4.0,3.0,1.0,,3,1.0,3.0,,1,8,,,9,,,87,2026-05-10
