team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2024,1,Brisbane Lions,11,L,48,3,,2,5,,,,2,,2,1,1,1,1,,2,3,,,,,,78,2024-05-10
Richmond,2024,2↑,Essendon,12,L,48,5,4,1,6,,,,,1,1,,2,,,,3,5,,,1,,1,13,2024-05-17
Richmond,2024,3,Greater Western Sydney,19,L,48,9,4,2,11,3,,,2,,3,,2,1,,,2,9,,3,2,,,74,2024-07-05
Richmond,2024,4,Port Adelaide,20,L,48,8,3,5,13,1,,,,,5,,2,1,,,3,10,,,1,,1,73,2024-07-12
Richmond,2024,5,Collingwood,21,L,48,5,2,6,11,,1,,,,3,2,,,,,3,8,,,2,2,,82,2024-07-19
Richmond,2024,6↓,North Melbourne,22,L,48,4,1,2,6,1,,,2,1,2,1,2,1,,,3,3,,,,,,46,2024-07-26
Richmond,2025,7,Carlton,2,W,48,6,2,1,7,,,,5,1,3,,5,1,2,,2,6,,,,,,76,2025-03-08
Richmond,2025,8,Port Adelaide,3,L,48,7,2,6,13,,,,,,3,,2,,1,,5,9,,,1,,,82,2025-03-15
Richmond,2025,9,St Kilda,4,L,48,5,3,5,10,,,,2,,4,,1,,,,3,7,,,1,,1,85,2025-03-22
Richmond,2025,10,Brisbane Lions,5,L,48,10,4,4,14,2,,,,1,2,1,3,1,1,,5,10,,1,2,2,1,78,2025-03-29
Richmond,2025,11,Fremantle,6,L,48,5,1,4,9,1,1,,1,,1,1,3,,1,,4,6,,,1,,,85,2025-04-05
Richmond,2025,12,Gold Coast,7,W,48,8,3,3,11,,2,,5,,2,1,2,,,,6,6,1,,2,,,80,2025-04-12
Richmond,2025,13,Melbourne,8,L,48,4,3,2,6,1,,,2,,2,1,3,,,,1,6,,1,3,,,80,2025-04-19
Richmond,2025,14,Hawthorn,9,L,48,5,4,3,8,1,1,,1,,1,1,1,1,,,2,6,,1,3,,,87,2025-04-26
Richmond,2025,15,West Coast,10,W,48,4,2,1,5,,1,,2,,,,1,,,,,5,,1,1,,,78,2025-05-03
Richmond,2025,16,North Melbourne,11,L,48,5,1,3,8,,,,3,1,3,1,,1,,,4,4,1,,,,,68,2025-05-10
Richmond,2025,17,Essendon,12,L,48,5,3,4,9,,1,,1,,3,,4,,2,,3,7,,,,,,83,2025-05-17
Richmond,2025,18,Greater Western Sydney,13,L,48,6,1,1,7,2,2,,1,,1,,,,,,3,4,,1,2,,,86,2025-05-24
Richmond,2025,19,Sydney,14,L,48,2,,3,5,,,,2,,,,1,2,1,,4,1,,,,2,,81,2025-05-31
Richmond,2025,20,Western Bulldogs,16,L,48,3,1,4,7,1,,,2,,2,,1,1,1,,4,3,,,,2,,84,2025-06-14
Richmond,2025,21,Adelaide,17,L,48,1,1,3,4,,,,,,,,3,,1,,,4,,,,,,85,2025-06-21
Richmond,2025,22,Collingwood,21,L,48,5,1,6,11,2,1,,3,,1,1,1,2,,,5,5,,,1,1,1,80,2025-07-19
Richmond,2025,23,Gold Coast,22,L,48,1,1,3,4,,,,2,,,1,,,,,1,3,,,,1,,86,2025-07-26
Richmond,2025,24,St Kilda,23,L,48,,,,,,,,,,,,,,,,,,,,,,,,2025-08-02
Richmond,2025,25↑,North Melbourne,24,L,48,2,,,2,1,,,2,,1,,,1,,,1,1,,,1,,,31,2025-08-09
Richmond,2026,26,Carlton,2,L,48,9,4,3,12,2,,,2,1,3,,,1,,,5,7,,,1,1,,80,2026-03-08
Richmond,2026,27,Gold Coast,3,L,48,2,1,5,7,,1,,1,,3,1,1,1,,,2,4,,,,,1,80,2026-03-15
Richmond,2026,28,Fremantle,4,L,48,6,3,3,9,3,1,,2,,1,,1,,,,4,5,,3,1,,,91,2026-03-22
Richmond,2026,29,Port Adelaide,5,L,48,12,3,2,14,,2,,6,,4,,2,2,,,7,7,,1,1,,1,78,2026-03-29
Richmond,2026,30,Greater Western Sydney,6,L,48,6,3,9,15,,,,5,,2,1,2,1,1,,6,7,,,,,1,88,2026-04-05
Richmond,2026,31,North Melbourne,7,L,48,2,1,4,6,1,,,2,,,,3,,1,,3,3,,1,1,,,88,2026-04-12
Richmond,2026,32,Melbourne,8,L,48,9,3,1,10,1,1,,1,2,3,1,5,,2,,2,7,,,1,,2,84,2026-04-19
Richmond,2026,33,West Coast,9,W,48,7,3,3,10,2,,,2,,3,1,3,1,2,,4,4,,1,,,1,82,2026-04-26
Richmond,2026,34,Adelaide,10,L,48,5,5,5,10,1,,,5,1,,,,,,,3,7,,1,,,1,84,2026-05-03
Richmond,2026,35,St Kilda,11,L,48,5,3,6,11,,,,2,1,,,1,,,,4,7,,,1,,1,81,2026-05-10
Richmond,2026,36,Essendon,12,W,48,7,4,6,13,2,1,,5,,1,2,1,4,,,7,6,,1,,,,83,2026-05-17
Richmond,2026,37,Sydney,13,L,48,10,2,4,14,,1,,1,1,1,1,4,1,1,,2,11,,,,,,84,2026-05-24
Richmond,2026,38,Brisbane Lions,15,L,48,6,3,6,12,1,1,,1,,1,1,1,,,,5,6,,1,,,3,77,2026-06-07
