team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2010,1,Port Adelaide,22,L,48,2.0,1.0,3.0,5,,,,,,,,1.0,,,,2.0,3.0,,,2.0,,,77,2010-07-26
Richmond,2011,2,Hawthorn,3,L,48,3.0,,5.0,8,,,,2.0,,,1.0,3.0,1.0,2.0,,6.0,1.0,,,16.0,,,95,2011-03-15
Richmond,2011,3,Collingwood,4,L,48,4.0,4.0,4.0,8,,,,1.0,2.0,,,,,,,2.0,6.0,1.0,,13.0,,,91,2011-03-22
Richmond,2011,4,North Melbourne,5,W,48,5.0,5.0,6.0,11,,,,2.0,1.0,,1.0,4.0,,3.0,,7.0,3.0,2.0,,11.0,,,94,2011-03-29
Richmond,2011,5,Brisbane Lions,6,W,48,5.0,5.0,10.0,15,,,,,2.0,1.0,,5.0,,1.0,,4.0,12.0,,,15.0,,,93,2011-04-05
Richmond,2011,6,Fremantle,7,W,48,7.0,5.0,9.0,16,,,,1.0,2.0,,1.0,2.0,1.0,2.0,,7.0,8.0,1.0,,14.0,,,92,2011-04-12
Richmond,2011,7,Western Bulldogs,8,L,48,4.0,7.0,8.0,12,,,,1.0,,,,1.0,,1.0,,1.0,12.0,,,5.0,,,96,2011-04-19
Richmond,2011,8,Essendon,9,W,48,7.0,1.0,9.0,16,,,,5.0,1.0,1.0,,1.0,2.0,1.0,,7.0,10.0,,,8.0,,,71,2011-04-26
Richmond,2012,9,Carlton,1,L,2,9.0,2.0,2.0,11,,,,2.0,4.0,,,3.0,3.0,1.0,,5.0,5.0,,,6.0,1.0,,91,2012-03-01
Richmond,2012,10,Collingwood,2,L,2,14.0,12.0,6.0,20,,,,2.0,2.0,,,3.0,,,,1.0,19.0,,,6.0,,,96,2012-03-08
Richmond,2012,11,Melbourne,3,W,2,9.0,9.0,9.0,18,,,,2.0,,,,1.0,2.0,1.0,,6.0,12.0,,,1.0,1.0,,98,2012-03-15
