team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2024,1,Sydney,16,L,35,4.0,1.0,,4.0,2.0,,,,,,,3.0,1.0,1.0,,2.0,2.0,,1.0,2.0,,,56,2024-06-14
Greater Western Sydney,2024,2↓,Adelaide,17,L,35,2.0,2.0,,2.0,,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,37,2024-06-21
Greater Western Sydney,2024,3↓,Hawthorn,22,W,35,1.0,1.0,2.0,3.0,,,,,,,,,,,,1.0,2.0,,,,,,47,2024-07-26
Greater Western Sydney,2024,4,Brisbane Lions,23,W,35,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,54,2024-08-02
Greater Western Sydney,2025,5,Collingwood,1,W,35,4.0,3.0,5.0,9.0,2.0,,6.0,2.0,,1.0,,1.0,,,,4.0,5.0,1.0,2.0,1.0,,1.0,68,2025-03-09
Greater Western Sydney,2025,6↑,Melbourne,2,W,35,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,27,2025-03-08
Greater Western Sydney,2025,7,West Coast,18,W,35,,,2.0,2.0,,,,,,1.0,,2.0,,1.0,,3.0,,,,2.0,,1.0,65,2025-06-28
Greater Western Sydney,2025,8,Essendon,20,W,35,3.0,1.0,4.0,7.0,2.0,,,,,,,1.0,,,,3.0,4.0,1.0,,1.0,,,73,2025-07-12
Greater Western Sydney,2025,9,North Melbourne,23,W,35,6.0,5.0,2.0,8.0,,3.0,,1.0,,1.0,,1.0,,,,2.0,5.0,1.0,3.0,1.0,,,64,2025-08-02
Greater Western Sydney,2025,10,Gold Coast,24,W,35,6.0,4.0,3.0,9.0,3.0,,,2.0,,1.0,,,,,,4.0,5.0,1.0,2.0,1.0,,1.0,66,2025-08-09
Greater Western Sydney,2025,11,St Kilda,25,W,35,8.0,6.0,1.0,9.0,3.0,2.0,,1.0,,,,,,,,2.0,7.0,1.0,5.0,1.0,,,65,2025-08-16
Greater Western Sydney,2026,12,Hawthorn,1,W,35,3.0,3.0,3.0,6.0,2.0,,,,,1.0,,2.0,,1.0,,3.0,3.0,1.0,2.0,2.0,,,69,2026-03-01
Greater Western Sydney,2026,13,Western Bulldogs,2,L,35,3.0,4.0,4.0,7.0,,1.0,,1.0,,1.0,,,,,,4.0,3.0,2.0,1.0,,,,66,2026-03-08
Greater Western Sydney,2026,14,St Kilda,3,L,35,6.0,4.0,4.0,10.0,1.0,1.0,,,,,,,,,,2.0,7.0,1.0,2.0,1.0,,,71,2026-03-15
Greater Western Sydney,2026,15,Collingwood,4,L,35,5.0,2.0,,5.0,1.0,,,2.0,,3.0,,1.0,,,,,4.0,,,3.0,,,67,2026-03-22
Greater Western Sydney,2026,16,Essendon,10,W,35,3.0,,1.0,4.0,2.0,,,1.0,1.0,1.0,,,1.0,,,4.0,1.0,,,1.0,,,68,2026-05-03
Greater Western Sydney,2026,17,West Coast,11,L,35,5.0,4.0,,5.0,2.0,,,,,1.0,,1.0,,,,,5.0,,4.0,,,,74,2026-05-10
Greater Western Sydney,2026,18,Brisbane Lions,12,W,35,9.0,5.0,2.0,11.0,3.0,3.0,,,,,,,,,,5.0,6.0,1.0,5.0,1.0,,1.0,62,2026-05-17
Greater Western Sydney,2026,19,Melbourne,13,W,35,11.0,8.0,2.0,13.0,3.0,,,,,2.0,,,,,,3.0,10.0,1.0,3.0,,,,87,2026-05-24
Greater Western Sydney,2026,20,Hawthorn,17,L,35,4,3,3,7,,2,,1,,2,,1,1,,,3,5,,1,,,,40,2026-06-21
