team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2021,1,Brisbane Lions,1,W,21,17,10.0,2.0,19,3.0,1.0,,1.0,1.0,7,1.0,3.0,3.0,1.0,2.0,6,14,1.0,2.0,4.0,,3.0,81,2021-03-01
Sydney,2021,2,Adelaide,2,W,21,12,7.0,10.0,22,1.0,1.0,,2.0,,3,1.0,1.0,1.0,,,9,12,,1.0,1.0,,2.0,86,2021-03-08
Sydney,2021,3,Richmond,3,W,21,15,9.0,3.0,18,,1.0,,4.0,,6,,1.0,3.0,,,3,14,,1.0,1.0,,1.0,88,2021-03-15
Sydney,2021,4,Essendon,4,W,21,12,5.0,5.0,17,,3.0,,2.0,1.0,5,3.0,4.0,1.0,2.0,,7,9,,3.0,2.0,1.0,2.0,85,2021-03-22
Sydney,2021,5,Greater Western Sydney,5,L,21,9,4.0,9.0,18,,,,2.0,,2,2.0,4.0,1.0,,,8,11,,,,,1.0,91,2021-03-29
Sydney,2021,6,Gold Coast,6,L,21,8,3.0,4.0,12,,,,3.0,,4,,3.0,1.0,,,4,10,,1.0,,1.0,1.0,81,2021-04-05
Sydney,2021,7,Geelong,7,W,21,6,4.0,1.0,7,1.0,2.0,,5.0,,2,,3.0,1.0,1.0,,4,4,1.0,2.0,,,1.0,73,2021-04-12
Sydney,2021,8,Melbourne,8,L,21,6,,3.0,9,,,,6.0,,5,1.0,4.0,2.0,2.0,,7,3,,,,,2.0,76,2021-04-19
Sydney,2021,9,Port Adelaide,15,L,21,7,1.0,4.0,11,1.0,,,4.0,,1,,2.0,2.0,1.0,,3,6,,1.0,1.0,,,65,2021-06-07
Sydney,2021,10,West Coast,16,W,21,12,5.0,7.0,19,2.0,1.0,,3.0,1.0,6,,1.0,1.0,1.0,,3,15,,,1.0,1.0,,71,2021-06-14
Sydney,2021,11,Western Bulldogs,17,W,21,14,4.0,1.0,15,,1.0,,1.0,2.0,3,,4.0,,1.0,,2,13,1.0,,2.0,1.0,,75,2021-06-21
Sydney,2021,12,Greater Western Sydney,18,W,21,10,4.0,9.0,19,,,,3.0,1.0,4,2.0,1.0,2.0,,,7,13,,,1.0,,1.0,98,2021-06-28
Sydney,2021,13,Fremantle,19,W,21,15,5.0,8.0,23,1.0,,,5.0,1.0,4,4.0,,3.0,,,9,13,,,,,,84,2021-07-05
Sydney,2021,14,Essendon,20,W,21,6,3.0,8.0,14,1.0,,,2.0,,2,1.0,3.0,,1.0,,7,8,,,1.0,,1.0,77,2021-07-12
Sydney,2021,15,St Kilda,21,L,21,8,2.0,4.0,12,2.0,1.0,,2.0,,2,1.0,5.0,1.0,1.0,,6,7,,2.0,,,1.0,76,2021-07-19
Sydney,2021,16,North Melbourne,22,W,21,9,2.0,5.0,14,1.0,,,1.0,1.0,3,1.0,5.0,1.0,1.0,,7,5,,,1.0,,1.0,75,2021-07-26
Sydney,2021,17,Gold Coast,23,W,21,16,9.0,3.0,19,1.0,,,4.0,4.0,5,1.0,1.0,1.0,,,5,13,1.0,,1.0,,,78,2021-08-02
Sydney,2021,18,Greater Western Sydney,EF,L,21,13,5.0,1.0,14,,,,2.0,2.0,6,2.0,3.0,,2.0,,5,10,,,1.0,,,78,2021-03-01
Sydney,2022,19,Greater Western Sydney,1,W,21,12,4.0,4.0,16,1.0,1.0,,6.0,1.0,5,2.0,2.0,1.0,1.0,,5,11,,,1.0,2.0,,77,2022-03-01
Sydney,2022,20,Geelong,2,W,21,11,5.0,10.0,21,2.0,1.0,,3.0,1.0,2,2.0,2.0,,,,8,13,,2.0,,1.0,1.0,86,2022-03-08
Sydney,2022,21,Western Bulldogs,3,L,21,14,6.0,6.0,20,1.0,,,1.0,1.0,7,1.0,2.0,,1.0,,4,16,,,1.0,,,86,2022-03-15
Sydney,2022,22,North Melbourne,4,W,21,8,4.0,7.0,15,,,,4.0,1.0,1,2.0,5.0,2.0,2.0,,6,11,,,,,1.0,87,2022-03-22
Sydney,2022,23,West Coast,5,W,21,21,7.0,6.0,27,,1.0,,1.0,,4,1.0,5.0,1.0,1.0,,8,18,,1.0,1.0,,1.0,79,2022-03-29
Sydney,2022,24,Hawthorn,6,W,21,12,2.0,8.0,20,1.0,,,3.0,1.0,8,2.0,4.0,1.0,1.0,,8,13,,,1.0,1.0,1.0,81,2022-04-05
Sydney,2022,25,Brisbane Lions,7,L,21,10,1.0,8.0,18,2.0,,,2.0,1.0,2,5.0,5.0,2.0,1.0,,9,9,,,,,1.0,84,2022-04-12
Sydney,2022,26,Gold Coast,8,L,21,8,5.0,3.0,11,,,,5.0,4.0,3,1.0,1.0,1.0,,,4,8,,1.0,1.0,,1.0,87,2022-04-19
Sydney,2022,27,Essendon,9,W,21,20,7.0,6.0,26,1.0,,,2.0,2.0,6,2.0,3.0,1.0,,,11,16,,,3.0,,,83,2022-04-26
Sydney,2022,28,Carlton,10,L,21,20,5.0,3.0,23,1.0,,,2.0,,8,3.0,5.0,3.0,3.0,,7,15,,,,1.0,,74,2022-05-03
Sydney,2022,29,Richmond,11,W,21,9,1.0,5.0,14,,,,4.0,1.0,3,2.0,4.0,1.0,1.0,,5,8,,1.0,,1.0,2.0,87,2022-05-10
Sydney,2022,30,Melbourne,12,W,21,14,4.0,3.0,17,1.0,,,5.0,2.0,3,1.0,1.0,3.0,,,10,7,,,1.0,,1.0,78,2022-05-17
Sydney,2022,31,Port Adelaide,14,L,21,13,2.0,6.0,19,,,,,,4,2.0,4.0,2.0,1.0,,8,10,,,1.0,,,87,2022-05-31
Sydney,2022,32,St Kilda,15,W,21,10,4.0,10.0,20,,,,1.0,1.0,4,3.0,2.0,2.0,1.0,,6,15,,,1.0,1.0,1.0,81,2022-06-07
Sydney,2022,33,Essendon,16,L,21,17,7.0,6.0,23,,,,2.0,1.0,6,,8.0,1.0,1.0,,5,19,,,1.0,,1.0,80,2022-06-14
Sydney,2022,34,Western Bulldogs,17,W,21,9,,4.0,13,,1.0,,6.0,1.0,4,2.0,,3.0,,,6,6,,,,,,82,2022-06-21
Sydney,2022,35,Fremantle,18,W,21,18,8.0,5.0,23,2.0,1.0,,3.0,1.0,5,1.0,2.0,,1.0,1.0,7,16,1.0,1.0,,,1.0,81,2022-06-28
Sydney,2022,36,Adelaide,19,W,21,11,2.0,5.0,16,1.0,1.0,,4.0,,5,2.0,4.0,1.0,3.0,,8,9,,,,,1.0,78,2022-07-05
Sydney,2022,37,Greater Western Sydney,20,W,21,24,12.0,9.0,33,2.0,,,4.0,,10,3.0,3.0,1.0,,2.0,9,24,1.0,1.0,,,1.0,74,2022-07-12
Sydney,2022,38,North Melbourne,21,W,21,10,3.0,7.0,17,1.0,,,6.0,1.0,6,2.0,,,,,6,11,,,5.0,,1.0,77,2022-07-19
Sydney,2022,39,Collingwood,22,W,21,14,4.0,4.0,18,1.0,,,4.0,2.0,6,1.0,4.0,2.0,2.0,,4,14,,,,,,77,2022-07-26
Sydney,2022,40,St Kilda,23,W,21,15,5.0,5.0,20,1.0,,,4.0,4.0,1,1.0,3.0,1.0,,,5,14,,1.0,,,,77,2022-08-02
Sydney,2022,41,Melbourne,QF,W,21,14,5.0,2.0,16,,,,7.0,1.0,3,2.0,3.0,2.0,3.0,,6,10,,,1.0,,,80,2022-03-01
