team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2010,1,Brisbane Lions,9,W,28,5,2.0,2.0,7,1.0,,,1.0,,3.0,,,1.0,,,4.0,3.0,1.0,1.0,2.0,,1.0,60,2010-04-26
Adelaide,2010,2,Richmond,18,L,28,6,3.0,3.0,9,,,,3.0,,4.0,,1.0,1.0,1.0,,3.0,7.0,,,1.0,,,63,2010-06-28
Adelaide,2011,3,Gold Coast,8,W,6,6,3.0,10.0,16,1.0,1.0,,5.0,2.0,2.0,,,1.0,,,8.0,8.0,,1.0,2.0,,1.0,83,2011-04-19
Adelaide,2011,4,Collingwood,9,L,6,5,4.0,3.0,8,1.0,,,3.0,1.0,1.0,,2.0,,1.0,,3.0,6.0,1.0,2.0,1.0,,,67,2011-04-26
Adelaide,2011,5,North Melbourne,11,L,6,9,4.0,2.0,11,2.0,,,2.0,1.0,1.0,,,1.0,,,4.0,7.0,,1.0,2.0,,,91,2011-05-10
Adelaide,2011,6,West Coast,12,L,6,5,2.0,4.0,9,2.0,,,2.0,1.0,1.0,,,,,,5.0,4.0,1.0,1.0,2.0,,,70,2011-05-17
Adelaide,2011,7,Western Bulldogs,13,L,6,4,3.0,2.0,6,,1.0,,2.0,1.0,,,,1.0,,,2.0,5.0,1.0,1.0,1.0,,1.0,78,2011-05-24
Adelaide,2011,8↑,Geelong,14,L,6,3,3.0,,3,1.0,,,,,,,,,,,,4.0,,1.0,,,,51,2011-05-31
Adelaide,2011,9,St Kilda,18,L,6,8,6.0,2.0,10,,,,1.0,,1.0,,3.0,2.0,,,4.0,6.0,1.0,,,,,74,2011-06-28
Adelaide,2011,10,Port Adelaide,19,W,6,16,9.0,2.0,18,2.0,1.0,,3.0,,2.0,,2.0,,,,5.0,13.0,2.0,1.0,,,,85,2011-07-05
Adelaide,2011,11,Brisbane Lions,20,W,6,11,7.0,1.0,12,3.0,3.0,,1.0,,1.0,,4.0,1.0,1.0,,4.0,8.0,1.0,5.0,,,,87,2011-07-12
Adelaide,2011,12,Geelong,21,L,6,4,4.0,3.0,7,,1.0,,,,1.0,,1.0,,1.0,,2.0,5.0,,2.0,,,1.0,82,2011-07-19
Adelaide,2011,13,Gold Coast,22,W,6,8,6.0,5.0,13,2.0,4.0,,1.0,,,,1.0,1.0,,,5.0,8.0,1.0,6.0,1.0,,,82,2011-07-26
Adelaide,2011,14,Richmond,23,L,6,11,9.0,5.0,16,5.0,,,1.0,,,,1.0,1.0,,,5.0,11.0,,6.0,,,2.0,89,2011-08-02
Hawthorn,2012,15↑,Collingwood,1,W,19,4,4.0,3.0,7,1.0,1.0,,1.0,,2.0,,,,,,1.0,5.0,1.0,1.0,,,2.0,37,2012-03-01
Hawthorn,2012,16↑,Geelong,2,L,19,4,2.0,,4,,1.0,,,,1.0,,,,,,2.0,2.0,1.0,,1.0,,,19,2012-03-08
Hawthorn,2012,17,Adelaide,3,W,19,4,4.0,6.0,10,1.0,,,1.0,,1.0,,3.0,1.0,1.0,,3.0,8.0,1.0,1.0,1.0,1.0,1.0,87,2012-03-15
Hawthorn,2012,18,West Coast,4,L,19,4,2.0,4.0,8,,1.0,,2.0,,2.0,1.0,,2.0,,,7.0,2.0,,,2.0,,,82,2012-03-22
Hawthorn,2012,19,Port Adelaide,11,W,19,7,7.0,4.0,11,2.0,1.0,,3.0,1.0,1.0,,1.0,,,,3.0,8.0,1.0,3.0,,,,81,2012-05-10
Hawthorn,2012,20,Brisbane Lions,12,W,19,6,1.0,7.0,13,2.0,4.0,,2.0,,,,,2.0,,,10.0,2.0,1.0,1.0,4.0,,1.0,81,2012-05-17
Hawthorn,2012,21↓,Carlton,14,W,19,6,3.0,4.0,10,3.0,,,1.0,,1.0,,3.0,,1.0,,3.0,7.0,1.0,2.0,,,2.0,60,2012-05-31
Hawthorn,2012,22,Greater Western Sydney,15,W,19,7,5.0,2.0,9,1.0,1.0,,3.0,,1.0,1.0,,1.0,,,1.0,8.0,,,2.0,,,85,2012-06-07
Hawthorn,2012,23,Western Bulldogs,16,W,19,10,9.0,3.0,13,4.0,1.0,,,,3.0,,1.0,,1.0,,1.0,12.0,1.0,4.0,1.0,,,89,2012-06-14
Hawthorn,2012,24,Collingwood,17,W,19,13,4.0,8.0,21,3.0,1.0,,2.0,1.0,4.0,,2.0,1.0,2.0,,8.0,13.0,1.0,3.0,2.0,,2.0,85,2012-06-21
Hawthorn,2012,25,Essendon,18,W,19,11,5.0,7.0,18,3.0,3.0,,1.0,,2.0,1.0,,3.0,,,11.0,8.0,2.0,3.0,,,1.0,86,2012-06-28
Hawthorn,2012,26,Geelong,19,L,19,9,4.0,5.0,14,4.0,,,2.0,1.0,1.0,1.0,,,,,6.0,7.0,,2.0,,,1.0,79,2012-07-05
Hawthorn,2012,27,Port Adelaide,20,W,19,7,4.0,7.0,14,1.0,1.0,,,,1.0,1.0,2.0,1.0,1.0,,5.0,9.0,,,,,2.0,88,2012-07-12
Hawthorn,2012,28,Gold Coast,21,W,19,10,9.0,7.0,17,4.0,1.0,,2.0,,3.0,,1.0,,,,5.0,11.0,1.0,4.0,4.0,,1.0,87,2012-07-19
Hawthorn,2012,29,Sydney,22,W,19,5,3.0,4.0,9,1.0,2.0,,3.0,,2.0,2.0,3.0,,3.0,,5.0,6.0,,,2.0,,1.0,88,2012-07-26
Hawthorn,2012,30↓,West Coast,23,W,19,3,2.0,4.0,7,3.0,,,2.0,,1.0,,2.0,1.0,2.0,,2.0,5.0,,1.0,,,,60,2012-08-02
Hawthorn,2012,31,Collingwood,QF,W,19,15,3.0,1.0,16,2.0,3.0,,1.0,2.0,2.0,1.0,2.0,1.0,,,8.0,9.0,,,2.0,,,84,2012-03-01
Hawthorn,2012,32,Adelaide,PF,W,19,8,3.0,9.0,17,2.0,,,,,,,2.0,,,,4.0,13.0,,1.0,1.0,,,81,2012-03-01
Hawthorn,2012,33,Sydney,GF,L,19,6,4.0,2.0,8,2.0,1.0,,3.0,,1.0,1.0,,2.0,,,4.0,5.0,,2.0,1.0,,,83,2012-03-01
Hawthorn,2013,34,Geelong,1,L,19,4,1.0,4.0,8,,1.0,,2.0,,,,,,,,4.0,4.0,,,,,,84,2013-03-01
Hawthorn,2013,35↑,Collingwood,3,W,19,2,,3.0,5,,,,1.0,,1.0,1.0,,,,,2.0,3.0,,,,1.0,,33,2013-03-15
Hawthorn,2013,36,Fremantle,4,W,19,10,8.0,4.0,14,1.0,,,2.0,2.0,,,2.0,,,,5.0,9.0,3.0,1.0,2.0,,,81,2013-03-22
Hawthorn,2013,37,North Melbourne,5,W,19,9,7.0,9.0,18,1.0,,,,1.0,2.0,,3.0,,1.0,,6.0,13.0,1.0,1.0,1.0,,2.0,85,2013-03-29
Hawthorn,2013,38,Adelaide,6,W,19,6,1.0,2.0,8,3.0,,,3.0,,2.0,,1.0,,1.0,,3.0,5.0,1.0,1.0,,,1.0,91,2013-04-05
Hawthorn,2013,39,Sydney,7,W,19,11,7.0,7.0,18,3.0,,,3.0,,1.0,2.0,1.0,,,,7.0,11.0,2.0,1.0,,,,87,2013-04-12
