team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2026,1,Geelong,14,W,40,12,1,4,16,,,,1.0,5,4,2.0,1,3.0,1.0,,7,10,,,2.0,,,56,2026-05-31
Adelaide,2026,2,Western Bulldogs,15,W,40,15,4,8,23,,,,1.0,3,4,,4,1.0,1.0,,8,13,,,2.0,,,79,2026-06-07
Adelaide,2026,3,Melbourne,16,W,40,18,9,5,23,,,,3.0,3,3,1.0,1,1.0,,,3,18,,,,,,66,2026-06-14
Adelaide,2026,4,Port Adelaide,17,L,40,12,2,8,20,,,,,6,1,,3,1.0,1.0,,4,11,,,,1.0,,74,2026-06-21
Adelaide,2026,5,West Coast,18,W,40,14,6,4,18,,,,3.0,3,2,,3,,,,4,11,1.0,,,3.0,,84,2026-07-03
Adelaide,2026,6,Sydney,20,W,40,12,3,6,18,,,,5.0,7,2,3.0,1,1.0,,,7,10,,,,,,74,2026-07-17
Adelaide,2026,7,Collingwood,21,L,40,13,3,6,19,,,,3.0,4,1,1.0,3,,,,3,11,,,,,,85,2026-07-23
Adelaide,2026,8,Essendon,22,W,40,14,5,4,18,1.0,,,2.0,1,7,2.0,4,,1.0,,4,14,,1.0,1.0,1.0,,85,2026-08-02
Adelaide,2026,9,Richmond,23,W,40,14,2,3,17,,,,1.0,3,4,,1,1.0,,,3,11,,,,,,84,2026-08-08
Adelaide,2026,10,Fremantle,24,L,40,16,4,4,20,,,,2,6,2,2,3,1,,,4,13,,,,,1,80,2026-08-14
