team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2024,1,Adelaide,8,L,17,10,4.0,2,12,,,,2.0,3.0,,1.0,1.0,,,,2,11,,,1.0,,,83,2024-04-19
North Melbourne,2024,2↓,St Kilda,9,L,17,4,2.0,3,7,,,,1.0,,,,,1.0,,,2,5,,,,,,57,2024-04-26
North Melbourne,2024,3,Gold Coast,10,L,17,7,3.0,4,11,,,,3.0,2.0,,,2.0,,1.0,,3,9,,,1.0,,,83,2024-05-03
North Melbourne,2025,4↑,Sydney,5,L,17,4,,6,10,,,,,2.0,1.0,,,,,,4,6,,,2.0,,,32,2025-03-29
North Melbourne,2025,5↑,Gold Coast,6,L,17,2,,1,3,,,,,,1.0,,,,,,1,2,,,2.0,,1.0,25,2025-04-05
North Melbourne,2025,6,Port Adelaide,8,L,17,9,1.0,3,12,,,,2.0,3.0,2.0,1.0,,1.0,,,3,8,,,2.0,,,65,2025-04-19
North Melbourne,2025,7,Essendon,9,L,17,12,7.0,3,15,,,,2.0,2.0,1.0,,1.0,2.0,,,3,13,,,4.0,1.0,,79,2025-04-26
North Melbourne,2025,8,Brisbane Lions,10,D,17,10,4.0,5,15,,,,3.0,5.0,,,1.0,,,,5,10,,,,,,73,2025-05-03
North Melbourne,2025,9,Richmond,11,W,17,10,3.0,2,12,,,,,1.0,3.0,2.0,2.0,1.0,,,5,7,,,,,1.0,71,2025-05-10
North Melbourne,2025,10,Collingwood,12,L,17,20,10.0,8,28,,,,,6.0,5.0,1.0,2.0,,,,4,23,,,3.0,2.0,,78,2025-05-17
North Melbourne,2025,11,West Coast,14,W,17,6,1.0,4,10,,,,1.0,2.0,1.0,,5.0,,,,3,6,,,1.0,,,74,2025-05-31
North Melbourne,2025,12,Fremantle,15,L,17,7,1.0,4,11,,,,2.0,4.0,2.0,1.0,,1.0,,,5,6,,,5.0,,1.0,72,2025-06-07
North Melbourne,2025,13,Carlton,16,W,17,10,3.0,5,15,,,,2.0,2.0,2.0,,3.0,,,,3,12,,,1.0,,1.0,67,2025-06-14
North Melbourne,2025,14,Hawthorn,17,L,17,4,1.0,1,5,,,,1.0,2.0,,,1.0,1.0,1.0,,3,2,,,4.0,,,75,2025-06-21
North Melbourne,2025,15,Western Bulldogs,18,L,17,14,1.0,6,20,,,,1.0,6.0,1.0,1.0,3.0,2.0,2.0,,4,15,,,2.0,,,78,2025-06-28
North Melbourne,2025,16,Melbourne,19,L,17,8,,4,12,,,,1.0,,3.0,,4.0,1.0,2.0,,4,8,,,3.0,,,81,2025-07-05
North Melbourne,2025,17,Sydney,20,L,17,11,7,7,18,,,,,3,3,,1,,,,4,14,1,,2,1,,83,2025-07-12
