team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2016,1,Carlton,19,W,37,5,1.0,3.0,8,,1.0,,3.0,,2.0,,1.0,2.0,,,2.0,6,,1.0,,,,80,2016-07-05
Hawthorn,2017,2,Geelong,4,L,37,6,5.0,4.0,10,,,,3.0,2.0,4.0,,2.0,1.0,2.0,,4.0,7,,,1.0,,1.0,61,2017-03-22
Hawthorn,2017,3,West Coast,5,W,37,10,4.0,9.0,19,,,,,2.0,3.0,1.0,2.0,,,,5.0,14,,,4.0,,1.0,78,2017-03-29
Hawthorn,2017,4,St Kilda,6,L,37,11,8.0,9.0,20,,,,1.0,2.0,2.0,,1.0,,,,1.0,19,,,5.0,,,81,2017-04-05
Hawthorn,2017,5,Melbourne,7,W,37,12,7.0,6.0,18,,,,,2.0,2.0,,1.0,,1.0,,5.0,13,1.0,,4.0,,,77,2017-04-12
Hawthorn,2017,6,Brisbane Lions,8,W,37,3,2.0,2.0,5,,,,1.0,,4.0,1.0,1.0,1.0,1.0,,4.0,1,1.0,,2.0,,,84,2017-04-19
Hawthorn,2017,7,Collingwood,9,L,37,9,6.0,7.0,16,,,,4.0,3.0,1.0,,3.0,,1.0,,5.0,11,,,2.0,,,80,2017-04-26
Hawthorn,2017,8,Sydney,10,W,37,10,8.0,5.0,15,,,,,1.0,,,,,,,2.0,13,,,2.0,,,74,2017-05-03
Hawthorn,2017,9,Port Adelaide,11,L,37,6,3.0,4.0,10,,,,5.0,4.0,,1.0,2.0,,,,4.0,6,,,3.0,,,76,2017-05-10
Hawthorn,2017,10,Gold Coast,12,L,37,6,4.0,4.0,10,,,,7.0,,1.0,1.0,3.0,2.0,,,2.0,8,,,2.0,,1.0,78,2017-05-17
Hawthorn,2017,11,Adelaide,14,W,37,11,6.0,8.0,19,,,,4.0,4.0,3.0,,2.0,1.0,1.0,,6.0,13,,,6.0,,,91,2017-05-31
Hawthorn,2017,12,Collingwood,15,W,37,9,5.0,10.0,19,,,,3.0,1.0,1.0,,,2.0,,,9.0,10,,,3.0,,,87,2017-06-07
Hawthorn,2017,13,Greater Western Sydney,16,D,37,2,1.0,7.0,9,,,,8.0,,1.0,,2.0,,,,5.0,4,,,3.0,,,83,2017-06-14
Hawthorn,2017,14,Geelong,17,L,37,7,1.0,3.0,10,,,,3.0,1.0,2.0,,,,,,2.0,9,,,4.0,,,87,2017-06-21
Hawthorn,2017,15,Fremantle,18,W,37,17,6.0,6.0,23,,,,2.0,2.0,3.0,,1.0,1.0,1.0,,7.0,14,2.0,,6.0,,2.0,84,2017-06-28
Hawthorn,2017,16,Sydney,19,W,37,4,1.0,2.0,6,,,,3.0,2.0,,,,1.0,,,3.0,3,,,2.0,,,33,2017-07-05
Hawthorn,2017,17,Richmond,20,L,37,5,4.0,6.0,11,,,,1.0,1.0,,,2.0,,2.0,,3.0,9,,,3.0,,,82,2017-07-12
Hawthorn,2017,18,North Melbourne,21,W,37,9,5.0,7.0,16,,,,3.0,,1.0,1.0,1.0,1.0,1.0,,4.0,12,1.0,,4.0,,,79,2017-07-19
Hawthorn,2017,19,Carlton,22,L,37,11,9.0,7.0,18,,1.0,,2.0,1.0,1.0,,,,,,4.0,15,2.0,,2.0,,,88,2017-07-26
Hawthorn,2017,20,Western Bulldogs,23,W,37,12,4.0,8.0,20,,,,3.0,2.0,1.0,,2.0,1.0,2.0,,2.0,18,,,3.0,,,88,2017-08-02
Hawthorn,2018,21,Collingwood,1,W,15,11,4.0,4.0,15,,,,7.0,3.0,2.0,,1.0,1.0,,,4.0,11,,,5.0,,,85,2018-03-01
Hawthorn,2018,22,Geelong,2,W,15,13,9.0,2.0,15,,,,3.0,3.0,1.0,,1.0,,,,3.0,12,,,2.0,,,81,2018-03-08
Hawthorn,2018,23,Richmond,3,L,15,11,3.0,5.0,16,,1.0,,3.0,2.0,4.0,,,2.0,,,3.0,13,,,5.0,,,85,2018-03-15
Hawthorn,2018,24,Melbourne,4,W,15,7,1.0,5.0,12,,,,3.0,3.0,2.0,,9.0,1.0,6.0,,6.0,8,,,2.0,,,90,2018-03-22
Hawthorn,2018,25,North Melbourne,5,L,15,9,5.0,4.0,13,,,,2.0,,3.0,,3.0,,1.0,,1.0,12,,1.0,1.0,,,89,2018-03-29
Hawthorn,2018,26,St Kilda,6,W,15,15,6.0,8.0,23,,,,2.0,2.0,2.0,,1.0,,1.0,,3.0,20,,,2.0,,,86,2018-04-05
Hawthorn,2018,27,Essendon,7,W,15,10,4.0,8.0,18,,,,3.0,,3.0,1.0,1.0,1.0,,,6.0,12,1.0,,5.0,,,88,2018-04-12
Hawthorn,2018,28,Sydney,8,L,15,6,5.0,9.0,15,,,,4.0,,,,1.0,1.0,,,8.0,7,,,4.0,,,83,2018-04-19
Hawthorn,2018,29,Brisbane Lions,9,L,15,10,5.0,8.0,18,,,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,12.0,6,1.0,,9.0,,,87,2018-04-26
