team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2015,1↓,Essendon,15,L,43,3.0,,6.0,9.0,,1.0,,3.0,,,,1.0,,1.0,,5.0,4.0,,,,,,52.0,2015-06-07
Melbourne,2015,2,Brisbane Lions,16,W,43,7.0,1.0,8.0,15.0,,,,1.0,,3.0,,3.0,2.0,,,9.0,7.0,,,3.0,,1.0,74.0,2015-06-14
Melbourne,2015,3,St Kilda,17,L,43,4.0,2.0,9.0,13.0,,,,1.0,,2.0,,3.0,,2.0,,4.0,10.0,,,,,,80.0,2015-06-21
Melbourne,2015,4↑,Collingwood,18,W,43,6.0,3.0,2.0,8.0,1.0,1.0,,2.0,,,,,1.0,,,5.0,3.0,2.0,1.0,,,,25.0,2015-06-28
Melbourne,2015,5↓,North Melbourne,19,L,43,6.0,2.0,2.0,8.0,,1.0,,2.0,1.0,3.0,1.0,3.0,1.0,2.0,,2.0,6.0,,,,,,60.0,2015-07-05
Melbourne,2015,6,Western Bulldogs,20,L,43,8.0,3.0,7.0,15.0,,1.0,,9.0,2.0,3.0,1.0,3.0,,1.0,,8.0,7.0,,,,,1.0,82.0,2015-07-12
Melbourne,2015,7,Carlton,21,L,43,2.0,2.0,8.0,10.0,,,,3.0,,1.0,,6.0,1.0,3.0,,5.0,6.0,,,2.0,1.0,,90.0,2015-07-19
Melbourne,2015,8,Greater Western Sydney,23,W,43,7.0,6.0,9.0,16.0,2.0,1.0,,3.0,,4.0,,2.0,,,,9.0,7.0,4.0,3.0,1.0,,1.0,79.0,2015-08-02
Melbourne,2016,9,Greater Western Sydney,1,W,43,4.0,2.0,4.0,8.0,1.0,,,1.0,,2.0,,2.0,,1.0,,3.0,6.0,,,3.0,3.0,1.0,64.0,2016-03-01
Melbourne,2016,10,Essendon,2,L,43,8.0,1.0,7.0,15.0,1.0,,,3.0,1.0,3.0,2.0,,2.0,,,8.0,7.0,,,,,1.0,75.0,2016-03-08
