team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2012,1,Geelong,10,L,19,6,3.0,2.0,8,,,,5.0,,3.0,,,2.0,,,2.0,6,,1.0,1.0,,2.0,83,2012-05-03
Greater Western Sydney,2012,2↑,Hawthorn,15,L,19,2,1.0,4.0,6,,,,,,,,1.0,,,,1.0,5,,,1.0,,,27,2012-06-07
Greater Western Sydney,2012,3,Adelaide,16,L,19,4,2.0,6.0,10,1.0,,,3.0,,1.0,,4.0,,1.0,,2.0,9,,1.0,1.0,,,78,2012-06-14
Greater Western Sydney,2012,4,Fremantle,17,L,19,6,4.0,2.0,8,,,,1.0,1.0,2.0,,2.0,1.0,1.0,,5.0,4,1.0,,2.0,,1.0,86,2012-06-21
Greater Western Sydney,2012,5↑,Collingwood,18,L,19,4,2.0,3.0,7,,1.0,,2.0,1.0,1.0,,,,,,1.0,6,,1.0,,,1.0,25,2012-06-28
Greater Western Sydney,2012,6,Melbourne,21,L,19,2,1.0,3.0,5,,,,3.0,,,,1.0,,,,2.0,2,,,,,,87,2012-07-19
Greater Western Sydney,2012,7,St Kilda,22,L,19,10,5.0,9.0,19,,,,,5.0,1.0,,1.0,,,,4.0,16,,,4.0,,,92,2012-07-26
Greater Western Sydney,2012,8,North Melbourne,23,L,19,10,4.0,5.0,15,,,,3.0,2.0,2.0,1.0,3.0,1.0,1.0,,5.0,9,,,2.0,,,90,2012-08-02
Greater Western Sydney,2013,9↓,Melbourne,4,L,19,6,5.0,3.0,9,,,,,1.0,,,2.0,,2.0,,1.0,8,1.0,,,1.0,,64,2013-03-22
Greater Western Sydney,2013,10,Gold Coast,5,L,19,5,3.0,2.0,7,,,,3.0,2.0,,,3.0,,2.0,,5.0,4,2.0,,4.0,,,86,2013-03-29
Greater Western Sydney,2013,11,North Melbourne,14,L,19,9,4.0,5.0,14,,,,2.0,1.0,1.0,,1.0,1.0,1.0,,5.0,10,,,8.0,,,85,2013-05-31
Greater Western Sydney,2013,12,Western Bulldogs,15,L,19,12,8.0,6.0,18,,,,5.0,4.0,1.0,2.0,3.0,1.0,,,10.0,9,3.0,,9.0,,,86,2013-06-07
Greater Western Sydney,2013,13,Sydney,16,L,19,9,5.0,5.0,14,,,,3.0,2.0,,,4.0,1.0,2.0,,5.0,11,,,3.0,,,85,2013-06-14
Greater Western Sydney,2013,14,Essendon,17,L,19,12,5.0,1.0,13,,,,3.0,5.0,,1.0,1.0,,,,4.0,9,,,5.0,1.0,,86,2013-06-21
Greater Western Sydney,2013,15,Collingwood,18,L,19,12,7.0,3.0,15,,,,2.0,,,,1.0,,,,3.0,11,,,1.0,,,84,2013-06-28
Greater Western Sydney,2013,16,Melbourne,19,W,19,10,6.0,5.0,15,,,,,3.0,1.0,,3.0,,2.0,,4.0,10,1.0,,4.0,,,89,2013-07-05
Greater Western Sydney,2013,17,Brisbane Lions,21,L,19,6,4.0,2.0,8,,,,5.0,4.0,,,1.0,,,,1.0,6,,,5.0,,,84,2013-07-19
Greater Western Sydney,2013,18,Richmond,22,L,19,4,5.0,6.0,10,,,,,1.0,,,1.0,1.0,,,5.0,5,1.0,,,,,80,2013-07-26
Greater Western Sydney,2013,19,Gold Coast,23,L,19,9,8.0,8.0,17,,,,3.0,7.0,,,2.0,1.0,,,6.0,11,2.0,,5.0,,,82,2013-08-02
Greater Western Sydney,2014,20,Sydney,1,W,19,15,4.0,6.0,21,,,,3.0,5.0,1.0,2.0,4.0,2.0,1.0,,10.0,10,,,10.0,,,93,2014-03-01
Greater Western Sydney,2014,21,St Kilda,2,L,19,12,5.0,3.0,15,,,,2.0,6.0,1.0,1.0,1.0,,,,4.0,8,,,7.0,2.0,,89,2014-03-08
Greater Western Sydney,2014,22,Melbourne,3,W,19,10,6.0,2.0,12,,,,2.0,3.0,,,1.0,,,,2.0,9,,,8.0,1.0,,90,2014-03-15
Greater Western Sydney,2014,23,Western Bulldogs,4,L,19,14,3.0,4.0,18,1.0,,,2.0,4.0,2.0,1.0,3.0,,,,7.0,11,1.0,,9.0,,,89,2014-03-22
Greater Western Sydney,2014,24,Adelaide,5,L,19,15,3.0,6.0,21,,,,,4.0,2.0,1.0,,,,,8.0,14,,,5.0,1.0,,88,2014-03-29
Greater Western Sydney,2014,25,Gold Coast,6,L,19,11,7.0,6.0,17,,,,,4.0,1.0,,6.0,,1.0,,6.0,9,2.0,,10.0,,,86,2014-04-05
Greater Western Sydney,2014,26,Port Adelaide,7,L,19,15,6.0,6.0,21,,,,2.0,6.0,1.0,1.0,3.0,,,,8.0,13,1.0,,3.0,,,88,2014-04-12
Greater Western Sydney,2014,27↓,West Coast,8,L,19,1,1.0,1.0,2,,,,,,,,,,,,,2,,,,,,1,2014-04-19
Greater Western Sydney,2015,28,St Kilda,1,W,19,11,6.0,5.0,16,,,,1.0,6.0,1.0,,2.0,1.0,,,6.0,12,2.0,,3.0,,,85,2015-03-01
Greater Western Sydney,2015,29,Melbourne,2,W,19,7,3.0,4.0,11,,,,2.0,3.0,,,,1.0,,,4.0,8,1.0,,5.0,,,83,2015-03-08
Greater Western Sydney,2015,30,Sydney,3,L,19,16,7.0,2.0,18,,,,,4.0,2.0,,1.0,,,,1.0,16,,,1.0,,1.0,83,2015-03-15
Greater Western Sydney,2015,31,Gold Coast,4,W,19,13,6.0,7.0,20,,,,1.0,7.0,5.0,,,,,,7.0,13,3.0,,3.0,6.0,1.0,82,2015-03-22
Greater Western Sydney,2015,32,West Coast,5,L,19,10,4.0,5.0,15,,,,2.0,2.0,,,1.0,,1.0,,5.0,8,,,4.0,3.0,,80,2015-03-29
Greater Western Sydney,2015,33,Hawthorn,6,W,19,6,6.0,4.0,10,,,,,1.0,,1.0,1.0,,,,3.0,7,1.0,,1.0,,,88,2015-04-05
Greater Western Sydney,2015,34,Carlton,7,W,19,14,9.0,6.0,20,,1.0,,1.0,,5.0,,1.0,,,,6.0,14,2.0,,4.0,2.0,,85,2015-04-12
Greater Western Sydney,2015,35,Adelaide,8,W,19,9,5.0,6.0,15,,,,2.0,1.0,2.0,,1.0,,,,5.0,10,2.0,,4.0,,,71,2015-04-19
Greater Western Sydney,2015,36,Western Bulldogs,9,L,19,8,7.0,3.0,11,,,,1.0,3.0,1.0,,,,,,3.0,8,2.0,,4.0,2.0,,74,2015-04-26
Greater Western Sydney,2015,37,Collingwood,11,L,19,12,6.0,6.0,18,1.0,,,1.0,1.0,1.0,,2.0,,,,3.0,14,,1.0,6.0,2.0,,92,2015-05-10
