team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2017,1,Western Bulldogs,2,L,9,11.0,3.0,5.0,16.0,,1.0,,6.0,,6.0,1.0,1.0,,1.0,,8.0,9.0,1.0,,1.0,,1.0,87.0,2017-03-08
Sydney,2017,2,Collingwood,3,L,9,6.0,3.0,2.0,8.0,3.0,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,7.0,,1.0,1.0,,,70.0,2017-03-15
Sydney,2017,3,West Coast,4,L,9,10.0,4.0,1.0,11.0,2.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,4.0,7.0,,4.0,1.0,,1.0,76.0,2017-03-22
Sydney,2017,4,Greater Western Sydney,5,L,9,1.0,1.0,4.0,5.0,,,,3.0,,,,1.0,1.0,1.0,,2.0,4.0,,,1.0,,,64.0,2017-03-29
Sydney,2017,5,Carlton,6,L,9,3.0,2.0,4.0,7.0,2.0,,,6.0,,1.0,,1.0,1.0,,,5.0,3.0,1.0,1.0,,,,67.0,2017-04-05
Sydney,2017,6,Brisbane Lions,7,W,9,6.0,1.0,3.0,9.0,2.0,2.0,,2.0,1.0,,,3.0,2.0,1.0,,2.0,7.0,,1.0,1.0,,1.0,79.0,2017-04-12
Sydney,2017,7,North Melbourne,8,W,9,6.0,1.0,4.0,10.0,1.0,,,1.0,,4.0,,3.0,,2.0,,4.0,7.0,,,1.0,,1.0,83.0,2017-04-19
Sydney,2017,8,St Kilda,9,W,9,9.0,7.0,5.0,14.0,1.0,1.0,,2.0,,3.0,,2.0,1.0,1.0,,5.0,10.0,1.0,1.0,3.0,,2.0,64.0,2017-04-26
Sydney,2017,9,Hawthorn,10,L,9,8.0,3.0,1.0,9.0,,1.0,,1.0,,3.0,,,,,,,8.0,,,,,,86.0,2017-05-03
Sydney,2017,10,Western Bulldogs,12,W,9,9.0,6.0,2.0,11.0,,2.0,,3.0,,3.0,,,1.0,,,4.0,7.0,1.0,1.0,1.0,,1.0,74.0,2017-05-17
