team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2019,1,Gold Coast,13,W,40,4,2.0,3.0,7,1.0,,,2.0,,3.0,,,,,,1.0,6,,1.0,,3.0,1.0,70,2019-05-24
St Kilda,2019,2,Brisbane Lions,14,L,40,10,2.0,3.0,13,3.0,,,4.0,,4.0,,1.0,,,,2.0,8,,1.0,,2.0,,73,2019-05-31
St Kilda,2019,3,Richmond,15,L,40,10,4.0,5.0,15,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,10,,1.0,1.0,,,83,2019-06-07
St Kilda,2019,4,North Melbourne,16,L,40,5,1.0,1.0,6,1.0,1.0,,3.0,,2.0,,1.0,,,,5.0,3,,1.0,2.0,1.0,,79,2019-06-14
St Kilda,2019,5,Geelong,17,L,40,7,1.0,3.0,10,,1.0,,2.0,,1.0,,,,,,4.0,5,,,,,,71,2019-06-21
St Kilda,2019,6,Western Bulldogs,18,W,40,7,,1.0,8,,1.0,,1.0,,3.0,2.0,2.0,,2.0,,5.0,4,,,1.0,,2.0,68,2019-06-28
St Kilda,2019,7,Melbourne,19,W,40,10,2.0,4.0,14,1.0,1.0,,1.0,,5.0,,2.0,2.0,,,5.0,10,,1.0,,1.0,1.0,64,2019-07-05
St Kilda,2019,8,Adelaide,20,L,40,5,2.0,5.0,10,1.0,,,3.0,,1.0,1.0,3.0,,2.0,,5.0,5,,,,3.0,,69,2019-07-12
St Kilda,2019,9,Fremantle,21,W,40,12,5.0,5.0,17,,1.0,,2.0,,2.0,,3.0,,1.0,,4.0,13,,1.0,1.0,,1.0,92,2019-07-19
St Kilda,2019,10,Carlton,22,L,40,11,1.0,2.0,13,2.0,1.0,,2.0,,4.0,,,,,,6.0,6,,,,5.0,,77,2019-07-26
St Kilda,2019,11,Sydney,23,L,40,5,2.0,2.0,7,,2.0,,1.0,,3.0,,3.0,,2.0,,3.0,7,,,,,,73,2019-08-02
St Kilda,2020,12,Western Bulldogs,2,W,40,5,1.0,10.0,15,1.0,,,2.0,1.0,3.0,1.0,2.0,,1.0,,10.0,5,,,2.0,,1.0,73,2020-03-08
St Kilda,2020,13,Collingwood,3,L,40,3,3.0,1.0,4,,,,2.0,1.0,,,2.0,,2.0,,,4,,,1.0,,,72,2020-03-15
St Kilda,2020,14,Port Adelaide,8,W,40,5,1.0,7.0,12,1.0,,,4.0,1.0,2.0,2.0,4.0,2.0,2.0,,7.0,5,,,1.0,1.0,1.0,68,2020-04-19
St Kilda,2020,15,Sydney,9,W,40,12,2.0,4.0,16,3.0,1.0,,5.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,9.0,8,,,3.0,4.0,,79,2020-04-26
St Kilda,2020,16,Gold Coast,10,W,40,11,3.0,6.0,17,,1.0,,2.0,1.0,6.0,3.0,2.0,1.0,1.0,,9.0,8,1.0,1.0,1.0,2.0,2.0,80,2020-05-03
St Kilda,2020,17,Geelong,11,L,40,5,,3.0,8,,1.0,,1.0,,1.0,,,1.0,,,5.0,3,,,2.0,,,69,2020-05-10
St Kilda,2020,18,Essendon,12,W,40,7,4.0,,7,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,2.0,6,,3.0,2.0,1.0,,82,2020-05-17
St Kilda,2020,19,Brisbane Lions,13,L,40,3,1.0,4.0,7,,,,4.0,,1.0,1.0,1.0,1.0,1.0,,3.0,4,,,1.0,,,74,2020-05-24
St Kilda,2020,20,Melbourne,14,L,40,1,2.0,4.0,5,,,,2.0,,1.0,,,,,,1.0,4,,,,,,70,2020-05-31
St Kilda,2020,21,West Coast,17,L,40,4,,3.0,7,,1.0,,4.0,,2.0,2.0,1.0,,1.0,,4.0,2,,,3.0,,,64,2020-06-21
Essendon,2021,22,Hawthorn,1,L,19,18,6.0,7.0,25,,,,4.0,6.0,8.0,1.0,5.0,1.0,1.0,,6.0,16,,,4.0,,,84,2021-03-01
Essendon,2021,23,Port Adelaide,2,L,19,13,5.0,8.0,21,,,,3.0,7.0,,,1.0,1.0,,,6.0,13,,,3.0,1.0,,85,2021-03-08
Essendon,2021,24,St Kilda,3,W,19,19,9.0,6.0,25,,,,1.0,6.0,2.0,,3.0,,1.0,,3.0,22,,,2.0,,1.0,76,2021-03-15
Essendon,2021,25,Sydney,4,L,19,13,2.0,6.0,19,,,,5.0,3.0,5.0,,5.0,,1.0,,6.0,12,,,2.0,4.0,3.0,83,2021-03-22
Essendon,2021,26,Brisbane Lions,5,L,19,17,2.0,6.0,23,,,,2.0,6.0,2.0,,6.0,3.0,3.0,,8.0,16,,,2.0,4.0,,85,2021-03-29
Essendon,2021,27,Collingwood,6,W,19,18,8.0,5.0,23,,,,2.0,3.0,4.0,3.0,6.0,1.0,1.0,,7.0,18,,,2.0,1.0,,88,2021-04-05
Essendon,2021,28,Carlton,7,L,19,13,5.0,8.0,21,,1.0,,3.0,2.0,4.0,2.0,2.0,1.0,,,9.0,13,1.0,,3.0,1.0,1.0,76,2021-04-12
Essendon,2021,29,Greater Western Sydney,8,L,19,22,5.0,7.0,29,,,,1.0,,5.0,,3.0,1.0,,,6.0,19,,,2.0,2.0,2.0,84,2021-04-19
Essendon,2021,30,Fremantle,9,W,19,24,8.0,7.0,31,,,,3.0,4.0,5.0,2.0,4.0,3.0,1.0,,9.0,23,2.0,,,,,83,2021-04-26
Essendon,2021,31,North Melbourne,10,W,19,17,5.0,4.0,21,1.0,,,4.0,3.0,3.0,,2.0,1.0,,,4.0,18,,1.0,,,2.0,82,2021-05-03
Essendon,2021,32,West Coast,11,W,19,17,5.0,3.0,20,,1.0,,1.0,3.0,3.0,1.0,2.0,,1.0,,4.0,15,,,2.0,,1.0,85,2021-05-10
Essendon,2021,33,Richmond,12,L,19,15,3.0,6.0,21,,,,2.0,1.0,10.0,2.0,3.0,,,,6.0,16,,,1.0,2.0,,87,2021-05-17
Essendon,2021,34,Hawthorn,14,W,19,18,2.0,7.0,25,1.0,,,1.0,7.0,4.0,1.0,3.0,1.0,2.0,,9.0,16,1.0,,3.0,9.0,,86,2021-05-31
