team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Carlton,2023,1,Richmond,1,D,14,5,2,6,11,,1.0,,3.0,3.0,,2.0,2.0,1.0,1.0,,5,8,,,3.0,,,81,2023-03-01
Carlton,2023,2,Geelong,2,W,14,14,5,6,20,,1.0,,2.0,2.0,2.0,2.0,5.0,2.0,1.0,,5,15,,1.0,2.0,1.0,,89,2023-03-08
Carlton,2023,3,Greater Western Sydney,3,W,14,8,3,5,13,,,,4.0,1.0,4.0,2.0,1.0,,1.0,,3,10,,,4.0,,,85,2023-03-15
Carlton,2023,4,North Melbourne,4,W,14,12,2,3,15,,,,1.0,3.0,4.0,,5.0,2.0,,,5,11,,,2.0,,,89,2023-03-22
Carlton,2023,5,Adelaide,5,L,14,10,2,2,12,,,,2.0,,3.0,3.0,,1.0,,,7,7,,,4.0,,1.0,85,2023-03-29
Carlton,2023,6,St Kilda,6,L,14,15,5,7,22,,,,,1.0,2.0,,4.0,1.0,,,4,19,,,1.0,,,78,2023-04-05
Carlton,2023,7,West Coast,7,W,14,9,5,3,12,1.0,,,3.0,,4.0,,1.0,,,,2,9,,1.0,1.0,,,76,2023-04-12
Carlton,2023,8,Brisbane Lions,8,L,14,13,6,8,21,1.0,,,2.0,,2.0,3.0,4.0,2.0,1.0,,3,20,,1.0,,,,76,2023-04-19
Carlton,2023,9↓,Western Bulldogs,9,L,14,8,4,5,13,,,,3.0,,4.0,1.0,,1.0,,,4,8,,,2.0,,1.0,57,2023-04-26
Carlton,2023,10↓,Collingwood,10,L,14,5,2,5,10,,,,,2.0,1.0,2.0,1.0,1.0,,,3,6,,,,,,41,2023-05-03
Carlton,2023,11,Sydney,11,L,14,6,2,8,14,,,,,1.0,2.0,,3.0,,,,3,12,,,,,,59,2023-05-10
Carlton,2023,12,West Coast,19,W,14,11,2,6,17,,1.0,,3.0,1.0,3.0,1.0,5.0,,1.0,,3,14,,1.0,3.0,,1.0,95,2023-07-05
Carlton,2023,13,Collingwood,20,W,14,9,2,6,15,,,,2.0,1.0,3.0,3.0,3.0,,,,6,9,,1.0,2.0,,1.0,80,2023-07-12
Carlton,2023,14,St Kilda,21,W,14,9,4,11,20,,,,6.0,2.0,2.0,,2.0,2.0,,,10,11,,,2.0,,,89,2023-07-19
Carlton,2023,15,Melbourne,22,W,14,4,1,6,10,,,,4.0,1.0,2.0,2.0,1.0,,1.0,,2,9,,,3.0,,2.0,76,2023-07-26
Carlton,2023,16,Gold Coast,23,W,14,6,4,5,11,,,,5.0,3.0,1.0,,3.0,,3.0,,3,9,,,2.0,,,78,2023-08-02
Carlton,2023,17,Greater Western Sydney,24,L,14,9,1,6,15,,1.0,,4.0,1.0,3.0,,,,,,2,12,,,,,1.0,89,2023-08-09
Carlton,2023,18↑,Melbourne,SF,W,14,3,3,1,4,,,,1.0,,,,1.0,,,,1,4,,,2.0,,,20,2023-03-01
Carlton,2023,19,Brisbane Lions,PF,L,14,7,3,4,11,,,,3.0,3.0,,1.0,2.0,,,,6,6,1.0,,1.0,,,87,2023-03-01
Carlton,2024,20,Brisbane Lions,1,W,4,6,3,2,8,,,,8.0,1.0,3.0,,3.0,,,,2,7,,,,,,83,2024-03-01
Carlton,2024,21,Richmond,2,W,4,7,3,1,8,1.0,,,2.0,,3.0,1.0,,4.0,,,5,4,,,1.0,,1.0,79,2024-03-08
Carlton,2024,22,North Melbourne,4,W,4,9,2,3,12,,1.0,,4.0,1.0,2.0,,,2.0,,,4,8,,,,,1.0,75,2024-03-22
Carlton,2024,23,Fremantle,5,W,4,5,3,9,14,,,,2.0,,1.0,1.0,1.0,,1.0,,1,12,,,,,,88,2024-03-29
Carlton,2024,24,Adelaide,6,L,4,8,2,4,12,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,3,9,,,,,,87,2024-04-05
Carlton,2024,25,Greater Western Sydney,7,W,4,8,3,8,16,1.0,,,2.0,2.0,3.0,1.0,3.0,,2.0,,4,12,,1.0,,,2.0,83,2024-04-12
Carlton,2024,26,Geelong,8,L,4,5,4,2,7,,,,2.0,1.0,,,2.0,,2.0,,1,7,,,,,,76,2024-04-19
Carlton,2024,27,Melbourne,10,W,4,12,5,9,21,,,,1.0,,5.0,1.0,4.0,1.0,3.0,,3,20,,1.0,3.0,,1.0,78,2024-05-03
Carlton,2024,28,Sydney,11,L,4,8,5,4,12,,,,1.0,2.0,2.0,,3.0,,1.0,,2,9,,1.0,2.0,,1.0,84,2024-05-10
Carlton,2024,29,Gold Coast,12,W,4,12,7,6,18,,1.0,,4.0,1.0,3.0,1.0,1.0,,,,4,15,,,1.0,,1.0,84,2024-05-17
Carlton,2024,30,Port Adelaide,13,W,4,6,3,5,11,,,,8.0,,2.0,2.0,1.0,,,,3,9,,,2.0,,,83,2024-05-24
Carlton,2024,31,Essendon,14,W,4,6,3,4,10,,,,2.0,1.0,,1.0,1.0,1.0,,,5,5,,,1.0,,,87,2024-05-31
Carlton,2024,32,Geelong,16,W,4,9,2,4,13,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,4,8,,,3.0,,,80,2024-06-14
Carlton,2024,33,Richmond,17,W,4,1,1,6,7,,,,4.0,1.0,,,,1.0,,,2,6,,,2.0,,,85,2024-06-21
Carlton,2024,34,Greater Western Sydney,18,L,4,7,2,10,17,,,,2.0,2.0,2.0,3.0,2.0,1.0,1.0,,7,10,,,,,,83,2024-06-28
Carlton,2024,35,Western Bulldogs,19,L,4,8,2,8,16,,,,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,2,14,,,1.0,,,77,2024-07-05
Carlton,2024,36,North Melbourne,20,W,4,14,6,3,17,1.0,1.0,,1.0,1.0,4.0,,2.0,,,,4,13,,1.0,3.0,,,82,2024-07-12
Carlton,2024,37,Port Adelaide,21,L,4,9,4,5,14,,,,2.0,2.0,,1.0,4.0,,1.0,,2,13,,,1.0,,,84,2024-07-19
Carlton,2024,38,Collingwood,22,L,4,11,6,1,12,1.0,,,5.0,4.0,2.0,,1.0,,,,2,11,,,1.0,,,88,2024-07-26
Carlton,2024,39,Hawthorn,23,L,4,15,7,7,22,,1.0,,4.0,1.0,,,3.0,1.0,,,3,19,,,2.0,,,93,2024-08-02
Carlton,2024,40,West Coast,24,W,4,15,4,9,24,,,,7.0,5.0,,2.0,2.0,2.0,,,9,16,,,3.0,,,86,2024-08-09
Carlton,2024,41,St Kilda,25,L,4,16,6,5,21,,,,5.0,1.0,4.0,1.0,1.0,1.0,1.0,,4,17,,,1.0,,,89,2024-08-16
Carlton,2024,42,Brisbane Lions,EF,L,4,6,4,4,10,,,,5.0,2.0,,1.0,2.0,1.0,1.0,,4,6,,1.0,,,,85,2024-03-01
Carlton,2025,43,Richmond,2,L,4,14,4,5,19,,,,2.0,3.0,2.0,1.0,2.0,,,,5,13,,,1.0,,,85,2025-03-08
Carlton,2025,44,Hawthorn,3,L,4,7,3,4,11,,,,4.0,3.0,3.0,,3.0,,2.0,,3,9,,,3.0,,,91,2025-03-15
Carlton,2025,45,Western Bulldogs,4,L,4,7,6,5,12,,,,3.0,2.0,1.0,,3.0,,3.0,,4,10,,,1.0,,,88,2025-03-22
Carlton,2025,46,Collingwood,5,L,4,14,5,7,21,2.0,1.0,,2.0,3.0,3.0,1.0,3.0,1.0,2.0,,6,12,,,1.0,1.0,,85,2025-03-29
Carlton,2025,47,West Coast,6,W,4,13,10,4,17,,,,3.0,3.0,4.0,,4.0,,2.0,,2,15,,,2.0,,2.0,81,2025-04-05
Carlton,2025,48,North Melbourne,7,W,4,7,5,7,14,,,,2.0,,1.0,,4.0,,1.0,,5,11,1.0,,3.0,,1.0,88,2025-04-12
Carlton,2025,49,Geelong,8,W,4,12,6,11,23,,,,7.0,1.0,5.0,2.0,1.0,,,,6,17,,,4.0,,1.0,88,2025-04-19
Carlton,2025,50,Adelaide,9,L,4,12,6,6,18,,,,6.0,3.0,3.0,2.0,3.0,4.0,2.0,,5,11,,,,,,84,2025-04-26
Carlton,2025,51,St Kilda,10,W,4,9,7,6,15,,,,3.0,1.0,1.0,,2.0,2.0,1.0,,3,12,,,1.0,,,83,2025-05-03
Carlton,2025,52,Sydney,11,L,4,14,5,5,19,,,,2.0,5.0,5.0,,6.0,,2.0,,5,14,,,2.0,,,81,2025-05-10
Carlton,2025,53,Greater Western Sydney,12,L,4,9,3,8,17,1.0,1.0,,6.0,1.0,1.0,2.0,4.0,1.0,1.0,,2,14,,1.0,,,,89,2025-05-17
Carlton,2025,54,Essendon,14,W,4,16,10,7,23,,,,4.0,3.0,4.0,,1.0,1.0,,,7,16,,,2.0,3.0,1.0,85,2025-05-31
Carlton,2025,55,West Coast,15,W,4,14,3,10,24,,,,1.0,4.0,3.0,1.0,3.0,2.0,1.0,,7,17,,,2.0,2.0,,86,2025-06-07
Carlton,2025,56,North Melbourne,16,L,4,11,5,9,20,,,,3,2,2,1,4,,1,,3,19,,,2,,,93,2025-06-14
Carlton,2025,57,Port Adelaide,17,L,4,8,2,10,18,1,,,4,4,1,2,2,3,1,,5,11,,1,2,,,85,2025-06-21
