team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Melbourne,2019,1,Port Adelaide,1,L,34,7,2,7.0,14,,,,1.0,2.0,,,3.0,,1.0,,7.0,7,,,2.0,,,82,2019-03-01
Melbourne,2019,2,Sydney,4,W,34,14,9,6.0,20,,,,3.0,8.0,2.0,,4.0,,,,3.0,16,,,6.0,,,91,2019-03-22
Melbourne,2019,3,St Kilda,5,L,34,15,13,5.0,20,,,,2.0,7.0,1.0,,1.0,,1.0,,2.0,18,1.0,,5.0,,,90,2019-03-29
Melbourne,2019,4,Richmond,6,L,34,14,3,5.0,19,,,,1.0,3.0,4.0,2.0,5.0,3.0,,,12.0,8,1.0,,2.0,,,85,2019-04-05
Melbourne,2019,5,Hawthorn,7,W,34,14,7,4.0,18,,,,2.0,5.0,1.0,,2.0,2.0,,,7.0,10,,,5.0,,,83,2019-04-12
Melbourne,2019,6,Gold Coast,8,W,34,15,4,4.0,19,1.0,,,2.0,2.0,2.0,,2.0,2.0,,1.0,7.0,11,1.0,,5.0,,,91,2019-04-19
Melbourne,2019,7,West Coast,9,L,34,8,7,7.0,15,,,,,2.0,1.0,1.0,1.0,1.0,,,8.0,8,3.0,,4.0,,,82,2019-04-26
Melbourne,2019,8,Greater Western Sydney,10,L,34,14,4,4.0,18,,,,3.0,9.0,1.0,1.0,2.0,,,,6.0,7,2.0,,6.0,,,91,2019-05-03
Melbourne,2019,9,Collingwood,12,L,34,8,4,13.0,21,,,,2.0,3.0,1.0,,2.0,1.0,,,11.0,11,,,6.0,,,91,2019-05-17
Melbourne,2019,10,Fremantle,14,W,34,10,5,3.0,13,,,,1.0,5.0,2.0,,3.0,,2.0,,4.0,10,1.0,,4.0,,,87,2019-05-31
Melbourne,2019,11,Brisbane Lions,15,L,34,8,3,6.0,14,,,,1.0,5.0,2.0,1.0,2.0,1.0,,,7.0,7,,,6.0,,,85,2019-06-07
Melbourne,2019,12,Carlton,16,W,34,4,1,1.0,5,,,,,,2.0,,3.0,1.0,,,1.0,4,,,,,,10,2019-06-14
Melbourne,2019,13,Sydney,22,L,34,10,4,2.0,12,,,,,3.0,2.0,,4.0,1.0,1.0,,3.0,9,,,3.0,,,79,2019-07-26
Melbourne,2019,14,North Melbourne,23,L,34,4,3,6.0,10,,,,3.0,5.0,,,5.0,,3.0,,1.0,8,,,7.0,,,76,2019-08-02
Melbourne,2024,15,Western Bulldogs,2,W,27,11,6,3.0,14,,,,2.0,6.0,,1.0,2.0,,1.0,,4.0,11,1.0,,3.0,,,81,2024-03-08
Melbourne,2024,16↑,Hawthorn,3,W,27,6,4,1.0,7,,,,1.0,1.0,1.0,,4.0,,1.0,,,7,,,,,,42,2024-03-15
Melbourne,2024,17,Port Adelaide,4,W,27,10,6,2.0,12,,,,1.0,2.0,1.0,1.0,3.0,,2.0,,3.0,10,,,7.0,,,74,2024-03-22
Melbourne,2024,18,Port Adelaide,23,L,27,7,7,,7,,,,1.0,4.0,,,1.0,,,,2.0,7,1.0,,3.0,,,72,2024-08-02
Melbourne,2024,19,Gold Coast,24,W,27,16,9,2.0,18,,,,2.0,4.0,2.0,1.0,,,,,2.0,16,1.0,,1.0,,1.0,77,2024-08-17
Melbourne,2024,20,Collingwood,25,L,27,7,4,4.0,11,,,,,2.0,,,5.0,,2.0,,4.0,7,,,1.0,,,85,2024-08-23
