team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2022,1,Gold Coast,1,L,19,7,2,3.0,10,,,,3.0,1.0,3.0,1.0,4.0,1.0,2.0,,3.0,8,,,2.0,1.0,,82,2022-03-01
West Coast,2022,2,Fremantle,3,L,19,5,1,7.0,12,,,,1.0,3.0,1.0,1.0,,1.0,,,1.0,11,,,,,,83,2022-03-15
West Coast,2022,3,Collingwood,4,W,19,8,4,7.0,15,,,,1.0,1.0,2.0,,5.0,,1.0,,5.0,10,,,,,,84,2022-03-22
West Coast,2022,4↑,Greater Western Sydney,10,L,19,1,1,,1,,,,,,,,,,,,,1,,,,,,7,2022-05-03
West Coast,2022,5,Western Bulldogs,11,L,19,15,11,8.0,23,,,,1.0,3.0,,,3.0,1.0,,,5.0,18,,,1.0,,,88,2022-05-10
West Coast,2022,6,Adelaide,12,L,19,9,6,2.0,11,,,,3.0,4.0,,,6.0,,2.0,,4.0,7,1.0,,1.0,,,83,2022-05-17
West Coast,2022,7,Geelong,14,L,19,9,6,4.0,13,,1.0,,1.0,,4.0,,,2.0,,,2.0,11,,,,,,84,2022-05-31
West Coast,2022,8,Essendon,15,W,19,9,3,5.0,14,,,,,2.0,4.0,1.0,1.0,,,,2.0,12,,,,1.0,3.0,86,2022-06-07
West Coast,2022,9,Richmond,16,L,19,12,10,8.0,20,,,,,1.0,2.0,1.0,2.0,,2.0,,2.0,17,,,,,,81,2022-06-14
West Coast,2022,10,Carlton,17,L,19,8,3,3.0,11,,,,1.0,1.0,2.0,,3.0,,,,3.0,8,1.0,,,,,85,2022-06-21
West Coast,2022,11,Hawthorn,18,L,19,8,4,2.0,10,,1.0,,,,2.0,,2.0,1.0,,,1.0,9,,1.0,2.0,,1.0,79,2022-06-28
West Coast,2022,12,St Kilda,19,L,19,10,6,4.0,14,,,,,1.0,5.0,,3.0,,,,2.0,12,,,,,1.0,77,2022-07-05
West Coast,2022,13,Gold Coast,20,L,19,9,3,2.0,11,,,,1.0,5.0,1.0,,1.0,,,,1.0,8,,,1.0,,,73,2022-07-12
West Coast,2022,14,Adelaide,21,L,19,9,7,1.0,10,,1.0,,2.0,,2.0,,1.0,,1.0,,1.0,9,,1.0,,,,80,2022-07-19
West Coast,2022,15,Fremantle,22,L,19,8,7,3.0,11,,,,,4.0,,1.0,1.0,,,,4.0,7,,,2.0,,,78,2022-07-26
West Coast,2023,16,Melbourne,4,L,19,5,1,2.0,7,,,,,1.0,,1.0,1.0,,1.0,,2.0,6,,,3.0,,,85,2023-03-22
West Coast,2023,17,Geelong,5,L,19,7,2,4.0,11,,,,1.0,,1.0,1.0,1.0,2.0,,,6.0,5,,,1.0,,1.0,91,2023-03-29
West Coast,2023,18,Gold Coast,9,L,19,4,3,2.0,6,,,,6.0,,1.0,,,1.0,,,2.0,5,,,1.0,,,82,2023-04-26
West Coast,2023,19,Hawthorn,10,L,19,5,3,8.0,13,,,,1.0,1.0,2.0,2.0,2.0,,,,5.0,8,,,2.0,,,77,2023-05-03
West Coast,2023,20,Essendon,11,L,19,9,5,12.0,21,,,,,3.0,1.0,,1.0,1.0,,,5.0,16,,1.0,1.0,,,78,2023-05-10
West Coast,2023,21,Collingwood,12,L,19,12,6,4.0,16,,,,2.0,5.0,,,2.0,1.0,,,3.0,11,2.0,,,,,83,2023-05-17
West Coast,2023,22,Adelaide,13,L,19,7,5,7.0,14,,,,2.0,2.0,,,,2.0,,,4.0,11,1.0,,1.0,,,81,2023-05-24
West Coast,2023,23,Sydney,15,L,19,7,4,9.0,16,,,,,2.0,,1.0,1.0,1.0,,,4.0,11,,,,,,86,2023-06-07
