team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2017,1,Sydney,1,W,43,10,6.0,2.0,12,,,,2.0,3.0,2.0,,,1.0,,,4,8,1.0,,1.0,,,82,2017-03-01
Port Adelaide,2017,2,Fremantle,2,W,43,18,11.0,,18,,,,3.0,10.0,3.0,,1.0,,,,2,16,,,3.0,1.0,,84,2017-03-08
Port Adelaide,2017,3,Adelaide,3,L,43,12,4.0,5.0,17,,1.0,,3.0,2.0,3.0,,2.0,2.0,,,4,13,,,1.0,,,77,2017-03-15
Port Adelaide,2017,4,Greater Western Sydney,4,L,43,12,9.0,7.0,19,,,,1.0,3.0,,,1.0,1.0,,,3,15,,,6.0,,,86,2017-03-22
Port Adelaide,2017,5,Carlton,5,W,43,10,5.0,7.0,17,,,,4.0,1.0,2.0,1.0,2.0,,,,5,12,,,6.0,,,81,2017-03-29
Port Adelaide,2017,6,Brisbane Lions,6,W,43,8,2.0,6.0,14,,1.0,,1.0,2.0,1.0,,1.0,,1.0,,1,12,,,2.0,,,85,2017-04-05
Port Adelaide,2017,7,West Coast,7,L,43,5,5.0,7.0,12,,,,3.0,1.0,1.0,,1.0,,,,4,7,,,1.0,,,83,2017-04-12
Port Adelaide,2017,8,Brisbane Lions,13,W,43,7,4.0,10.0,17,,,,3.0,5.0,,1.0,1.0,,,,10,5,1.0,,1.0,,,78,2017-05-24
Port Adelaide,2017,9,Collingwood,14,W,43,6,5.0,7.0,13,,,,,2.0,,,1.0,,1.0,,6,6,1.0,,2.0,,,83,2017-05-31
Port Adelaide,2017,10,Richmond,15,L,43,12,9.0,9.0,21,,,,5.0,3.0,2.0,,5.0,,,,8,13,1.0,,4.0,,,77,2017-06-07
Port Adelaide,2017,11,West Coast,16,W,43,14,11.0,5.0,19,,,,1.0,5.0,,,2.0,2.0,,,5,15,,,2.0,,,71,2017-06-14
Port Adelaide,2017,12,North Melbourne,17,W,43,9,5.0,1.0,10,,,,5.0,3.0,,,3.0,1.0,2.0,,2,7,,,1.0,,,75,2017-06-21
Port Adelaide,2017,13,Melbourne,18,L,43,8,2.0,5.0,13,,1.0,,9.0,5.0,1.0,,2.0,1.0,1.0,,3,10,,,5.0,,,80,2017-06-28
Port Adelaide,2017,14,Collingwood,21,W,43,12,4.0,9.0,21,1.0,,,2.0,6.0,1.0,,2.0,,1.0,,3,15,,,1.0,,,77,2017-07-19
Port Adelaide,2017,15,Western Bulldogs,22,W,43,12,6.0,3.0,15,,,,3.0,5.0,2.0,1.0,2.0,1.0,2.0,,2,11,,,1.0,,,74,2017-07-26
Port Adelaide,2017,16,Gold Coast,23,W,43,12,7.0,8.0,20,1.0,,,3.0,,2.0,1.0,,,,,7,14,,,6.0,,,82,2017-08-02
Port Adelaide,2017,17,West Coast,EF,L,43,8,6.0,10.0,18,,,,4.0,2.0,4.0,,2.0,1.0,1.0,,3,15,1.0,,4.0,,,87,2017-03-01
Port Adelaide,2018,18,Fremantle,1,W,43,12,7.0,5.0,17,,,,2.0,5.0,1.0,,,1.0,,,3,13,,,3.0,,,85,2018-03-01
Port Adelaide,2018,19,Sydney,2,W,43,10,2.0,4.0,14,,,,4.0,4.0,2.0,,2.0,3.0,,,8,5,,,9.0,,,76,2018-03-08
Port Adelaide,2018,20,Brisbane Lions,3,W,43,13,6.0,5.0,18,,,,2.0,1.0,,1.0,2.0,,1.0,,4,13,,,4.0,,,71,2018-03-15
Port Adelaide,2018,21,Essendon,4,L,43,13,3.0,4.0,17,,,,3.0,7.0,,,2.0,1.0,,,5,10,,,,1.0,,70,2018-03-22
Port Adelaide,2018,22,Geelong,5,L,43,16,8.0,,16,,,,4.0,5.0,1.0,3.0,1.0,1.0,,,3,11,,,2.0,,,78,2018-03-29
Port Adelaide,2018,23,North Melbourne,6,W,43,11,4.0,5.0,16,1.0,,,4.0,5.0,1.0,,,2.0,,,3,11,,,2.0,,,79,2018-04-05
Port Adelaide,2018,24,West Coast,7,L,43,15,7.0,9.0,24,,,,5.0,1.0,3.0,,3.0,,1.0,,4,20,1.0,,3.0,,,85,2018-04-12
Port Adelaide,2018,25,Adelaide,8,W,43,14,8.0,6.0,20,,,,1.0,7.0,,,1.0,1.0,,,9,10,,,2.0,,,75,2018-04-19
Port Adelaide,2018,26,Gold Coast,9,W,43,7,3.0,7.0,14,,,,3.0,1.0,,1.0,3.0,,1.0,,8,7,1.0,,3.0,,,84,2018-04-26
Port Adelaide,2018,27,Hawthorn,11,L,43,10,3.0,1.0,11,,,,1.0,4.0,,,3.0,,,,2,9,,,2.0,,,76,2018-05-10
Port Adelaide,2018,28,Richmond,12,W,43,9,5.0,2.0,11,,,,2.0,3.0,2.0,,,,,,6,3,2.0,,4.0,,,78,2018-05-17
Port Adelaide,2018,29,Western Bulldogs,13,W,43,15,7.0,5.0,20,1.0,,,,2.0,6.0,,3.0,,1.0,,4,15,1.0,,1.0,,2.0,79,2018-05-24
Port Adelaide,2018,30,Melbourne,14,W,43,12,4.0,3.0,15,,,,6.0,7.0,2.0,1.0,,,,,7,6,,,,,,82,2018-05-31
Port Adelaide,2018,31,Carlton,15,W,43,17,9.0,5.0,22,,,,2.0,5.0,5.0,1.0,3.0,,1.0,,6,14,,,3.0,3.0,1.0,80,2018-06-07
Port Adelaide,2018,32,St Kilda,16,W,43,16,8.0,6.0,22,,,,1.0,5.0,3.0,,4.0,,1.0,,5,15,1.0,,5.0,1.0,,85,2018-06-14
Port Adelaide,2018,33,Fremantle,17,L,43,10,4.0,9.0,19,,,,2.0,6.0,,1.0,2.0,,,,5,12,,,8.0,,,83,2018-06-21
Port Adelaide,2018,34,Greater Western Sydney,18,L,43,12,6.0,5.0,17,,,,6.0,3.0,,,2.0,,2.0,,5,11,1.0,,3.0,,,88,2018-06-28
Port Adelaide,2018,35,Western Bulldogs,19,W,43,10,2.0,2.0,12,,,,1.0,3.0,1.0,1.0,4.0,1.0,1.0,,9,4,,,11.0,,,87,2018-07-05
Port Adelaide,2018,36,Adelaide,20,L,43,11,8.0,10.0,21,,,,3.0,3.0,2.0,2.0,3.0,,,,12,11,1.0,,4.0,,,82,2018-07-12
Port Adelaide,2018,37,West Coast,21,L,43,9,2.0,2.0,11,,,,1.0,4.0,3.0,,,1.0,,,3,8,,,4.0,,,53,2018-07-19
Port Adelaide,2018,38,Collingwood,22,L,43,13,7.0,6.0,19,,,,4.0,3.0,1.0,1.0,5.0,,1.0,,6,12,,,2.0,,,87,2018-07-26
Port Adelaide,2018,39,Essendon,23,L,43,7,4.0,7.0,14,,,,2.0,1.0,2.0,1.0,2.0,,,,5,10,,,4.0,,,90,2018-08-02
Port Adelaide,2019,40,Melbourne,1,W,43,10,3.0,6.0,16,,,,4.0,4.0,2.0,1.0,,,,,6,7,2.0,,1.0,,,80,2019-03-01
Port Adelaide,2019,41,Carlton,2,W,43,15,3.0,6.0,21,,1.0,,3.0,3.0,2.0,,4.0,2.0,2.0,,8,12,1.0,1.0,3.0,,,91,2019-03-08
