team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Gold Coast,2023,1,St Kilda,4,L,19,7.0,1.0,4.0,11,,2.0,,3.0,1.0,2.0,1.0,3.0,1.0,,,7,5.0,1.0,,,,,65,2023-03-22
Gold Coast,2023,2↓,Fremantle,5,L,19,5.0,3.0,,5,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,4,1.0,2.0,2.0,,,1.0,55,2023-03-29
Gold Coast,2023,3↑,North Melbourne,6,W,19,7.0,4.0,3.0,10,2.0,1.0,,1.0,,,,2.0,1.0,,,4,6.0,,3.0,,,,42,2023-04-05
Gold Coast,2023,4↓,Richmond,7,W,19,,,1.0,1,,,,1.0,,,,3.0,,2.0,,1,,,,,,,46,2023-04-12
Gold Coast,2023,5,Melbourne,8,L,19,10.0,1.0,5.0,15,,,,5.0,1.0,2.0,,5.0,3.0,,,8,6.0,,,,1.0,,75,2023-04-19
Gold Coast,2023,6,West Coast,9,W,19,12.0,5.0,8.0,20,1.0,1.0,,5.0,1.0,5.0,2.0,2.0,,,,10,10.0,1.0,1.0,1.0,,,67,2023-04-26
Gold Coast,2023,7,Brisbane Lions,10,L,19,19.0,4.0,7.0,26,1.0,1.0,,,4.0,7.0,5.0,3.0,,,,11,14.0,1.0,,,,1.0,70,2023-05-03
Gold Coast,2023,8,Western Bulldogs,11,W,19,13.0,1.0,6.0,19,1.0,,,3.0,1.0,5.0,1.0,5.0,,,,8,11.0,,,1.0,,1.0,70,2023-05-10
Gold Coast,2023,9,Adelaide,12,W,19,12.0,1.0,5.0,17,2.0,,,2.0,,6.0,4.0,3.0,2.0,1.0,,13,5.0,,,2.0,,,72,2023-05-17
Gold Coast,2023,10,Carlton,14,L,19,10.0,4.0,1.0,11,1.0,,,6.0,,5.0,3.0,3.0,1.0,,,7,5.0,1.0,1.0,1.0,,1.0,78,2023-05-31
Gold Coast,2023,11,Hawthorn,15,W,19,8.0,2.0,5.0,13,,2.0,,,,3.0,1.0,3.0,,2.0,,6,7.0,,1.0,,,,71,2023-06-07
Gold Coast,2023,12,Collingwood,16,L,19,7.0,1.0,4.0,11,,1.0,,3.0,2.0,3.0,2.0,1.0,,,,6,5.0,,,,,1.0,75,2023-06-14
Gold Coast,2023,13,Port Adelaide,17,L,19,8.0,1.0,4.0,12,1.0,1.0,,2.0,,5.0,1.0,3.0,2.0,,,7,4.0,,,,,,70,2023-06-21
Gold Coast,2023,14,St Kilda,18,W,19,4.0,,8.0,12,1.0,,,3.0,,1.0,,,,,,6,6.0,,,1.0,,1.0,76,2023-06-28
Gold Coast,2023,15,Greater Western Sydney,19,L,19,2.0,,4.0,6,,,,,,1.0,1.0,1.0,,1.0,,2,4.0,,,,,,72,2023-07-05
Gold Coast,2023,16,Brisbane Lions,20,W,19,7.0,1.0,5.0,12,,1.0,,3.0,,1.0,3.0,,,,,10,2.0,,1.0,1.0,,,63,2023-07-12
Gold Coast,2023,17,Adelaide,21,L,19,6.0,1.0,5.0,11,,1.0,,7.0,1.0,3.0,2.0,2.0,,1.0,,5,5.0,,,,,2.0,72,2023-07-19
Gold Coast,2023,18,Sydney,22,L,19,7.0,1.0,9.0,16,,,,2.0,,5.0,1.0,2.0,,,,8,8.0,,,,,1.0,72,2023-07-26
Gold Coast,2023,19,Carlton,23,L,19,4.0,1.0,4.0,8,,,,3.0,,2.0,,2.0,1.0,1.0,,6,3.0,,,2.0,,1.0,74,2023-08-02
Gold Coast,2024,20,Richmond,1,W,19,1.0,2.0,8.0,9,,,,2.0,,1.0,,4.0,,4.0,,5,6.0,,,2.0,,,75,2024-03-01
Gold Coast,2024,21,Adelaide,2,W,19,9.0,3.0,7.0,16,1.0,3.0,,1.0,,3.0,,3.0,,1.0,,6,9.0,,3.0,1.0,,,75,2024-03-08
Gold Coast,2024,22↓,Greater Western Sydney,5,L,19,7.0,1.0,8.0,15,,,,2.0,,3.0,4.0,1.0,1.0,,,9,7.0,,,1.0,,2.0,67,2024-03-29
Gold Coast,2024,23,Hawthorn,6,W,19,9.0,2.0,4.0,13,,1.0,,2.0,,5.0,5.0,1.0,3.0,1.0,,7,6.0,,,2.0,,1.0,83,2024-04-05
Gold Coast,2024,24,Sydney,7,L,19,4.0,1.0,3.0,7,1.0,1.0,,3.0,,2.0,,1.0,1.0,,,2,6.0,,1.0,1.0,,1.0,78,2024-04-12
Gold Coast,2024,25↓,West Coast,8,W,19,5.0,1.0,5.0,10,1.0,3.0,,3.0,,2.0,,1.0,1.0,,,3,7.0,,,1.0,,2.0,70,2024-04-19
Gold Coast,2024,26↑,North Melbourne,10,W,19,10.0,1.0,2.0,12,,2.0,,5.0,,7.0,6.0,,1.0,,,5,6.0,,,,,1.0,27,2024-05-03
Gold Coast,2024,27,Geelong,11,W,19,11.0,2.0,5.0,16,5.0,1.0,,5.0,,5.0,1.0,3.0,1.0,,,10,6.0,,2.0,1.0,,,85,2024-05-10
Gold Coast,2024,28,Carlton,12,L,19,7.0,2.0,6.0,13,1.0,,,2.0,,2.0,5.0,3.0,1.0,1.0,,8,5.0,,1.0,1.0,,2.0,78,2024-05-17
Gold Coast,2024,29↓,Essendon,13,W,19,7.0,2.0,2.0,9,1.0,1.0,,,,2.0,1.0,3.0,,3.0,,4,7.0,,1.0,1.0,,1.0,59,2024-05-24
