team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2013,1,Richmond,13,L,26,11,5.0,8,19,1.0,2.0,,3.0,1.0,3.0,2.0,1.0,2.0,,,7.0,11.0,,1.0,1.0,,,79,2013-05-24
Western Bulldogs,2013,2↑,Melbourne,14,L,26,3,,1,4,,,,2.0,,,,1.0,,,,1.0,2.0,,,,,,30,2013-05-31
Western Bulldogs,2013,3↑,Essendon,16,L,26,8,3.0,3,11,,,,2.0,1.0,4.0,,1.0,1.0,1.0,,3.0,8.0,,1.0,2.0,1.0,,35,2013-06-14
Western Bulldogs,2013,4↑,Hawthorn,17,L,26,2,,1,3,,,,,,2.0,,,1.0,,,4.0,,,,1.0,,,29,2013-06-21
Western Bulldogs,2013,5,West Coast,18,W,26,10,5.0,8,18,,1.0,,2.0,1.0,4.0,1.0,2.0,1.0,1.0,,5.0,13.0,,1.0,4.0,,,75,2013-06-28
Western Bulldogs,2013,6,Sydney,19,L,26,6,1.0,8,14,1.0,1.0,,4.0,,3.0,1.0,4.0,,1.0,,2.0,11.0,,1.0,1.0,,,80,2013-07-05
Western Bulldogs,2013,7↑,Adelaide,21,W,26,3,1.0,8,11,,,,1.0,,4.0,,2.0,,,,6.0,5.0,1.0,,,,1.0,33,2013-07-19
Western Bulldogs,2013,8,Brisbane Lions,22,L,26,8,3.0,9,17,,,,1.0,,1.0,,4.0,,1.0,,8.0,9.0,,,,,,77,2013-07-26
Western Bulldogs,2013,9,Melbourne,23,W,26,15,7.0,7,22,2.0,,,1.0,1.0,5.0,2.0,1.0,,,,4.0,18.0,,1.0,,1.0,1.0,80,2013-08-02
Western Bulldogs,2014,10,West Coast,1,L,26,13,5.0,11,24,2.0,1.0,,4.0,1.0,4.0,1.0,3.0,1.0,1.0,,6.0,17.0,,2.0,,,2.0,77,2014-03-01
Western Bulldogs,2014,11,North Melbourne,2,L,26,11,4.0,7,18,,,,2.0,1.0,4.0,2.0,2.0,1.0,,,8.0,10.0,1.0,,1.0,1.0,,87,2014-03-08
Western Bulldogs,2014,12,Richmond,3,W,26,10,3.0,6,16,1.0,2.0,,6.0,,3.0,2.0,4.0,1.0,,,7.0,8.0,,1.0,,2.0,1.0,88,2014-03-15
Western Bulldogs,2014,13,Greater Western Sydney,4,W,26,9,4.0,5,14,1.0,2.0,,4.0,2.0,,1.0,,,,,6.0,8.0,1.0,,1.0,,1.0,87,2014-03-22
Western Bulldogs,2014,14↑,Adelaide,6,L,26,1,,2,3,,1.0,,1.0,,,,,,,,2.0,1.0,,,,,,31,2014-04-05
Western Bulldogs,2014,15,Essendon,7,L,26,8,2.0,7,15,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,8.0,7.0,1.0,1.0,,,,79,2014-04-12
Western Bulldogs,2014,16,Melbourne,8,W,26,5,2.0,6,11,,,,5.0,1.0,3.0,3.0,5.0,1.0,3.0,,5.0,6.0,,,1.0,,1.0,84,2014-04-19
Western Bulldogs,2014,17,Melbourne,15,W,26,7,5.0,7,14,1.0,,,2.0,1.0,,1.0,,1.0,,,5.0,8.0,1.0,1.0,2.0,,2.0,87,2014-06-07
Western Bulldogs,2014,18,Geelong,16,L,26,12,2.0,4,16,1.0,,,5.0,,5.0,2.0,2.0,2.0,,,10.0,4.0,1.0,,,,1.0,80,2014-06-14
Western Bulldogs,2014,19,Gold Coast,17,W,26,12,5.0,3,15,2.0,1.0,,5.0,,5.0,3.0,1.0,2.0,,,5.0,11.0,,1.0,,1.0,1.0,83,2014-06-21
Western Bulldogs,2014,20,Essendon,18,L,26,12,5.0,5,17,,1.0,,2.0,,1.0,,2.0,1.0,1.0,,6.0,10.0,,2.0,1.0,,,79,2014-06-28
Western Bulldogs,2014,21,Hawthorn,19,L,26,11,7.0,3,14,,2.0,,1.0,1.0,4.0,2.0,1.0,,,,2.0,13.0,,2.0,1.0,1.0,,85,2014-07-05
Western Bulldogs,2014,22↑,St Kilda,20,W,26,2,2.0,1,3,,1.0,,,,1.0,1.0,,,,,2.0,1.0,1.0,1.0,,,,17,2014-07-12
Western Bulldogs,2014,23,North Melbourne,21,L,26,13,5.0,5,18,,1.0,,,2.0,7.0,2.0,3.0,,1.0,,5.0,13.0,,1.0,,1.0,1.0,78,2014-07-19
Western Bulldogs,2015,24↑,St Kilda,6,L,7,6,3.0,2,8,,,,1.0,2.0,1.0,1.0,,,,,2.0,6.0,,,,1.0,1.0,44,2015-04-05
Western Bulldogs,2015,25↑,Fremantle,7,L,7,4,3.0,4,8,,,,3.0,,2.0,,1.0,3.0,,,3.0,6.0,,,,,,31,2015-04-12
Western Bulldogs,2015,26,Melbourne,8,L,7,11,4.0,5,16,1.0,1.0,,1.0,,2.0,2.0,4.0,,1.0,,5.0,11.0,,1.0,2.0,2.0,1.0,78,2015-04-19
Western Bulldogs,2015,27↑,Gold Coast,15,W,7,10,5.0,3,13,,1.0,,2.0,,3.0,1.0,3.0,,1.0,,1.0,12.0,,,,,1.0,57,2015-06-07
Western Bulldogs,2015,28↑,Geelong,16,L,7,3,1.0,7,10,,,,2.0,,,3.0,,,,,6.0,3.0,,,1.0,,,22,2015-06-14
