team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2023,1,Melbourne,23,L,44,5,2.0,10,15,2.0,,,5.0,,,2.0,1.0,1.0,,,6,9,1.0,1.0,,,,74,2023-08-02
Hawthorn,2023,2,Fremantle,24,L,44,5,3.0,8,13,,,,3.0,1.0,,1.0,2.0,2.0,1.0,,5,8,,,2.0,,,72,2023-08-09
Hawthorn,2024,3↓,Geelong,4,L,44,1,,7,8,,,,6.0,,,1.0,2.0,1.0,1.0,,5,4,,,,,,46,2024-03-22
Hawthorn,2024,4↑,Collingwood,5,L,44,1,,1,2,,,,1.0,,1.0,,2.0,,1.0,,1,1,,,,,,16,2024-03-29
Hawthorn,2024,5↑,Gold Coast,6,L,44,7,1.0,5,12,,,,,3.0,2.0,2.0,3.0,1.0,1.0,,8,4,,,,,,44,2024-04-05
Hawthorn,2024,6↑,North Melbourne,7,W,44,1,,3,4,,,,1.0,,,2.0,,1.0,,,4,1,,,,,,31,2024-04-12
Hawthorn,2025,7,West Coast,8,W,44,12,2.0,12,24,,,,2.0,,2.0,3.0,3.0,,,,7,17,,,,,,75,2025-04-19
Hawthorn,2025,8,Richmond,9,W,44,4,5.0,15,19,,1.0,,8.0,,1.0,5.0,2.0,,1.0,,6,13,,1.0,1.0,,,74,2025-04-26
Hawthorn,2025,9↓,Melbourne,10,W,44,4,1.0,4,8,,,,3.0,,,2.0,3.0,1.0,2.0,,4,5,,,1.0,,,35,2025-05-03
Hawthorn,2025,10↓,Adelaide,15,W,44,3,,1,4,,,,1,,1,,2,,,,1,3,,,,,,27,2025-06-07
