team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2025,1,Brisbane Lions,6,L,6,1,1.0,2.0,3,,,,,,1.0,,2.0,,,,3.0,1,,,,,1.0,60,2025-04-05
Western Bulldogs,2025,2↑,St Kilda,7,W,6,3,4.0,6.0,9,,1.0,,,,,,1.0,,1.0,,4.0,5,,1.0,,,1.0,61,2025-04-12
Western Bulldogs,2025,3↑,Greater Western Sydney,8,W,6,2,,1.0,3,,,,,,,,,1.0,,,1.0,2,,,,,,22,2025-04-19
Western Bulldogs,2025,4↑,St Kilda,15,W,6,2,1.0,,2,1.0,,,1.0,,1.0,,2.0,,,,1.0,1,1.0,1.0,1.0,,,21,2025-06-07
Western Bulldogs,2025,5,Richmond,16,W,6,4,2.0,6.0,10,2.0,,,3.0,,2.0,,3.0,,1.0,,2.0,8,,,,,,77,2025-06-14
Western Bulldogs,2025,6,Sydney,17,W,6,1,1.0,9.0,10,,,,1.0,1.0,,,2.0,,,,10.0,1,,,2.0,,,68,2025-06-21
Western Bulldogs,2025,7,North Melbourne,18,W,6,7,3.0,4.0,11,,,,4.0,,2.0,1.0,2.0,1.0,,,5.0,5,2.0,,,,1.0,68,2025-06-28
Western Bulldogs,2025,8↓,Adelaide,19,L,6,1,1.0,1.0,2,1.0,,,,,,,,,,,,2,,1.0,,,,49,2025-07-05
Western Bulldogs,2026,9,Brisbane Lions,1,W,6,2,,10.0,12,,,,3.0,,1.0,2.0,,,,,3.0,9,,,,,,78,2026-03-01
Western Bulldogs,2026,10,Greater Western Sydney,2,W,6,6,1.0,8.0,14,1.0,,,,1.0,,2.0,3.0,,,,7.0,7,,,,,,77,2026-03-08
Western Bulldogs,2026,11,Adelaide,3,W,6,5,2.0,,5,,1.0,,3.0,1.0,2.0,,3.0,1.0,2.0,,1.0,4,,1.0,2.0,,,42,2026-03-15
Western Bulldogs,2026,12,Hawthorn,6,L,6,6,1.0,9.0,15,1.0,1.0,,5.0,1.0,1.0,,4.0,,2.0,,4.0,11,,,,,1.0,71,2026-04-05
Western Bulldogs,2026,13,Geelong,7,L,6,7,4.0,6.0,13,,,,4.0,2.0,3.0,1.0,2.0,1.0,,,7.0,8,,1.0,3.0,,,73,2026-04-12
Western Bulldogs,2026,14,Sydney,8,L,6,5,2.0,3.0,8,1.0,,,3.0,1.0,,,1.0,,,,2.0,6,,,1.0,,,76,2026-04-19
Western Bulldogs,2026,15,Port Adelaide,10,W,6,3,2.0,6.0,9,,,,5.0,,2.0,,2.0,,,,1.0,8,,,1.0,,,74,2026-05-03
Western Bulldogs,2026,16,Carlton,11,L,6,2,1.0,6.0,8,1.0,,,4.0,,,,1.0,,1.0,,4.0,4,,1.0,,,,75,2026-05-10
Western Bulldogs,2026,17,Melbourne,12,W,6,5,1.0,3.0,8,,,,2.0,2.0,1.0,,,,,,3.0,5,,,,,,78,2026-05-17
Western Bulldogs,2026,18,Collingwood,13,W,6,6,2.0,7.0,13,,,,,,2.0,2.0,2.0,,,,5.0,8,,,,,,70,2026-05-24
Western Bulldogs,2026,19,Hawthorn,14,W,6,14,3.0,7.0,21,,,,2.0,3.0,6.0,2.0,1.0,,,,6.0,13,,,2.0,,1.0,80,2026-05-31
Western Bulldogs,2026,20,Adelaide,15,L,6,8,3.0,7.0,15,1.0,,,3.0,1.0,4.0,2.0,5.0,,1.0,,8.0,7,,,1.0,,,82,2026-06-07
Western Bulldogs,2026,21,St Kilda,16,W,6,14,4.0,6.0,20,1.0,1.0,,4.0,1.0,2.0,1.0,4.0,1.0,2.0,,5.0,15,1.0,1.0,1.0,,,84,2026-06-14
Western Bulldogs,2026,22,Sydney,18,L,6,3,2.0,11.0,14,,,,6.0,1.0,1.0,1.0,1.0,,,,4.0,10,,,,,,84,2026-06-28
Western Bulldogs,2026,23,West Coast,19,W,6,6,2.0,2.0,8,,,,4.0,,,,3.0,1.0,1.0,,3.0,7,,,1.0,,,76,2026-07-12
Western Bulldogs,2026,24,Gold Coast,20,W,6,10,4.0,4.0,14,,,,2.0,,6.0,1.0,2.0,,1.0,,3.0,10,,,2.0,,2.0,79,2026-07-19
