team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2014,1,Carlton,1,W,24,8.0,3.0,4.0,12,,,,3.0,2.0,1.0,,2.0,,,,3.0,9.0,1.0,,6.0,1.0,,83,2014-03-01
Port Adelaide,2014,2,Adelaide,2,W,24,11.0,1.0,2.0,13,,,,2.0,3.0,1.0,1.0,3.0,2.0,2.0,,6.0,7.0,,,2.0,,,87,2014-03-08
Port Adelaide,2014,3,North Melbourne,3,L,24,5.0,2.0,3.0,8,,1.0,,6.0,1.0,2.0,,1.0,,,,2.0,7.0,,1.0,2.0,,,71,2014-03-15
Port Adelaide,2014,4,Brisbane Lions,4,W,24,5.0,2.0,3.0,8,1.0,,,3.0,,4.0,,3.0,,2.0,,2.0,6.0,,1.0,2.0,,,85,2014-03-22
Port Adelaide,2014,5,West Coast,5,W,24,11.0,5.0,5.0,16,,,,1.0,1.0,2.0,2.0,4.0,,,,8.0,8.0,1.0,,,,,66,2014-03-29
Port Adelaide,2014,6↑,Geelong,6,W,24,1.0,,2.0,3,,,,1.0,1.0,,2.0,2.0,,1.0,,3.0,,,,1.0,,,15,2014-04-05
Port Adelaide,2014,7↑,Greater Western Sydney,7,W,24,3.0,,1.0,4,1.0,1.0,,2.0,,,,2.0,,1.0,,1.0,3.0,,,,,,25,2014-04-12
Port Adelaide,2014,8,Fremantle,8,W,24,6.0,2.0,4.0,10,,,,1.0,,2.0,,2.0,,,,4.0,6.0,1.0,,5.0,1.0,1.0,82,2014-04-19
Port Adelaide,2014,9,Hawthorn,10,W,24,9.0,4.0,3.0,12,,,,1.0,2.0,,,2.0,1.0,,,4.0,8.0,2.0,,3.0,1.0,,87,2014-05-03
Port Adelaide,2014,10,Melbourne,11,W,24,9.0,4.0,7.0,16,,,,3.0,1.0,4.0,,2.0,1.0,,,6.0,10.0,,,4.0,2.0,,76,2014-05-10
Port Adelaide,2014,11,St Kilda,12,W,24,16.0,8.0,4.0,20,1.0,,,1.0,5.0,2.0,,,,,,4.0,16.0,1.0,,2.0,,,82,2014-05-17
Port Adelaide,2014,12,Sydney,13,L,24,3.0,3.0,5.0,8,,,,3.0,,,,2.0,,1.0,,3.0,5.0,1.0,,3.0,2.0,,90,2014-05-24
Port Adelaide,2014,13,Adelaide,15,L,24,3.0,2.0,5.0,8,,,,6.0,,,1.0,5.0,,4.0,,3.0,5.0,,,2.0,,,84,2014-06-07
Port Adelaide,2014,14,Essendon,16,L,24,9.0,2.0,9.0,18,,,,5.0,,2.0,1.0,4.0,,1.0,,10.0,10.0,,,4.0,1.0,,82,2014-06-14
Port Adelaide,2014,15,Richmond,17,L,24,6.0,2.0,6.0,12,,,,2.0,2.0,3.0,1.0,1.0,,,,4.0,8.0,,,1.0,2.0,,71,2014-06-21
Port Adelaide,2014,16,Melbourne,18,W,24,5.0,4.0,7.0,12,,,,2.0,2.0,,,5.0,1.0,3.0,,5.0,9.0,,,1.0,2.0,,67,2014-06-28
Port Adelaide,2014,17,Collingwood,19,L,24,8.0,6.0,5.0,13,,,,2.0,4.0,3.0,,4.0,,1.0,,5.0,8.0,1.0,,2.0,4.0,,76,2014-07-05
Port Adelaide,2014,18,Fremantle,23,L,24,3.0,,4.0,7,,,,2.0,2.0,,1.0,1.0,,1.0,,2.0,5.0,,,2.0,,1.0,83,2014-08-02
Port Adelaide,2015,19,Fremantle,1,L,24,10.0,5.0,5.0,15,,,,4.0,3.0,2.0,,3.0,2.0,2.0,,3.0,14.0,,,1.0,1.0,1.0,82,2015-03-01
Port Adelaide,2015,20↓,Sydney,2,L,24,,,5.0,5,,,,,,1.0,,1.0,,1.0,,,5.0,,,1.0,,,24,2015-03-08
Port Adelaide,2015,21,Brisbane Lions,7,L,24,5.0,4.0,4.0,9,,,,8.0,,,,2.0,,2.0,,3.0,7.0,1.0,,3.0,,,88,2015-04-12
Port Adelaide,2015,22,Richmond,8,L,24,7.0,5.0,2.0,9,,1.0,,2.0,,2.0,,3.0,,1.0,,1.0,8.0,,1.0,4.0,,1.0,78,2015-04-19
Port Adelaide,2015,23,Melbourne,9,W,24,9.0,9.0,3.0,12,,,,4.0,1.0,,,1.0,,,,1.0,11.0,1.0,,,,,90,2015-04-26
Port Adelaide,2015,24,Western Bulldogs,10,W,24,7.0,5.0,10.0,17,,,,4.0,1.0,,,1.0,,,,6.0,11.0,1.0,,1.0,,,86,2015-05-03
Port Adelaide,2015,25,Geelong,11,L,24,4.0,1.0,11.0,15,,,,3.0,1.0,1.0,2.0,1.0,,,,7.0,8.0,,,3.0,,,86,2015-05-10
Port Adelaide,2015,26,Carlton,12,L,24,10.0,3.0,13.0,23,,,,2.0,,4.0,,4.0,,1.0,,7.0,16.0,1.0,,1.0,,,78,2015-05-17
Port Adelaide,2015,27,Sydney,14,L,24,9.0,4.0,11.0,20,,1.0,,1.0,2.0,4.0,3.0,1.0,,,,5.0,14.0,,1.0,2.0,2.0,1.0,78,2015-05-31
Port Adelaide,2015,28,Collingwood,15,W,24,9.0,1.0,5.0,14,1.0,1.0,,2.0,1.0,2.0,3.0,3.0,,,,7.0,4.0,,,,,,71,2015-06-07
