team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Hawthorn,2019,1,Greater Western Sydney,21,W,29,3,3.0,8,11,,,,2.0,1.0,1.0,,2.0,,1.0,,5,6,1.0,,4.0,,,79,2019-07-19
Hawthorn,2019,2,Gold Coast,22,W,29,7,4.0,11,18,,,,3.0,2.0,,,1.0,1.0,,,5,13,,,5.0,1.0,,86,2019-07-26
Hawthorn,2020,3,West Coast,12,L,29,5,1.0,7,12,,,,,1.0,,1.0,3.0,,1.0,,4,6,,,2.0,,,70,2020-05-17
Hawthorn,2020,4,Port Adelaide,13,L,29,6,4.0,3,9,,,,4.0,4.0,1.0,,3.0,,2.0,,3,9,,,1.0,,,74,2020-05-24
Hawthorn,2020,5,Essendon,14,L,29,6,2.0,5,11,,,,1.0,2.0,,,1.0,,,,5,7,,,3.0,,,73,2020-05-31
Hawthorn,2020,6,Adelaide,15,L,29,6,4.0,3,9,,,,,1.0,1.0,,3.0,,2.0,,5,5,,,7.0,,,82,2020-06-07
Hawthorn,2020,7,St Kilda,16,L,29,4,2.0,3,7,,,,3.0,1.0,1.0,,2.0,1.0,,,2,5,1.0,,1.0,,,76,2020-06-14
Hawthorn,2021,8,Essendon,1,W,29,7,4.0,15,22,,1.0,,2.0,,3.0,1.0,4.0,1.0,2.0,,5,16,,,2.0,2.0,1.0,72,2021-03-01
Hawthorn,2021,9,Richmond,2,L,29,17,8.0,8,25,,,,1.0,3.0,3.0,,7.0,3.0,4.0,,10,17,1.0,,9.0,,,85,2021-03-08
Hawthorn,2021,10,Geelong,3,L,29,15,10.0,8,23,,,,2.0,6.0,4.0,2.0,2.0,1.0,,,5,20,,,1.0,2.0,,82,2021-03-15
Hawthorn,2021,11,Fremantle,4,L,29,17,12.0,7,24,,,,1.0,4.0,3.0,,3.0,,1.0,,2,21,,,4.0,,,83,2021-03-22
Hawthorn,2021,12,Melbourne,5,L,29,7,3.0,6,13,,,,1.0,5.0,1.0,1.0,3.0,1.0,3.0,,4,9,1.0,,7.0,,,89,2021-03-29
Hawthorn,2021,13,Adelaide,6,W,29,15,5.0,11,26,,,,1.0,3.0,3.0,2.0,5.0,2.0,2.0,,7,17,,,1.0,2.0,1.0,84,2021-04-05
Hawthorn,2021,14,St Kilda,7,L,29,7,5.0,6,13,,,,1.0,5.0,,,,,,,5,9,,,2.0,,,87,2021-04-12
Hawthorn,2021,15,West Coast,8,L,29,12,7.0,13,25,,,,2.0,4.0,,2.0,4.0,1.0,,,7,21,,,5.0,2.0,,80,2021-04-19
Hawthorn,2021,16,North Melbourne,9,L,29,8,4.0,9,17,,,,1.0,1.0,2.0,,3.0,,,,6,12,1.0,,3.0,,,69,2021-04-26
Hawthorn,2021,17,Carlton,10,L,29,6,4.0,10,16,,,,3.0,2.0,1.0,2.0,5.0,1.0,2.0,,7,10,,,2.0,,,84,2021-05-03
Hawthorn,2021,18,Gold Coast,11,L,29,8,5.0,10,18,,,,2.0,1.0,2.0,2.0,,1.0,,,6,12,,,3.0,1.0,,84,2021-05-10
Hawthorn,2021,19,Sydney,13,W,29,14,4.0,14,28,,,,2.0,3.0,5.0,,3.0,4.0,1.0,2.0,9,20,,,9.0,1.0,,86,2021-05-24
Hawthorn,2021,20,Essendon,14,L,29,6,5.0,13,19,,,,,2.0,,2.0,1.0,,,,7,14,,,4.0,,,76,2021-05-31
Hawthorn,2021,21,Greater Western Sydney,15,W,29,14,8.0,8,22,,,,,5.0,4.0,,4.0,,2.0,,6,17,1.0,,5.0,1.0,,77,2021-06-07
Hawthorn,2021,22,Port Adelaide,16,L,29,7,2.0,8,15,,1.0,,3.0,1.0,3.0,,3.0,1.0,3.0,,3,14,,,7.0,,1.0,83,2021-06-14
Hawthorn,2021,23,Fremantle,17,L,29,12,7.0,6,18,,,,4.0,6.0,2.0,,3.0,2.0,2.0,,7,11,2.0,,6.0,,,58,2021-06-21
Hawthorn,2022,24,North Melbourne,1,W,9,9,5.0,15,24,,,,1.0,4.0,3.0,1.0,1.0,,1.0,3.0,7,18,1.0,,7.0,1.0,1.0,70,2022-03-01
Hawthorn,2022,25,Port Adelaide,2,W,9,5,1.0,6,11,,,,2.0,,,,2.0,,,,4,4,,,2.0,1.0,,78,2022-03-08
Hawthorn,2022,26,Carlton,3,L,9,20,8.0,7,27,,,,3.0,11.0,1.0,,3.0,3.0,1.0,,8,18,2.0,,2.0,5.0,,83,2022-03-15
Hawthorn,2022,27,St Kilda,4,L,9,13,4.0,9,22,,,,,3.0,2.0,,7.0,,3.0,,4,21,,,3.0,,,83,2022-03-22
Hawthorn,2022,28,Geelong,5,W,9,9,4.0,10,19,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,8,11,1.0,,4.0,1.0,,88,2022-03-29
Hawthorn,2022,29,Brisbane Lions,10,W,9,9,4.0,3,12,,,,4.0,4.0,1.0,,6.0,,2.0,,4,7,,,2.0,1.0,1.0,82,2022-05-03
Hawthorn,2022,30,Gold Coast,11,L,9,4,3.0,9,13,,,,6.0,1.0,,,,,,,7,7,,,2.0,2.0,,81,2022-05-10
Hawthorn,2022,31,Collingwood,12,L,9,7,3.0,10,17,1.0,,,3.0,3.0,2.0,,3.0,,2.0,,5,12,,,7.0,1.0,,86,2022-05-17
Hawthorn,2022,32,Fremantle,13,L,9,9,3.0,6,15,,,,,3.0,1.0,1.0,3.0,1.0,2.0,,8,9,1.0,,4.0,1.0,,82,2022-05-24
Hawthorn,2022,33,Western Bulldogs,15,L,9,10,6.0,6,16,,1.0,,1.0,,3.0,,5.0,,1.0,,4,14,,,,4.0,,78,2022-06-07
Hawthorn,2022,34,Greater Western Sydney,16,L,9,13,3.0,3,16,,,,2.0,3.0,4.0,1.0,2.0,2.0,,,7,6,1.0,,4.0,,,80,2022-06-14
Hawthorn,2022,35,Adelaide,17,W,9,14,8.0,10,24,,,,1.0,4.0,3.0,,4.0,2.0,,3.0,4,22,,,1.0,5.0,,82,2022-06-21
Hawthorn,2022,36,West Coast,18,W,9,12,6.0,12,24,,,,1.0,2.0,3.0,1.0,5.0,,1.0,,8,18,1.0,,,,,89,2022-06-28
Hawthorn,2022,37,St Kilda,20,L,9,7,5.0,7,14,,1.0,,4.0,4.0,,,2.0,1.0,1.0,,3,11,2.0,1.0,3.0,1.0,,83,2022-07-12
Hawthorn,2023,38,Essendon,1,L,9,11,3.0,8,19,1.0,,,,2.0,3.0,,5.0,,2.0,,4,14,,,4.0,4.0,,76,2023-03-01
Hawthorn,2023,39,Sydney,2,L,9,10,4.0,7,17,,,,2.0,1.0,1.0,1.0,4.0,,2.0,,5,9,1.0,,5.0,,,84,2023-03-08
Hawthorn,2023,40,North Melbourne,3,W,9,12,5.0,9,21,,,,,2.0,2.0,1.0,3.0,1.0,,,6,15,,,4.0,,,77,2023-03-15
Hawthorn,2023,41,Geelong,4,L,9,7,4.0,9,16,,,,,2.0,1.0,1.0,4.0,1.0,2.0,,6,9,,,2.0,,,75,2023-03-22
Hawthorn,2023,42,Greater Western Sydney,5,L,9,7,2.0,4,11,,,,2.0,2.0,2.0,,3.0,,1.0,,3,9,,,2.0,,1.0,81,2023-03-29
