team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
West Coast,2024,1↑,Essendon,9,L,24,2,,2,4,,,,,,,,1.0,,,,3,1.0,,,,,,25,2024-04-26
West Coast,2024,2↑,Collingwood,10,L,24,3,3.0,5,8,,,,,,2.0,,,,,,2,6.0,,,1.0,,,55,2024-05-03
West Coast,2024,3,Gold Coast,22,W,24,7,3.0,6,13,,,,,,2.0,1.0,1.0,,,,3,10.0,,,,,,84,2024-07-26
West Coast,2024,4,North Melbourne,23,W,24,4,1.0,5,9,,,,1.0,1.0,1.0,2.0,3.0,,2.0,,2,8.0,,,,1.0,,72,2024-08-02
West Coast,2024,5,Carlton,24,L,24,4,2.0,5,9,,,,2.0,2.0,1.0,1.0,1.0,,,,4,5.0,1.0,,3.0,,,81,2024-08-09
West Coast,2024,6,Geelong,25,L,24,6,4.0,2,8,,,,,2.0,1.0,,,,,,2,6.0,1.0,,1.0,,,77,2024-08-16
West Coast,2026,7,Melbourne,10,L,24,3,2.0,3,6,,,,4.0,,1.0,,3.0,,1.0,,3,3.0,,,,,,79,2026-05-03
West Coast,2026,8,Greater Western Sydney,11,W,24,1,,5,6,1.0,,,2.0,,,,1.0,1.0,,,6,,,,,,,71,2026-05-10
West Coast,2026,9,Collingwood,12,L,24,9,4.0,4,13,1.0,1.0,,1.0,,1.0,,4.0,,1.0,,3,11.0,,1.0,,,,64,2026-05-17
West Coast,2026,10,Essendon,13,W,24,5,4.0,3,8,1.0,,,2.0,,1.0,,,1.0,,,1,7.0,,1.0,,,2.0,76,2026-05-24
West Coast,2026,11,Port Adelaide,14,L,24,3,3.0,5,8,,,,1.0,,,1.0,1.0,,,,2,6.0,,,,,1.0,78,2026-05-31
West Coast,2026,12,North Melbourne,15,L,24,4,2,1,5,,,,3,,2,,1,2,1,,2,3,,,1,,,75,2026-06-07
