team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2023,1,Brisbane Lions,3,W,32,3.0,,2.0,5.0,,1.0,,1.0,,,,,,,,4.0,2.0,,,,,,69,2023-03-15
Western Bulldogs,2023,2,Richmond,4,W,32,5.0,2.0,4.0,9.0,,,,2.0,,3.0,,4.0,1.0,1.0,,4.0,6.0,,,2.0,,,79,2023-03-22
Western Bulldogs,2023,3,Port Adelaide,5,L,32,4.0,1.0,1.0,5.0,,,,4.0,,,,2.0,2.0,1.0,,,5.0,,,1.0,,,75,2023-03-29
Western Bulldogs,2023,4,Fremantle,6,W,32,5.0,,4.0,9.0,,1.0,,2.0,,3.0,,1.0,1.0,,,4.0,5.0,,,,4.0,,77,2023-04-05
Western Bulldogs,2023,5,Hawthorn,7,W,32,5.0,3.0,7.0,12.0,1.0,1.0,,1.0,1.0,4.0,1.0,2.0,1.0,,,2.0,10.0,,2.0,2.0,,,79,2023-04-12
Western Bulldogs,2023,6,Greater Western Sydney,8,W,32,5.0,1.0,7.0,12.0,2.0,,,2.0,,3.0,1.0,2.0,,1.0,,7.0,6.0,1.0,1.0,,,1.0,78,2023-04-19
Western Bulldogs,2023,7,Carlton,9,W,32,5.0,4.0,9.0,14.0,1.0,1.0,,5.0,,,,2.0,2.0,2.0,,7.0,9.0,,1.0,2.0,,2.0,74,2023-04-26
Western Bulldogs,2023,8,Adelaide,10,W,32,4.0,,2.0,6.0,,2.0,,3.0,,3.0,1.0,3.0,,2.0,,5.0,3.0,,,2.0,,,69,2023-05-03
Western Bulldogs,2023,9,Gold Coast,11,L,32,3.0,2.0,10.0,13.0,,1.0,,4.0,,,,3.0,,2.0,,3.0,10.0,,,1.0,1.0,1.0,77,2023-05-10
Western Bulldogs,2023,10,Geelong,12,L,32,3.0,2.0,4.0,7.0,,,,2.0,,1.0,,2.0,1.0,2.0,,3.0,5.0,,,,1.0,,78,2023-05-17
Western Bulldogs,2023,11,Port Adelaide,13,L,32,,,,,,,,6.0,,,,1.0,,1.0,,,,,,,,,68,2023-05-24
Western Bulldogs,2023,12↑,Richmond,21,W,32,2.0,1.0,2.0,4.0,,,,,,1.0,,2.0,,1.0,,2.0,2.0,,,,,,25,2023-07-19
Western Bulldogs,2023,13,Hawthorn,22,L,32,3.0,1.0,,3.0,,1.0,,3.0,,2.0,,,1.0,,,1.0,2.0,,,,,,61,2023-07-26
Western Bulldogs,2024,14↑,Greater Western Sydney,25,W,32,5.0,4.0,3.0,8.0,1.0,1.0,,,,4.0,,2.0,1.0,1.0,,4.0,5.0,1.0,,1.0,,1.0,67,2024-08-16
Western Bulldogs,2025,15↑,North Melbourne,2,W,32,1.0,,1.0,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,23,2025-03-08
Western Bulldogs,2025,16↓,Collingwood,3,L,32,2.0,1.0,5.0,7.0,,,,3.0,,,,1.0,,,,2.0,5.0,,,,,,61,2025-03-15
Western Bulldogs,2025,17↓,Essendon,11,W,32,,,3.0,3.0,,,,2.0,,1.0,1.0,1.0,,1.0,,2.0,2.0,,,,,,21,2025-05-10
Western Bulldogs,2025,18↑,Fremantle,25,L,32,3.0,2.0,3.0,6.0,2.0,,,,,,1.0,,,,,4.0,2.0,1.0,1.0,,,,42,2025-08-16
Western Bulldogs,2026,19,Brisbane Lions,1,W,32,2.0,1.0,5.0,7.0,,,,3.0,,1.0,,1.0,,,,1.0,6.0,,,,,1.0,51,2026-03-01
Western Bulldogs,2026,20,Essendon,5,W,32,6.0,4.0,4.0,10.0,3.0,1.0,,1.0,,2.0,,1.0,1.0,,,3.0,7.0,1.0,3.0,,,,55,2026-03-29
Western Bulldogs,2026,21,Fremantle,9,L,32,6.0,3.0,9.0,15.0,1.0,2.0,,1.0,,2.0,,1.0,3.0,1.0,,7.0,9.0,1.0,1.0,,,2.0,78,2026-04-26
Western Bulldogs,2026,22,Port Adelaide,10,W,32,5.0,5.0,11.0,16.0,1.0,2.0,,2.0,,3.0,,5.0,,2.0,,5.0,12.0,2.0,2.0,,1.0,,74,2026-05-03
Western Bulldogs,2026,23,Carlton,11,L,32,6.0,3.0,9.0,15.0,,1.0,,2.0,,4.0,2.0,5.0,2.0,2.0,,7.0,8.0,,1.0,,,,79,2026-05-10
Western Bulldogs,2026,24,Melbourne,12,W,32,9.0,4.0,3.0,12.0,2.0,2.0,,,,1.0,1.0,4.0,1.0,3.0,,5.0,8.0,2.0,2.0,,,,74,2026-05-17
Western Bulldogs,2026,25,Collingwood,13,W,32,5.0,4.0,7.0,12.0,1.0,,,2.0,,2.0,,3.0,,2.0,,5.0,7.0,,2.0,,,3.0,67,2026-05-24
Western Bulldogs,2026,26,Hawthorn,14,W,32,10.0,3.0,8.0,18.0,1.0,,,1.0,1.0,3.0,,6.0,1.0,,,7.0,11.0,,,2.0,2.0,,84,2026-05-31
Western Bulldogs,2026,27,Adelaide,15,L,32,4.0,3.0,3.0,7.0,2.0,,,4.0,,2.0,,1.0,2.0,1.0,,3.0,4.0,1.0,,2.0,,,73,2026-06-07
Western Bulldogs,2026,28,St Kilda,16,W,32,6.0,3.0,5.0,11.0,1.0,1.0,,2.0,,3.0,,,3.0,,,6.0,7.0,,1.0,3.0,,,68,2026-06-14
Western Bulldogs,2026,29,Sydney,18,L,32,7,4,3,10,2,2,,2,,2,,,1,,,4,6,,1,1,1,1,76,2026-06-28
