team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Greater Western Sydney,2024,1,Brisbane Lions,8,W,2,10,4.0,5.0,15,2.0,1.0,,2,1.0,4,1.0,2.0,,1.0,,4,12,,1.0,1.0,1.0,1.0,86,2024-04-19
Greater Western Sydney,2024,2,Sydney,9,L,2,8,3.0,6.0,14,1.0,1.0,,1,2.0,1,,2.0,,,,4,11,,2.0,4.0,,,83,2024-04-26
Greater Western Sydney,2024,3,Essendon,10,L,2,4,2.0,2.0,6,1.0,,,2,,1,,1.0,,1.0,,5,2,,,,,,74,2024-05-03
Greater Western Sydney,2024,4↓,Western Bulldogs,11,L,2,3,,,3,,,,1,,1,,1.0,,,,2,1,,,,,,11,2024-05-10
Greater Western Sydney,2024,5,Carlton,18,W,2,9,4.0,9.0,18,1.0,,,2,,4,,2.0,,,,7,11,,1.0,1.0,,2.0,82,2024-06-28
Greater Western Sydney,2024,6,Richmond,19,W,2,6,,5.0,11,1.0,,,4,,3,,,,,,5,6,,,2.0,,,75,2024-07-05
Greater Western Sydney,2024,7,Gold Coast,20,W,2,7,,11.0,18,1.0,1.0,,3,,5,,3.0,,,,8,9,,,1.0,1.0,2.0,77,2024-07-12
Greater Western Sydney,2024,8,Melbourne,21,W,2,6,1.0,6.0,12,,,,1,,2,,3.0,1.0,1.0,,5,6,,,1.0,,,78,2024-07-19
Greater Western Sydney,2024,9,Hawthorn,22,W,2,12,6.0,4.0,16,1.0,2.0,,7,1.0,4,2.0,2.0,,,,4,12,,3.0,,2.0,1.0,82,2024-07-26
Greater Western Sydney,2024,10,Brisbane Lions,23,W,2,8,1.0,10.0,18,2.0,,,2,,5,1.0,4.0,,1.0,1.0,5,13,,,,1.0,,79,2024-08-02
Greater Western Sydney,2024,11,Fremantle,24,W,2,8,1.0,10.0,18,1.0,,,7,,3,1.0,3.0,2.0,,,8,10,,,1.0,,,80,2024-08-09
Greater Western Sydney,2024,12,Western Bulldogs,25,L,2,2,,5.0,7,,,,3,2.0,3,2.0,5.0,,2.0,,5,4,,,1.0,,,78,2024-08-16
Greater Western Sydney,2024,13,Sydney,QF,L,2,9,2.0,7.0,16,1.0,1.0,,4,1.0,4,,2.0,,,,6,10,,,2.0,,2.0,70,2024-03-01
Greater Western Sydney,2024,14,Brisbane Lions,SF,L,2,3,,4.0,7,,,,6,1.0,2,1.0,3.0,2.0,1.0,,6,2,,,,,,64,2024-03-01
Greater Western Sydney,2025,15,Collingwood,1,W,2,9,2.0,6.0,15,2.0,1.0,,1,1.0,3,1.0,,,,,7,8,,,1.0,3.0,,79,2025-03-01
Greater Western Sydney,2025,16,Melbourne,2,W,2,6,1.0,6.0,12,,,,4,2.0,4,1.0,6.0,1.0,2.0,,6,5,1.0,,1.0,,,83,2025-03-08
Greater Western Sydney,2025,17,Hawthorn,4,L,2,5,2.0,5.0,10,,,,2,,1,,3.0,,1.0,,5,6,,,,,2.0,77,2025-03-22
Greater Western Sydney,2025,18,West Coast,5,W,2,16,6.0,8.0,24,2.0,,,7,4.0,6,1.0,1.0,1.0,,,6,17,,2.0,1.0,,1.0,83,2025-03-29
Greater Western Sydney,2025,19,St Kilda,6,W,2,7,2.0,6.0,13,1.0,,,4,,3,,1.0,1.0,,,4,9,,,1.0,,1.0,81,2025-04-05
Greater Western Sydney,2025,20,Adelaide,7,L,2,8,1.0,3.0,11,1.0,,,4,,4,1.0,1.0,2.0,,,5,6,,,1.0,,,88,2025-04-12
Greater Western Sydney,2025,21,Western Bulldogs,8,L,2,11,3.0,6.0,17,,,,2,1.0,5,,2.0,,,,5,12,,,1.0,2.0,2.0,90,2025-04-19
Greater Western Sydney,2025,22,Sydney,9,L,2,6,2.0,4.0,10,1.0,3.0,,3,,3,2.0,1.0,,,,6,4,,2.0,,,,78,2025-04-26
Greater Western Sydney,2025,23,Fremantle,11,L,2,10,1.0,7.0,17,2.0,1.0,,2,,1,1.0,2.0,1.0,,,8,10,,1.0,,,,82,2025-05-10
Greater Western Sydney,2025,24,Carlton,12,W,2,8,3.0,8.0,16,,1.0,,7,,1,2.0,1.0,1.0,,,7,9,,,3.0,1.0,1.0,91,2025-05-17
Greater Western Sydney,2025,25,Richmond,13,W,2,5,1.0,12.0,17,,1.0,,3,,3,4.0,5.0,,,,11,7,,,,,,90,2025-05-24
Greater Western Sydney,2025,26,Port Adelaide,14,L,2,5,2.0,4.0,9,1.0,,,4,,2,1.0,2.0,1.0,,,2,6,,1.0,1.0,,,89,2025-05-31
Greater Western Sydney,2025,27,Brisbane Lions,15,W,2,9,1.0,11.0,20,1.0,2.0,,5,1.0,4,3.0,2.0,,,,7,13,,,1.0,1.0,2.0,88,2025-06-07
Greater Western Sydney,2025,28,Gold Coast,16,W,2,3,,6.0,9,,,,3,,2,2.0,5.0,,1.0,,5,3,,,,1.0,,87,2025-06-14
Greater Western Sydney,2025,29,West Coast,18,W,2,11,3.0,6.0,17,2.0,2.0,,4,,6,1.0,3.0,1.0,,,8,10,,,,,,82,2025-06-28
Greater Western Sydney,2025,30,Geelong,19,W,2,10,3.0,5.0,15,1.0,,,6,1.0,3,1.0,3.0,2.0,,,7,8,,,1.0,2.0,,83,2025-07-05
Greater Western Sydney,2025,31,Essendon,20,W,2,7,1.0,6.0,13,1.0,,,2,,5,1.0,3.0,1.0,,,8,7,,1.0,1.0,1.0,2.0,83,2025-07-12
Greater Western Sydney,2025,32,Sydney,21,W,2,4,2.0,8.0,12,,,,1,,2,2.0,,1.0,,,8,4,1.0,,,,,79,2025-07-19
Greater Western Sydney,2025,33,Western Bulldogs,22,L,2,4,2.0,4.0,8,,,,3,1.0,1,1.0,2.0,,1.0,,6,4,1.0,,3.0,,1.0,88,2025-07-26
Greater Western Sydney,2025,34,North Melbourne,23,W,2,6,5.0,12.0,18,,1.0,,2,1.0,3,,4.0,,,,3,15,,,2.0,,,89,2025-08-02
Greater Western Sydney,2025,35,Gold Coast,24,W,2,8,1,10,18,1,,,4,,3,2,4,2,,,8,10,,,,1,1,83,2025-08-09
