team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2021,1,Hawthorn,1,L,23,9,5.0,4.0,13,,3.0,,2.0,,,,2.0,2.0,,,4,9.0,,3.0,3.0,,,68,2021-03-01
Essendon,2021,2,Port Adelaide,2,L,23,2,1.0,2.0,4,,,2.0,,,2.0,,3.0,,1.0,,2,2.0,,,2.0,,,79,2021-03-08
Essendon,2021,3,St Kilda,3,W,23,6,5.0,3.0,9,2.0,,,2.0,,,,3.0,2.0,1.0,,6,4.0,1.0,2.0,1.0,,1.0,76,2021-03-15
Essendon,2021,4,Sydney,4,L,23,5,3.0,1.0,6,1.0,,,2.0,,1.0,,,,,,2,4.0,1.0,1.0,,,,67,2021-03-22
Essendon,2021,5,Brisbane Lions,5,L,23,2,,5.0,7,,,,1.0,,1.0,,,1.0,,,3,4.0,,,,,,70,2021-03-29
Essendon,2021,6,Collingwood,6,W,23,4,4.0,2.0,6,,1.0,,2.0,,2.0,,1.0,,1.0,,2,5.0,1.0,1.0,1.0,,1.0,68,2021-04-05
Essendon,2021,7,Carlton,7,L,23,7,8.0,3.0,10,3.0,,,2.0,,4.0,,2.0,,1.0,,7,4.0,5.0,4.0,1.0,,,74,2021-04-12
Essendon,2021,8,Greater Western Sydney,8,L,23,6,5.0,2.0,8,2.0,,,1.0,,3.0,,,,,,1,7.0,1.0,2.0,2.0,,,80,2021-04-19
Essendon,2021,9,Fremantle,9,W,23,5,2.0,1.0,6,2.0,,,3.0,,2.0,,1.0,,,,2,3.0,,2.0,,,1.0,79,2021-04-26
Essendon,2021,10,North Melbourne,10,W,23,5,3.0,1.0,6,3.0,,,,,,,1.0,,1.0,,1,5.0,,2.0,1.0,,,80,2021-05-03
Essendon,2021,11,West Coast,11,W,23,6,5.0,4.0,10,1.0,,,,,2.0,1.0,,,,,5,6.0,,2.0,4.0,,1.0,81,2021-05-10
Essendon,2021,12,Richmond,12,L,23,2,2.0,2.0,4,,1.0,,,,,,,,,,1,3.0,1.0,1.0,,,1.0,84,2021-05-17
Essendon,2021,13,Hawthorn,14,W,23,10,8.0,4.0,14,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,10,4.0,5.0,3.0,2.0,,,90,2021-05-31
Essendon,2021,14,Melbourne,15,L,23,3,1.0,1.0,4,2.0,,,,,1.0,,1.0,,1.0,,3,1.0,,,2.0,,,87,2021-06-07
Essendon,2021,15,Geelong,16,L,23,2,2.0,3.0,5,1.0,,,4.0,,,,,1.0,,,5,,2.0,,1.0,,1.0,80,2021-06-14
Essendon,2021,16,Adelaide,17,W,23,3,3.0,2.0,5,1.0,,1.0,1.0,,1.0,,,,,,1,4.0,,1.0,1.0,,1.0,81,2021-06-21
Essendon,2022,17,Port Adelaide,11,L,23,5,3.0,3.0,8,1.0,1.0,,,,1.0,,1.0,1.0,,,4,4.0,,2.0,3.0,,,90,2022-05-10
Essendon,2022,18,Carlton,13,L,23,5,1.0,5.0,10,2.0,1.0,,2.0,,,,3.0,1.0,,,5,5.0,1.0,1.0,1.0,,,84,2022-05-24
Essendon,2022,19,St Kilda,14,W,23,5,3.0,3.0,8,2.0,1.0,,2.0,,3.0,1.0,1.0,,,,5,4.0,,1.0,1.0,,,78,2022-05-31
Essendon,2022,20,West Coast,15,L,23,4,2.0,5.0,9,2.0,,,2.0,,2.0,,2.0,,,,6,3.0,2.0,1.0,3.0,,1.0,84,2022-06-07
Essendon,2022,21,Sydney,16,W,23,3,2.0,2.0,5,1.0,,,1.0,,1.0,,2.0,,1.0,,2,3.0,,2.0,2.0,,,77,2022-06-14
Essendon,2022,22,Brisbane Lions,17,W,23,5,5.0,3.0,8,,1.0,,2.0,,1.0,,1.0,,,,3,5.0,1.0,2.0,,,,83,2022-06-21
Essendon,2022,23,Gold Coast,18,W,23,6,4.0,2.0,8,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,6,2.0,2.0,3.0,,,,83,2022-06-28
Essendon,2022,24,Collingwood,19,L,23,4,4.0,4.0,8,1.0,1.0,,2.0,,,,1.0,2.0,,,4,4.0,2.0,1.0,1.0,,,90,2022-07-05
Essendon,2022,25,North Melbourne,20,W,23,4,4.0,3.0,7,2.0,,,2.0,,1.0,,,,,,2,5.0,2.0,2.0,,,,68,2022-07-12
Essendon,2022,26,Greater Western Sydney,21,L,23,3,,2.0,5,,,,1.0,,1.0,,2.0,1.0,,,2,3.0,,,1.0,,,75,2022-07-19
