team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2021,1,Richmond,4,W,34,14.0,6.0,3.0,17.0,,,,,4.0,4.0,,3.0,2.0,1.0,,7.0,11.0,,,3.0,,,76.0,2021-03-22
Port Adelaide,2021,2,Carlton,5,W,34,6.0,2.0,11.0,17.0,,,,,4.0,1.0,,5.0,1.0,3.0,,9.0,9.0,,,3.0,,1.0,78.0,2021-03-29
Port Adelaide,2021,3,Collingwood,10,W,34,6.0,3.0,6.0,12.0,,,,1.0,1.0,1.0,,2.0,,,,6.0,6.0,,,2.0,,,79.0,2021-05-03
Port Adelaide,2021,4,Fremantle,11,W,34,10.0,6.0,8.0,18.0,,,,4.0,2.0,,1.0,2.0,,1.0,,6.0,11.0,1.0,,3.0,,,77.0,2021-05-10
Port Adelaide,2021,5,Geelong,13,L,34,5.0,3.0,3.0,8.0,1.0,,,3.0,1.0,,,3.0,1.0,1.0,,4.0,4.0,,,2.0,,1.0,82.0,2021-05-24
Port Adelaide,2021,6,Gold Coast,14,W,34,3.0,2.0,6.0,9.0,,,,1.0,,3.0,,3.0,,,,1.0,8.0,,,1.0,,,41.0,2021-05-31
Port Adelaide,2022,7,Brisbane Lions,1,L,34,7.0,3.0,5.0,12.0,,,,4.0,4.0,,1.0,3.0,1.0,2.0,,7.0,5.0,,,9.0,,,82.0,2022-03-01
Port Adelaide,2022,8,Hawthorn,2,L,34,10.0,3.0,7.0,17.0,,,,2.0,3.0,3.0,,4.0,1.0,1.0,,7.0,11.0,,,7.0,2.0,,85.0,2022-03-08
Port Adelaide,2022,9,Adelaide,3,L,34,7.0,4.0,7.0,14.0,,,,1.0,3.0,1.0,,4.0,,,,6.0,8.0,,,5.0,,,80.0,2022-03-15
Port Adelaide,2022,10,Melbourne,4,L,34,11.0,5.0,5.0,16.0,,,,3.0,7.0,,3.0,4.0,3.0,,,5.0,10.0,1.0,,5.0,,,94.0,2022-03-22
Port Adelaide,2022,11↑,West Coast,6,W,34,1.0,,3.0,4.0,,,,2.0,,1.0,,2.0,,,,2.0,2.0,,,1.0,,,34.0,2022-04-05
Port Adelaide,2022,12↑,Western Bulldogs,8,W,34,1.0,,1.0,2.0,,,,1.0,,,,,,,,,2.0,,,3.0,,,19.0,2022-04-19
Port Adelaide,2022,13,North Melbourne,9,W,34,4.0,1.0,11.0,15.0,,,,2.0,4.0,,1.0,5.0,1.0,2.0,,9.0,8.0,,,8.0,,,95.0,2022-04-26
Port Adelaide,2022,14,Geelong,10,L,34,6.0,5.0,2.0,8.0,,,,2.0,,1.0,,5.0,1.0,2.0,,1.0,7.0,,,3.0,,,86.0,2022-05-03
Port Adelaide,2022,15,Essendon,11,W,34,,,,,,,,,,,,,,,,,,,,,,,,2022-05-10
Port Adelaide,2022,16,Richmond,13,L,34,9.0,4.0,8.0,17.0,,,,2.0,,1.0,,5.0,1.0,1.0,,4.0,12.0,,,2.0,,,76.0,2022-05-24
Port Adelaide,2022,17,Sydney,14,W,34,2.0,2.0,3.0,5.0,,1.0,,3.0,,1.0,,1.0,1.0,1.0,,2.0,4.0,1.0,1.0,,,,75.0,2022-05-31
Port Adelaide,2022,18,Gold Coast,15,W,34,7.0,2.0,9.0,16.0,1.0,,,2.0,,3.0,,2.0,1.0,,,7.0,9.0,1.0,,4.0,,3.0,71.0,2022-06-07
Port Adelaide,2022,19↓,Fremantle,16,L,34,3.0,2.0,1.0,4.0,,,,1.0,,1.0,,1.0,,,,1.0,3.0,,,1.0,,1.0,47.0,2022-06-14
Port Adelaide,2022,20,Collingwood,20,L,34,5.0,5.0,6.0,11.0,,,,5.0,,3.0,1.0,5.0,,2.0,,1.0,10.0,,,4.0,,,78.0,2022-07-12
Port Adelaide,2023,21,Brisbane Lions,1,W,34,7.0,4.0,5.0,12.0,3.0,,3.0,2.0,1.0,1.0,2.0,1.0,,,,4.0,8.0,,2.0,1.0,,,70.0,2023-03-01
Port Adelaide,2023,22,Collingwood,2,L,34,3.0,3.0,2.0,5.0,,,,,1.0,1.0,,2.0,,1.0,,1.0,5.0,,,1.0,,,83.0,2023-03-08
Port Adelaide,2023,23,Adelaide,3,L,34,6.0,2.0,5.0,11.0,1.0,,,1.0,2.0,2.0,,3.0,,,,4.0,7.0,,,2.0,,,86.0,2023-03-15
Port Adelaide,2023,24,Richmond,11,W,34,6.0,2.0,6.0,12.0,,,,1.0,1.0,2.0,,3.0,2.0,,,10.0,4.0,1.0,,7.0,,,81.0,2023-05-10
Port Adelaide,2023,25,Hawthorn,12,W,34,6.0,2.0,2.0,8.0,,,,2.0,2.0,3.0,1.0,1.0,1.0,,,3.0,5.0,,,7.0,1.0,1.0,86.0,2023-05-17
Port Adelaide,2023,26,Western Bulldogs,13,W,34,10.0,6.0,9.0,19.0,,,,4.0,4.0,2.0,,3.0,1.0,,,13.0,5.0,2.0,,6.0,,1.0,87.0,2023-05-24
Port Adelaide,2023,27,Gold Coast,17,W,34,9.0,2.0,5.0,14.0,,,,1.0,4.0,1.0,,3.0,,,,5.0,9.0,,,8.0,,1.0,83.0,2023-06-21
Port Adelaide,2023,28,Carlton,18,L,34,8.0,4.0,8.0,16.0,,1.0,,3.0,2.0,4.0,1.0,2.0,,1.0,,7.0,10.0,1.0,,3.0,,,90.0,2023-06-28
Port Adelaide,2023,29,Collingwood,19,L,34,8.0,3.0,2.0,10.0,,,,1.0,2.0,1.0,,2.0,,,,2.0,8.0,1.0,,8.0,,,79.0,2023-07-05
Port Adelaide,2023,30↓,Adelaide,20,L,34,,,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,27.0,2023-07-12
Port Adelaide,2023,31,Greater Western Sydney,22,W,34,3.0,3.0,7.0,10.0,,,,,,1.0,,1.0,,,,3.0,7.0,,,5.0,,,93.0,2023-07-26
Port Adelaide,2023,32,Fremantle,23,W,34,9.0,5.0,2.0,11.0,,,,2.0,3.0,,,3.0,1.0,2.0,,4.0,8.0,1.0,,1.0,,,90.0,2023-08-02
Port Adelaide,2023,33,Richmond,24,W,34,5.0,2.0,4.0,9.0,,,,5.0,4.0,,1.0,1.0,1.0,,,4.0,6.0,,,6.0,,,78.0,2023-08-09
Port Adelaide,2023,34,Brisbane Lions,QF,L,34,7.0,4.0,7.0,14.0,,,,2.0,4.0,,,1.0,,,,8.0,5.0,1.0,,5.0,,,84.0,2023-03-01
Port Adelaide,2023,35,Greater Western Sydney,SF,L,34,7.0,3.0,1.0,8.0,,,,1.0,4.0,1.0,,4.0,,1.0,,6.0,2.0,3.0,,3.0,,,82.0,2023-03-01
Port Adelaide,2024,36,West Coast,2,W,34,6.0,5.0,6.0,12.0,,,,1.0,2.0,,1.0,,,,,4.0,8.0,,,1.0,,,86.0,2024-03-08
Port Adelaide,2024,37↓,Richmond,3,W,34,5.0,2.0,1.0,6.0,,,,2.0,1.0,,,1.0,1.0,,,1.0,4.0,,,2.0,,,43.0,2024-03-15
Port Adelaide,2024,38,Melbourne,4,L,34,8.0,2.0,6.0,14.0,,,,3.0,1.0,2.0,2.0,4.0,,,,6.0,9.0,,,4.0,,,69.0,2024-03-22
Port Adelaide,2024,39,Essendon,5,W,34,5.0,3.0,4.0,9.0,,,,1.0,1.0,2.0,1.0,2.0,1.0,,,4.0,5.0,,,5.0,,,80.0,2024-03-29
Port Adelaide,2024,40,Fremantle,6,W,34,8.0,5.0,4.0,12.0,,,,2.0,5.0,,1.0,4.0,1.0,3.0,,5.0,7.0,1.0,,1.0,,,80.0,2024-04-05
Port Adelaide,2024,41,Collingwood,7,L,34,4.0,3.0,2.0,6.0,,,,2.0,2.0,1.0,,1.0,,,,3.0,3.0,,,2.0,,,59.0,2024-04-12
Port Adelaide,2024,42,St Kilda,8,W,34,10.0,3.0,5.0,15.0,,,,3.0,3.0,1.0,1.0,2.0,2.0,,,6.0,7.0,,,3.0,,,86.0,2024-04-19
Port Adelaide,2024,43,Adelaide,9,L,34,7.0,5.0,10.0,17.0,,,,4.0,3.0,1.0,,3.0,2.0,1.0,,9.0,8.0,,,3.0,,,82.0,2024-04-26
