team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Western Bulldogs,2010,1,North Melbourne,18,W,19,5.0,5.0,5.0,10.0,1.0,2.0,,1.0,,3.0,,,,,,2.0,8.0,,2.0,,,,86,2010-06-28
Western Bulldogs,2010,2,Adelaide,19,W,19,9.0,4.0,1.0,10.0,2.0,,,4.0,,6.0,1.0,1.0,1.0,,,2.0,7.0,,,,,1.0,81,2010-07-05
Western Bulldogs,2010,3,Geelong,20,L,19,8.0,3.0,1.0,9.0,2.0,,,2.0,,4.0,,3.0,2.0,2.0,,5.0,4.0,,1.0,,,1.0,86,2010-07-12
Western Bulldogs,2010,4,Sydney,21,L,19,7.0,3.0,,7.0,1.0,,,2.0,,3.0,,3.0,3.0,2.0,,4.0,3.0,1.0,1.0,,,,85,2010-07-19
Western Bulldogs,2010,5,Essendon,22,W,19,8.0,5.0,3.0,11.0,,,,2.0,,1.0,,3.0,2.0,1.0,,4.0,6.0,1.0,,2.0,,,85,2010-07-26
Western Bulldogs,2011,6,Essendon,1,L,19,5.0,2.0,2.0,7.0,,1.0,,1.0,,3.0,,2.0,,,,6.0,2.0,,,2.0,,2.0,81,2011-03-01
Western Bulldogs,2011,7,Brisbane Lions,2,W,19,5.0,4.0,4.0,9.0,1.0,,1.0,2.0,,1.0,,3.0,,2.0,,4.0,5.0,1.0,2.0,,,,84,2011-03-08
Western Bulldogs,2011,8,Collingwood,6,L,19,8.0,5.0,4.0,12.0,1.0,2.0,4.0,,,3.0,,3.0,,1.0,,9.0,3.0,4.0,4.0,1.0,,2.0,89,2011-04-05
Western Bulldogs,2011,9,Sydney,7,L,19,9.0,4.0,4.0,13.0,1.0,,1.0,1.0,,5.0,,4.0,2.0,,,4.0,9.0,1.0,1.0,,,,88,2011-04-12
Western Bulldogs,2011,10,Richmond,8,W,19,8.0,9.0,2.0,10.0,2.0,,1.0,2.0,,2.0,,1.0,,,,5.0,5.0,5.0,2.0,,,,82,2011-04-19
