team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Sydney,2014,1↑,Richmond,14,W,10,2,1.0,7.0,9,,,,6.0,,,2.0,,,,,4.0,5,,,2.0,,,37,2014-05-31
Sydney,2014,2,Greater Western Sydney,15,W,10,6,1.0,7.0,13,1.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,5.0,8,,,3.0,,,80,2014-06-07
Sydney,2014,3↓,West Coast,16,W,10,1,,1.0,2,,,,,,,,,1.0,,,1.0,1,,,,,,11,2014-06-14
Sydney,2014,4↑,Richmond,23,L,10,2,1.0,3.0,5,,,,,,1.0,1.0,1.0,1.0,,,2.0,3,,,,,,30,2014-08-02
Sydney,2015,5↑,Richmond,13,L,10,3,2.0,3.0,6,,,,1.0,1.0,1.0,,3.0,,1.0,,1.0,5,,,1.0,,,17,2015-05-24
Sydney,2015,6,Port Adelaide,14,W,10,8,3.0,6.0,14,,,,1.0,3.0,,,1.0,1.0,,,7.0,7,,,1.0,,,74,2015-05-31
Sydney,2015,7,Brisbane Lions,15,W,10,7,3.0,7.0,14,,,,3.0,3.0,2.0,,2.0,,,,4.0,10,,,1.0,,,77,2015-06-07
Sydney,2015,8↑,Hawthorn,16,L,10,3,1.0,6.0,9,,,,3.0,1.0,2.0,1.0,3.0,,2.0,,2.0,6,,,,,1.0,61,2015-06-14
Sydney,2015,9,West Coast,17,L,10,6,3.0,2.0,8,,,,5.0,1.0,3.0,,1.0,1.0,1.0,,2.0,6,,,1.0,,1.0,68,2015-06-21
Sydney,2015,10↑,Geelong,19,L,10,3,,4.0,7,,,,1.0,2.0,,,,,,,1.0,5,,,1.0,,,33,2015-07-05
Sydney,2015,11,Greater Western Sydney,21,W,10,12,,3.0,15,,,,3.0,3.0,4.0,1.0,3.0,,,,6.0,10,,,1.0,,,84,2015-07-19
Sydney,2015,12,St Kilda,22,W,10,12,5.0,6.0,18,,,,2.0,6.0,3.0,,1.0,,,,6.0,12,,,4.0,,,84,2015-07-26
Sydney,2015,13,Gold Coast,23,W,10,10,2.0,3.0,13,,,,2.0,4.0,3.0,,1.0,1.0,,,4.0,11,,,2.0,,,83,2015-08-02
Sydney,2015,14↑,Fremantle,QF,L,10,3,,7.0,10,,,,4.0,2.0,1.0,1.0,1.0,1.0,,,5.0,5,,,,,1.0,55,2015-03-01
Sydney,2015,15↑,North Melbourne,SF,L,10,2,1.0,2.0,4,,,,2.0,1.0,,1.0,,,,,1.0,4,,,,,,29,2015-03-01
Sydney,2016,16,Collingwood,1,W,10,10,3.0,7.0,17,1.0,,,1.0,1.0,3.0,2.0,4.0,1.0,1.0,,7.0,11,,,,,,77,2016-03-01
Sydney,2016,17,Carlton,2,W,10,8,2.0,2.0,10,,,,3.0,3.0,2.0,,5.0,,3.0,,2.0,8,,,1.0,2.0,1.0,80,2016-03-08
Sydney,2016,18,Greater Western Sydney,3,W,10,7,2.0,2.0,9,,,,,3.0,,1.0,3.0,1.0,2.0,,2.0,7,,,1.0,,,68,2016-03-15
Sydney,2016,19,Brisbane Lions,6,W,10,8,2.0,5.0,13,,,,1.0,3.0,,1.0,2.0,,,,2.0,10,,,5.0,,,80,2016-04-05
