team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Collingwood,2020,1,Fremantle,9,L,47,5,1.0,2.0,7,,,,2.0,1.0,1.0,,2.0,,1.0,,1,6,,,6,,,79,2020-04-26
Collingwood,2021,2,West Coast,5,L,11,6,4.0,3.0,9,,,,,2.0,,1.0,1.0,,1.0,,2,7,1.0,,3,,,96,2021-03-29
Collingwood,2021,3,Gold Coast,7,L,11,9,7.0,4.0,13,,,,,,2.0,,3.0,,2.0,,5,7,3.0,,1,,,87,2021-04-12
Collingwood,2021,4,North Melbourne,8,W,11,6,5.0,15.0,21,,1.0,,1.0,3.0,1.0,,5.0,,1.0,,8,13,,1.0,3,,,79,2021-04-19
Collingwood,2021,5,Sydney,9,L,11,10,7.0,3.0,13,,,,,1.0,2.0,1.0,6.0,,3.0,,3,11,,,2,,,82,2021-04-26
Adelaide,2023,6,Port Adelaide,20,W,48,9,7.0,4.0,13,,,,,4.0,1.0,,3.0,1.0,2.0,,6,7,4.0,,8,,,96,2023-07-12
Adelaide,2023,7,Gold Coast,21,W,48,11,6.0,4.0,15,,,,,4.0,2.0,,4.0,1.0,1.0,,5,8,1.0,,2,1.0,,98,2023-07-19
Adelaide,2023,8,Brisbane Lions,22,L,48,7,3.0,5.0,12,,,,3.0,3.0,,,3.0,,2.0,,6,4,1.0,,6,,,90,2023-07-26
Adelaide,2023,9,Sydney,23,L,48,9,3.0,5.0,14,,,,,3.0,1.0,,3.0,2.0,2.0,,5,10,,,8,,,88,2023-08-02
Adelaide,2023,10,West Coast,24,W,48,10,10.0,3.0,13,,,,,2.0,1.0,,6.0,,2.0,,5,8,2.0,,3,1.0,,94,2023-08-09
Adelaide,2024,11,Geelong,3,L,48,11,6.0,1.0,12,,,,1.0,4.0,2.0,,2.0,,1.0,,4,7,1.0,,5,,,93,2024-03-15
Adelaide,2024,12,Fremantle,4,L,48,19,11.0,7.0,26,,,,,5.0,,,2.0,1.0,2.0,,3,18,,,3,,,97,2024-03-22
Adelaide,2024,13,Melbourne,5,L,48,18,10.0,5.0,23,,,,2.0,5.0,2.0,,6.0,2.0,2.0,,7,13,1.0,,6,,,95,2024-03-29
