team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Adelaide,2017,1,Geelong,18,W,42,6.0,3.0,,6.0,,,,3.0,2.0,1.0,,1.0,2.0,1.0,,4.0,2.0,1.0,,12.0,,,76,2017-06-28
Adelaide,2017,2,Collingwood,19,D,42,7.0,4.0,3.0,10.0,,,,2.0,5.0,1.0,1.0,5.0,,2.0,,4.0,6.0,1.0,,7.0,,,87,2017-07-05
Adelaide,2017,3,Port Adelaide,20,W,42,5.0,3.0,6.0,11.0,,,,1.0,,3.0,,6.0,1.0,5.0,,5.0,8.0,1.0,,1.0,,,88,2017-07-12
Adelaide,2017,4,Essendon,21,W,42,8.0,11.0,10.0,18.0,,,,2.0,,1.0,,1.0,,1.0,,5.0,14.0,1.0,,7.0,1.0,,86,2017-07-19
Adelaide,2017,5,Sydney,22,L,42,5.0,2.0,7.0,12.0,,,,5.0,1.0,,,,2.0,,,9.0,4.0,,,6.0,,,86,2017-07-26
Adelaide,2017,6,West Coast,23,L,42,5.0,4.0,2.0,7.0,,,,,,,,3.0,,3.0,,2.0,5.0,,,5.0,,,77,2017-08-02
Adelaide,2018,7,Geelong,17,W,42,9.0,5.0,3.0,12.0,,,,,1.0,3.0,,5.0,,2.0,,4.0,8.0,2.0,,7.0,,,81,2018-06-21
Adelaide,2018,8,Brisbane Lions,18,W,42,10.0,5.0,2.0,12.0,,,,,7.0,1.0,,1.0,,1.0,,3.0,8.0,2.0,,4.0,,,91,2018-06-28
Adelaide,2018,9,Melbourne,19,L,42,10.0,5.0,5.0,15.0,,,,2.0,1.0,2.0,,1.0,,,,8.0,10.0,1.0,,6.0,,,92,2018-07-05
Adelaide,2018,10,Port Adelaide,20,W,42,6.0,3.0,12.0,18.0,,,,2.0,,1.0,,1.0,1.0,,,10.0,10.0,1.0,,2.0,,,94,2018-07-12
Adelaide,2018,11,Greater Western Sydney,21,L,42,6.0,2.0,5.0,11.0,,,,2.0,2.0,1.0,2.0,3.0,,1.0,,9.0,2.0,1.0,,9.0,,,92,2018-07-19
Adelaide,2018,12,Carlton,23,W,42,15.0,7.0,4.0,19.0,,,,3.0,7.0,1.0,1.0,1.0,1.0,,,8.0,10.0,2.0,,3.0,,,83,2018-08-02
Adelaide,2019,13,Hawthorn,1,L,42,13.0,6.0,7.0,20.0,,,,2.0,4.0,2.0,1.0,7.0,1.0,1.0,,13.0,9.0,3.0,,5.0,,,94,2019-03-01
Adelaide,2019,14,Sydney,2,W,42,7.0,1.0,8.0,15.0,,,,2.0,3.0,2.0,,4.0,,3.0,,4.0,10.0,1.0,,6.0,,,90,2019-03-08
Adelaide,2019,15,Geelong,3,L,42,17.0,8.0,2.0,19.0,,,,2.0,3.0,3.0,,2.0,1.0,,,5.0,12.0,2.0,,5.0,,,96,2019-03-15
Adelaide,2019,16,North Melbourne,4,L,42,16.0,14.0,4.0,20.0,,,,1.0,5.0,,,5.0,1.0,3.0,,8.0,13.0,2.0,,7.0,,,87,2019-03-22
Adelaide,2019,17,Gold Coast,5,W,42,8.0,6.0,10.0,18.0,,,,3.0,2.0,,,1.0,1.0,1.0,,9.0,9.0,1.0,,4.0,,,85,2019-03-29
Adelaide,2019,18,St Kilda,6,W,42,18.0,14.0,3.0,21.0,,,,,4.0,2.0,,1.0,1.0,,3.0,5.0,16.0,2.0,,3.0,,,85,2019-04-05
Adelaide,2019,19,Fremantle,7,W,42,10.0,3.0,8.0,18.0,1.0,,,,4.0,1.0,,1.0,1.0,1.0,,4.0,12.0,,,7.0,,,88,2019-04-12
Adelaide,2019,20,Port Adelaide,8,W,42,15.0,5.0,11.0,26.0,,,,2.0,7.0,1.0,,1.0,1.0,,3.0,14.0,11.0,1.0,,6.0,,,92,2019-04-19
Adelaide,2019,21,Brisbane Lions,9,L,42,9.0,4.0,4.0,13.0,,,,1.0,2.0,1.0,,2.0,,,,7.0,7.0,1.0,,4.0,,,81,2019-04-26
Adelaide,2019,22,West Coast,10,L,42,7.0,2.0,7.0,14.0,,,,2.0,1.0,1.0,,1.0,,1.0,,8.0,5.0,,,9.0,,,90,2019-05-03
Adelaide,2019,23,Melbourne,11,W,42,7.0,3.0,7.0,14.0,,,,3.0,3.0,,,1.0,1.0,,,8.0,6.0,,,3.0,,,84,2019-05-10
