team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
St Kilda,2020,1,North Melbourne,1,L,12,5.0,1.0,1.0,6.0,2.0,1.0,,,,,,2.0,2.0,1.0,,3.0,3.0,,1.0,,,,77,2020-03-01
St Kilda,2020,2,Western Bulldogs,2,W,12,6.0,4.0,4.0,10.0,2.0,,,,,1.0,,,,,,6.0,4.0,3.0,1.0,3.0,,1.0,79,2020-03-08
St Kilda,2020,3,Collingwood,3,L,12,5.0,4.0,3.0,8.0,1.0,1.0,1.0,2.0,,2.0,,1.0,,,,4.0,4.0,1.0,2.0,,,,77,2020-03-15
St Kilda,2020,4,Richmond,4,W,12,5.0,3.0,5.0,10.0,,,,1.0,1.0,1.0,,2.0,,1.0,,4.0,5.0,1.0,,,,,86,2020-03-22
St Kilda,2020,5,Carlton,5,W,12,5.0,2.0,1.0,6.0,2.0,,,,,1.0,,,1.0,,,6.0,,2.0,2.0,2.0,,1.0,85,2020-03-29
St Kilda,2020,6,Fremantle,6,L,12,5.0,3.0,2.0,7.0,1.0,3.0,,1.0,,,,,,,,7.0,1.0,2.0,3.0,1.0,,,80,2020-04-05
St Kilda,2020,7,Adelaide,7,W,12,2.0,2.0,2.0,4.0,2.0,,2.0,1.0,,,,2.0,,2.0,,3.0,1.0,1.0,2.0,2.0,,,86,2020-04-12
St Kilda,2020,8,Port Adelaide,8,W,12,4.0,2.0,4.0,8.0,1.0,,,2.0,,,,2.0,2.0,1.0,,6.0,2.0,2.0,1.0,2.0,,,88,2020-04-19
St Kilda,2020,9,Sydney,9,W,12,3.0,2.0,6.0,9.0,3.0,,2.0,3.0,,,,,1.0,,,8.0,3.0,2.0,1.0,1.0,,,89,2020-04-26
St Kilda,2020,10,Gold Coast,10,W,12,5.0,3.0,1.0,6.0,1.0,,1.0,4.0,,3.0,,3.0,1.0,2.0,,4.0,3.0,2.0,1.0,2.0,,,83,2020-05-03
St Kilda,2020,11,Geelong,11,L,12,2.0,3.0,3.0,5.0,,2.0,1.0,1.0,,,,,1.0,,,5.0,2.0,2.0,2.0,2.0,,,77,2020-05-10
St Kilda,2020,12,Essendon,12,W,12,5.0,6.0,2.0,7.0,3.0,1.0,,1.0,,1.0,,2.0,,2.0,,4.0,4.0,3.0,4.0,3.0,,,93,2020-05-17
St Kilda,2020,13,Brisbane Lions,13,L,12,5.0,4.0,6.0,11.0,,2.0,2.0,2.0,,1.0,1.0,3.0,,,,6.0,5.0,1.0,2.0,,,1.0,85,2020-05-24
St Kilda,2020,14,Melbourne,14,L,12,2.0,1.0,1.0,3.0,1.0,,3.0,1.0,,1.0,,,,,,2.0,1.0,,1.0,1.0,,,84,2020-05-31
St Kilda,2020,15,West Coast,17,L,12,6.0,2.0,3.0,9.0,,4.0,2.0,,,1.0,,2.0,,,,6.0,3.0,1.0,1.0,,,,86,2020-06-21
St Kilda,2020,16,Greater Western Sydney,18,W,12,6.0,5.0,3.0,9.0,1.0,2.0,,1.0,,3.0,,1.0,1.0,,,5.0,4.0,2.0,2.0,2.0,,,86,2020-06-28
St Kilda,2020,17,Western Bulldogs,EF,W,12,6.0,5.0,1.0,7.0,2.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,,5.0,3.0,4.0,2.0,1.0,,,96,2020-03-01
