team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2022,1↑,Greater Western Sydney,8,W,10,6.0,7.0,9.0,15.0,,1.0,,2.0,,3.0,2.0,1.0,,,,4.0,12.0,1.0,,,,,51,2022-04-19
Geelong,2022,2,St Kilda,9,L,10,4.0,1.0,3.0,7.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,6.0,,,1.0,,,66,2022-04-26
Geelong,2023,3↑,Sydney,6,W,10,2.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,3.0,,,,,1.0,15,2023-04-05
Geelong,2023,4,Essendon,7,W,10,7.0,3.0,8.0,15.0,,,,1.0,1.0,1.0,,3.0,,1.0,,8.0,8.0,1.0,,1.0,,,77,2023-04-12
Geelong,2023,5,Adelaide,8,W,10,6.0,3.0,9.0,15.0,1.0,,,2.0,1.0,4.0,1.0,2.0,,1.0,,5.0,10.0,2.0,1.0,2.0,,1.0,58,2023-04-19
Geelong,2023,6,Richmond,9,L,10,11.0,6.0,5.0,16.0,,1.0,,2.0,2.0,3.0,1.0,3.0,,,,6.0,10.0,1.0,1.0,1.0,,,89,2023-04-26
Geelong,2023,7,Fremantle,10,L,10,11.0,3.0,2.0,13.0,,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,,,9.0,4.0,1.0,1.0,,,,81,2023-05-03
Geelong,2023,8↑,Greater Western Sydney,11,L,10,7.0,3.0,1.0,8.0,,,,1.0,3.0,1.0,,2.0,,1.0,,4.0,5.0,1.0,,,,,30,2023-05-10
Geelong,2023,9,Western Bulldogs,12,W,10,12.0,3.0,5.0,17.0,1.0,,,7.0,2.0,5.0,2.0,1.0,2.0,,,8.0,10.0,1.0,1.0,,,2.0,71,2023-05-17
Geelong,2023,10↓,Western Bulldogs,24,L,10,5.0,2.0,3.0,8.0,,1.0,,3.0,,1.0,,1.0,1.0,,,2.0,5.0,,,,,,54,2023-08-09
Geelong,2024,11↑,Adelaide,3,W,10,,,,,,,,,,,,,,,,,,,,,,,3,2024-03-15
Geelong,2024,12,Essendon,17,W,10,10.0,8.0,3.0,13.0,1.0,1.0,,5.0,2.0,4.0,1.0,2.0,1.0,,,3.0,11.0,,1.0,1.0,,,78,2024-06-21
Geelong,2024,13,Western Bulldogs,20,L,10,4.0,2.0,3.0,7.0,,,,5.0,,,,2.0,,,,4.0,3.0,,,1.0,,,69,2024-07-12
Geelong,2024,14,St Kilda,24,L,10,4.0,3.0,3.0,7.0,1.0,,,,,2.0,,1.0,,,,4.0,3.0,1.0,1.0,,,,62,2024-08-09
Geelong,2025,15,Fremantle,2,W,10,9.0,2.0,12.0,21.0,,,,11.0,2.0,6.0,4.0,3.0,2.0,,,11.0,10.0,,,2.0,,,68,2025-03-08
Geelong,2025,16,St Kilda,3,L,10,5.0,3.0,11.0,16.0,1.0,,,7.0,,3.0,3.0,4.0,,,,8.0,9.0,,,1.0,,1.0,78,2025-03-15
Geelong,2025,17↑,Brisbane Lions,4,L,10,1.0,,3.0,4.0,,,,2.0,,1.0,,1.0,,,,1.0,2.0,,,,,,19,2025-03-22
Geelong,2025,18,Adelaide,6,W,10,8,3,5,13,,,,1,,3,2,1,1,,,5,9,1,,1,,,66,2025-04-05
Geelong,2025,19,Hawthorn,7,W,10,4,2,3,7,,1,,4,,1,2,2,,1,,4,4,,,,,,62,2025-04-12
