team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2015,1,Melbourne,12,L,8,2.0,1.0,5,7,,,,4.0,,1.0,,,,,,5.0,2,,,6.0,,,87,2015-05-17
Geelong,2015,2,Western Bulldogs,16,W,8,7.0,2.0,5,12,,,,4.0,2.0,,1.0,1.0,,,,7.0,5,1.0,,6.0,,,90,2015-06-14
Geelong,2015,3,Greater Western Sydney,17,W,8,6.0,3.0,6,12,,,,,1.0,,,1.0,,1.0,,3.0,7,,,4.0,,,96,2015-06-21
Geelong,2015,4,Brisbane Lions,18,W,8,4.0,3.0,9,13,,,,4.0,1.0,,1.0,1.0,,1.0,,1.0,13,,,2.0,,,88,2015-06-28
Geelong,2015,5,Sydney,19,W,8,8.0,4.0,7,15,,1.0,,4.0,,,,1.0,2.0,,,10.0,5,2.0,,6.0,,,91,2015-07-05
Geelong,2015,6,Hawthorn,20,L,8,7.0,6.0,13,20,,,,3.0,2.0,2.0,,1.0,,,,7.0,13,2.0,,5.0,,,89,2015-07-12
Geelong,2015,7,St Kilda,21,D,8,9.0,6.0,8,17,,,,1.0,1.0,,,1.0,2.0,1.0,,7.0,10,1.0,,2.0,,,93,2015-07-19
Geelong,2015,8,Collingwood,22,L,8,10.0,7.0,8,18,,,,1.0,2.0,1.0,,2.0,,1.0,,4.0,15,,,6.0,,,91,2015-07-26
Geelong,2015,9,Adelaide,23,W,8,5.0,2.0,7,12,,,,4.0,3.0,,,1.0,1.0,,,6.0,6,,,6.0,,,92,2015-08-02
Geelong,2016,10,Hawthorn,1,W,8,7.0,2.0,4,11,,,,2.0,,,,,1.0,,,5.0,6,,,1.0,,,84,2016-03-01
Geelong,2016,11,Greater Western Sydney,2,L,8,6.0,4.0,9,15,,,,1.0,1.0,,,,,,,4.0,11,,,4.0,,,90,2016-03-08
Geelong,2016,12,Brisbane Lions,3,W,8,7.0,6.0,5,12,,,,1.0,1.0,3.0,,3.0,1.0,1.0,,2.0,8,1.0,,3.0,,,90,2016-03-15
Geelong,2016,13,Essendon,4,W,8,6.0,3.0,6,12,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,5.0,6,1.0,,1.0,,,85,2016-03-22
