team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
North Melbourne,2025,1,Western Bulldogs,2,L,41,6,1.0,4,10,,,,6,1.0,2.0,,,2.0,,,5.0,5,,,2.0,,1.0,67,2025-03-08
North Melbourne,2025,2,Melbourne,3,W,41,4,1.0,5,9,1.0,,,2,,1.0,,4.0,1.0,2.0,,4.0,4,,,,,1.0,55,2025-03-15
North Melbourne,2025,3,Adelaide,4,L,41,3,3.0,4,7,2.0,1.0,,1,,,,1.0,,1.0,,2.0,6,,3.0,,,,72,2025-03-22
North Melbourne,2025,4,Sydney,5,L,41,8,4.0,8,16,,2.0,,1,,1.0,,4.0,3.0,2.0,,7.0,9,,1.0,1.0,,,68,2025-03-29
North Melbourne,2025,5,Gold Coast,6,L,41,3,,5,8,1.0,,,1,,1.0,,2.0,,,,3.0,5,,,,,2.0,55,2025-04-05
North Melbourne,2025,6,Carlton,7,L,41,1,,3,4,1.0,,,3,,,,3.0,,2.0,,3.0,2,,,2.0,,,67,2025-04-12
North Melbourne,2025,7,Port Adelaide,8,L,41,4,1.0,2,6,,1.0,,2,,2.0,2.0,2.0,1.0,1.0,,5.0,1,1.0,,2.0,,1.0,64,2025-04-19
North Melbourne,2025,8,Essendon,9,L,41,4,1.0,1,5,,1.0,,2,,1.0,,2.0,,1.0,,2.0,3,,1.0,1.0,,1.0,62,2025-04-26
North Melbourne,2025,9,Brisbane Lions,10,D,41,6,4.0,6,12,1.0,,,5,,2.0,1.0,3.0,2.0,1.0,,5.0,8,1.0,2.0,1.0,,,67,2025-05-03
North Melbourne,2025,10,Richmond,11,W,41,1,,6,7,1.0,,,2,,,1.0,,,,,5.0,2,,,,,,56,2025-05-10
North Melbourne,2025,11,Collingwood,12,L,41,7,3.0,1,8,1.0,,,6,,1.0,,3.0,,,,1.0,5,,2.0,1.0,,,67,2025-05-17
North Melbourne,2025,12,West Coast,14,W,41,4,,6,10,,,,4,1.0,1.0,1.0,7.0,,2.0,,7.0,4,,,3.0,1.0,1.0,69,2025-05-31
North Melbourne,2025,13,Fremantle,15,L,41,7,,5,12,1.0,,,5,,3.0,1.0,6.0,2.0,2.0,,7.0,5,,,1.0,,,62,2025-06-07
North Melbourne,2025,14,Carlton,16,W,41,7,3.0,2,9,,1.0,,5,,1.0,1.0,3.0,2.0,2.0,,5.0,4,,,1.0,,1.0,71,2025-06-14
North Melbourne,2025,15,Hawthorn,17,L,41,9,2.0,2,11,1.0,2.0,,3,,2.0,,2.0,2.0,1.0,,4.0,3,,2.0,1.0,,,71,2025-06-21
North Melbourne,2025,16,Western Bulldogs,18,L,41,4,2.0,4,8,,,,5,,1.0,,,1.0,,,5.0,4,,,1.0,,1.0,86,2025-06-28
North Melbourne,2025,17,Melbourne,19,L,41,7,5.0,6,13,,1.0,,3,1.0,,,,,,,3.0,10,,1.0,1.0,1.0,1.0,84,2025-07-05
North Melbourne,2025,18,Sydney,20,L,41,3,1.0,4,7,,,,6,,3.0,1.0,1.0,,1.0,,3.0,4,,,,,2.0,77,2025-07-12
North Melbourne,2025,19↓,Geelong,21,L,41,3,,1,4,,,,2,,2.0,,1.0,,,,,4,,,1.0,,1.0,54,2025-07-19
North Melbourne,2025,20,St Kilda,22,L,41,6,2.0,6,12,,1.0,,1,,1.0,,3.0,1.0,,,2.0,7,,1.0,,,,81,2025-07-26
North Melbourne,2025,21,Greater Western Sydney,23,L,41,2,,4,6,,,,5,,2.0,1.0,4.0,1.0,1.0,,4.0,4,,,2.0,,1.0,80,2025-08-02
North Melbourne,2025,22,Richmond,24,W,41,7,2,5,12,1,,,4,1,2,2,3,,1,,3,8,,1,1,2,2,62,2025-08-09
