team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Geelong,2021,1,North Melbourne,20,W,15,5.0,4.0,2.0,7.0,,,,2.0,1.0,,,,,,,2.0,5.0,,,5.0,,,85,2021-07-12
Geelong,2021,2,Greater Western Sydney,21,L,15,6.0,3.0,2.0,8.0,,,,6.0,2.0,,,2.0,2.0,2.0,,3.0,7.0,,,6.0,,,86,2021-07-19
Collingwood,2022,3↓,Adelaide,2,W,15,4.0,4.0,1.0,5.0,2.0,,,2.0,,3.0,1.0,2.0,,1.0,,1.0,5.0,,2.0,2.0,,1.0,71,2022-03-08
Collingwood,2022,4,Brisbane Lions,5,L,15,7.0,5.0,5.0,12.0,2.0,2.0,,1.0,,2.0,,2.0,3.0,,,8.0,5.0,1.0,2.0,4.0,1.0,,86,2022-03-29
Collingwood,2022,5↓,Essendon,6,W,15,,,,,,,,1.0,,,,,,,,,,,,1.0,,,25,2022-04-05
Collingwood,2022,6↑,Geelong,QF,L,15,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,9,2022-03-01
Collingwood,2022,7↑,Sydney,PF,L,15,3.0,,1.0,4.0,,1.0,5.0,3.0,1.0,,2.0,1.0,,,,1.0,2.0,,,2.0,,,35,2022-03-01
Collingwood,2023,8↓,Essendon,6,W,15,1.0,1.0,4.0,5.0,,,,,,1.0,,3.0,,1.0,,3.0,2.0,,,,,,40,2023-04-05
Collingwood,2023,9↓,Adelaide,7,W,15,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,,,2.0,,,1.0,,,12,2023-04-12
Collingwood,2024,10,Melbourne,14,W,15,8.0,7.0,3.0,11.0,3.0,,,3.0,,2.0,,3.0,1.0,1.0,,2.0,8.0,,3.0,2.0,,,77,2024-05-31
Collingwood,2024,11,North Melbourne,15,W,15,5.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,,1.0,1.0,3.0,3.0,1.0,,6.0,1.0,1.0,1.0,1.0,,1.0,65,2024-06-07
Collingwood,2024,12,Gold Coast,17,L,15,4.0,4.0,3.0,7.0,1.0,1.0,9.0,3.0,,2.0,,1.0,,,,3.0,4.0,,2.0,,,,67,2024-06-21
Collingwood,2024,13,Essendon,18,L,15,6.0,3.0,2.0,8.0,2.0,,10.0,5.0,2.0,3.0,1.0,1.0,,,,3.0,4.0,1.0,,2.0,,,68,2024-06-28
Collingwood,2024,14,Geelong,19,L,15,7.0,2.0,3.0,10.0,,2.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,,,6.0,3.0,1.0,1.0,3.0,,,82,2024-07-05
Collingwood,2024,15↓,Hawthorn,20,L,15,3.0,3.0,1.0,4.0,,1.0,,,,1.0,,,,,,2.0,2.0,1.0,1.0,,,,17,2024-07-20
