team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Port Adelaide,2019,1,Hawthorn,10,L,38,6,1.0,7.0,13,1.0,1.0,9,,1.0,,2.0,2.0,3.0,1.0,,8,8.0,,1.0,4.0,,,85,2019-05-03
Port Adelaide,2019,2,Western Bulldogs,15,L,38,4,2.0,8.0,12,1.0,,15,3.0,,,,3.0,,1.0,,9,5.0,,1.0,4.0,,,71,2019-06-07
Port Adelaide,2019,3,Essendon,20,W,38,7,2.0,11.0,18,,,22,2.0,2.0,5.0,7.0,1.0,2.0,1.0,,10,8.0,,,3.0,,1.0,75,2019-07-12
Port Adelaide,2019,4,Sydney,21,W,38,12,4.0,11.0,23,,1.0,19,2.0,2.0,6.0,7.0,,2.0,,,12,11.0,1.0,,5.0,,1.0,73,2019-07-19
Port Adelaide,2019,5,North Melbourne,22,L,38,3,,4.0,7,,,9,3.0,1.0,,1.0,2.0,,1.0,,5,1.0,,,2.0,,,82,2019-07-26
Port Adelaide,2020,6,Carlton,7,W,38,9,3.0,12.0,21,,,16,2.0,,1.0,4.0,3.0,1.0,,1.0,6,14.0,,,,,,83,2020-04-12
Port Adelaide,2020,7,St Kilda,8,L,38,6,3.0,14.0,20,,,14,,3.0,,4.0,6.0,4.0,4.0,,14,7.0,,,3.0,,,92,2020-04-19
Port Adelaide,2020,8,Melbourne,9,W,38,4,1.0,9.0,13,,1.0,9,1.0,,1.0,3.0,6.0,1.0,5.0,,7,7.0,,,,,,81,2020-04-26
Port Adelaide,2020,9,Western Bulldogs,10,W,38,7,3.0,11.0,18,1.0,,32,3.0,1.0,3.0,5.0,1.0,2.0,,1.0,14,4.0,2.0,1.0,3.0,,,84,2020-05-03
Port Adelaide,2020,10,Richmond,11,W,38,6,5.0,6.0,12,2.0,,11,6.0,,1.0,,2.0,1.0,1.0,,10,3.0,4.0,2.0,2.0,,,74,2020-05-10
Port Adelaide,2020,11,Geelong,12,L,38,8,3.0,4.0,12,,,9,2.0,1.0,2.0,,2.0,1.0,1.0,,4,8.0,1.0,,1.0,,1.0,70,2020-05-17
Port Adelaide,2020,12,Essendon,17,W,38,3,,5.0,8,1.0,,10,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,6,2.0,,,2.0,,,84,2020-06-21
Port Adelaide,2020,13,Collingwood,18,W,38,6,2.0,2.0,8,,,4,1.0,,1.0,1.0,6.0,1.0,3.0,,5,4.0,2.0,,1.0,,,80,2020-06-28
Port Adelaide,2020,14,Geelong,QF,W,38,7,1.0,7.0,14,1.0,1.0,4,1.0,,3.0,1.0,3.0,1.0,2.0,,5,7.0,,1.0,1.0,,,85,2020-03-01
Port Adelaide,2020,15,Richmond,PF,L,38,4,,2.0,6,1.0,,14,1.0,,1.0,,5.0,4.0,5.0,,6,,,,1.0,,,87,2020-03-01
Port Adelaide,2021,16,North Melbourne,1,W,38,7,4.0,8.0,15,,,7,2.0,,3.0,2.0,2.0,,1.0,,4,10.0,,2.0,,,1.0,83,2021-03-01
Port Adelaide,2021,17,Essendon,2,W,38,8,3.0,3.0,11,2.0,,10,2.0,,1.0,1.0,2.0,2.0,1.0,,7,5.0,1.0,1.0,5.0,,,90,2021-03-08
Port Adelaide,2021,18,West Coast,3,L,38,2,,3.0,5,,,6,4.0,,1.0,2.0,5.0,2.0,2.0,,3,2.0,,,1.0,,,64,2021-03-15
Port Adelaide,2021,19,Richmond,4,W,38,2,1.0,5.0,7,,,5,,,,1.0,,1.0,,,4,4.0,,,1.0,,,75,2021-03-22
Port Adelaide,2021,20,Western Bulldogs,9,L,38,14,3.0,4.0,18,,,37,3.0,4.0,5.0,2.0,10.0,2.0,4.0,,6,10.0,,,5.0,,,86,2021-04-26
Port Adelaide,2021,21,Collingwood,10,W,38,12,9.0,9.0,21,,,10,1.0,2.0,5.0,3.0,1.0,,,,9,11.0,4.0,,3.0,,,86,2021-05-03
Port Adelaide,2021,22,Fremantle,11,W,38,11,4.0,9.0,20,2.0,,21,3.0,1.0,5.0,4.0,3.0,1.0,2.0,,9,12.0,1.0,1.0,1.0,,1.0,89,2021-05-10
Port Adelaide,2021,23,Geelong,13,L,38,5,3.0,12.0,17,,,29,1.0,,2.0,4.0,3.0,3.0,2.0,,10,7.0,,,1.0,,,85,2021-05-24
Port Adelaide,2021,24,Gold Coast,14,W,38,5,3.0,10.0,15,,1.0,14,6.0,,2.0,3.0,2.0,2.0,1.0,,11,5.0,3.0,,3.0,,,74,2021-05-31
Port Adelaide,2021,25,St Kilda,18,W,38,7,1.0,5.0,12,,,10,5.0,1.0,2.0,1.0,3.0,3.0,1.0,,7,6.0,,,1.0,,1.0,80,2021-06-28
Port Adelaide,2021,26,Collingwood,19,W,38,13,5.0,4.0,17,2.0,,6,1.0,,4.0,2.0,4.0,1.0,,,9,6.0,2.0,3.0,3.0,,2.0,85,2021-07-05
Port Adelaide,2021,27,Greater Western Sydney,20,W,38,9,3.0,4.0,13,3.0,1.0,12,1.0,,2.0,2.0,6.0,1.0,2.0,,5,8.0,,1.0,1.0,,1.0,79,2021-07-12
Port Adelaide,2021,28,Adelaide,21,W,38,9,5.0,3.0,12,,2.0,4,3.0,,,,3.0,,1.0,,8,5.0,3.0,2.0,1.0,,,80,2021-07-19
Port Adelaide,2021,29,Carlton,22,W,38,9,6.0,8.0,17,1.0,1.0,23,4.0,1.0,2.0,1.0,,3.0,,,12,5.0,3.0,2.0,2.0,,,77,2021-07-26
Port Adelaide,2021,30,Western Bulldogs,23,W,38,4,4.0,4.0,8,2.0,,5,1.0,,2.0,1.0,,,,,4,3.0,1.0,2.0,1.0,,,77,2021-08-02
Port Adelaide,2021,31,Geelong,QF,W,38,7,4.0,7.0,14,1.0,,11,2.0,1.0,1.0,1.0,3.0,2.0,2.0,,7,6.0,,1.0,2.0,,,78,2021-03-01
Port Adelaide,2021,32,Western Bulldogs,PF,L,38,5,,4.0,9,,,18,1.0,,2.0,2.0,3.0,1.0,1.0,,6,1.0,,,5.0,,,74,2021-03-01
Sydney,2022,33,North Melbourne,4,W,19,5,4.0,7.0,12,,,27,1.0,1.0,1.0,3.0,7.0,1.0,5.0,,2,9.0,,,5.0,,,70,2022-03-22
Sydney,2022,34,West Coast,5,W,19,13,4.0,11.0,24,1.0,,25,2.0,1.0,5.0,5.0,5.0,3.0,1.0,2.0,13,11.0,,,5.0,,,86,2022-03-29
Sydney,2022,35,Hawthorn,6,W,19,10,7.0,9.0,19,,1.0,34,2.0,,5.0,6.0,2.0,1.0,2.0,2.0,8,10.0,1.0,,5.0,,,81,2022-04-05
Sydney,2022,36,Brisbane Lions,7,L,19,8,4.0,15.0,23,,1.0,25,3.0,2.0,,4.0,6.0,2.0,3.0,,12,13.0,,1.0,5.0,,,84,2022-04-12
Sydney,2022,37,Gold Coast,8,L,19,7,2.0,9.0,16,,,16,2.0,1.0,5.0,4.0,6.0,4.0,4.0,,9,8.0,,,3.0,,,74,2022-04-19
Sydney,2022,38,Essendon,9,W,19,8,4.0,4.0,12,,2.0,14,1.0,,,,2.0,2.0,1.0,,6,7.0,1.0,2.0,2.0,,,73,2022-04-26
Sydney,2022,39,Carlton,10,L,19,4,,8.0,12,,,10,2.0,,1.0,1.0,5.0,3.0,3.0,,7,5.0,,,1.0,,,56,2022-05-03
Sydney,2022,40,Richmond,11,W,19,11,1.0,8.0,19,,,26,2.0,2.0,3.0,9.0,5.0,4.0,3.0,,16,4.0,,1.0,3.0,,1.0,80,2022-05-10
Sydney,2022,41,Melbourne,12,W,19,6,1.0,7.0,13,,,16,1.0,1.0,2.0,5.0,3.0,2.0,3.0,,9,5.0,1.0,,5.0,,,77,2022-05-17
Sydney,2022,42,Port Adelaide,14,L,19,7,1.0,3.0,10,1.0,,23,,,1.0,4.0,6.0,3.0,4.0,,9,3.0,,,1.0,,,76,2022-05-31
Sydney,2022,43↓,Western Bulldogs,17,W,19,3,1.0,,3,,,10,,,,,1.0,,,,4,1.0,,,3.0,,,27,2022-06-21
Sydney,2023,44↓,Gold Coast,1,W,19,7,4.0,13.0,20,,,15,3.0,1.0,1.0,5.0,5.0,1.0,3.0,,7,13.0,,,2.0,,,74,2023-03-01
Sydney,2023,45,Hawthorn,2,W,19,8,3.0,5.0,13,,,17,2.0,1.0,3.0,4.0,5.0,3.0,1.0,,7,5.0,,,1.0,,,75,2023-03-08
Sydney,2023,46,Melbourne,3,L,19,8,6.0,8.0,16,,,17,2.0,,5.0,5.0,5.0,,2.0,,8,8.0,1.0,1.0,2.0,,,80,2023-03-15
Sydney,2023,47,Port Adelaide,4,L,19,8,2.0,8.0,16,1.0,,25,2.0,1.0,5.0,7.0,4.0,5.0,2.0,,13,5.0,,,4.0,,,80,2023-03-22
Sydney,2023,48,Richmond,5,W,19,10,1.0,7.0,17,,,30,1.0,3.0,3.0,8.0,8.0,1.0,2.0,,11,6.0,,,3.0,,2.0,80,2023-03-29
Sydney,2023,49,Geelong,6,L,19,11,5.0,3.0,14,,,28,3.0,,4.0,3.0,4.0,1.0,2.0,,2,10.0,,,5.0,,,74,2023-04-05
Sydney,2023,50,Greater Western Sydney,7,L,19,13,5.0,11.0,24,1.0,,34,4.0,1.0,6.0,4.0,4.0,1.0,1.0,,12,12.0,1.0,1.0,2.0,,1.0,75,2023-04-12
Sydney,2023,51,Collingwood,8,L,19,5,1.0,6.0,11,,1.0,9,1.0,,1.0,1.0,3.0,,,,5,6.0,1.0,1.0,2.0,,,51,2023-04-19
Sydney,2023,52↓,North Melbourne,10,W,19,5,2.0,1.0,6,2.0,,7,,1.0,1.0,,4.0,1.0,1.0,,3,3.0,,1.0,3.0,,,52,2023-05-03
Sydney,2024,53,Port Adelaide,22,L,19,3,2.0,3.0,6,,1.0,10,2.0,1.0,,1.0,4.0,,1.0,,4,2.0,1.0,1.0,2.0,,,79,2024-07-26
Sydney,2025,54,Fremantle,3,W,19,7,2.0,5.0,12,1.0,,7,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,9,1.0,1.0,1.0,2.0,,,68,2025-03-15
Sydney,2025,55,North Melbourne,5,W,19,7,4.0,7.0,14,1.0,,7,1.0,1.0,,1.0,3.0,,,,2,11.0,,2.0,,1.0,1.0,70,2025-03-29
Sydney,2025,56,Collingwood,6,L,19,4,1.0,11.0,15,,1.0,11,,,1.0,2.0,2.0,,1.0,,6,8.0,,,1.0,,,63,2025-04-05
Sydney,2025,57,Gold Coast,8,L,19,6,4.0,3.0,9,1.0,,8,1.0,1.0,2.0,1.0,6.0,2.0,2.0,,2,5.0,,2.0,2.0,,2.0,70,2025-04-19
Sydney,2025,58,Carlton,11,W,19,6,2.0,4.0,10,,1.0,5,1.0,,1.0,2.0,3.0,2.0,1.0,,6,4.0,1.0,1.0,1.0,,1.0,53,2025-05-10
Sydney,2025,59,Melbourne,12,L,19,5,2.0,4.0,9,2.0,,10,3.0,1.0,2.0,1.0,3.0,1.0,1.0,,8,1.0,1.0,2.0,,,1.0,62,2025-05-17
Sydney,2025,60,Adelaide,13,L,19,6,2,5,11,,,5,,,1,4,2,,,,8,1,1,1,4,,,61,2025-05-24
