team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Richmond,2025,1,Carlton,2,W,22,6,2,12.0,18,2.0,,,2.0,,1.0,,4.0,,,,6,11,1.0,,2.0,,2.0,80,2025-03-08
Richmond,2025,2,Port Adelaide,3,L,22,7,4,3.0,10,1.0,,,4.0,1.0,1.0,1.0,3.0,1.0,,,3,7,,,1.0,,,81,2025-03-15
Richmond,2025,3,St Kilda,4,L,22,7,5,2.0,9,,1.0,,1.0,,2.0,1.0,1.0,1.0,,,3,6,1.0,,1.0,,1.0,83,2025-03-22
Richmond,2025,4,Brisbane Lions,5,L,22,8,2,16.0,24,2.0,1.0,,4.0,,3.0,2.0,3.0,4.0,,,14,11,1.0,,,,4.0,83,2025-03-29
Richmond,2025,5,Gold Coast,7,W,22,4,5,12.0,16,1.0,1.0,,1.0,,1.0,2.0,1.0,,1.0,,8,8,,2.0,,,,82,2025-04-12
Richmond,2025,6,Melbourne,8,L,22,3,2,7.0,10,1.0,,,2.0,,1.0,3.0,1.0,1.0,1.0,,6,4,,,,,1.0,83,2025-04-19
Richmond,2025,7,Hawthorn,9,L,22,5,3,7.0,12,,1.0,,4.0,,3.0,2.0,4.0,,,,7,5,1.0,1.0,1.0,,,80,2025-04-26
Richmond,2025,8,West Coast,10,W,22,7,4,8.0,15,,,,4.0,,5.0,4.0,4.0,1.0,1.0,,7,8,1.0,,1.0,,1.0,78,2025-05-03
Richmond,2025,9,North Melbourne,11,L,22,6,5,10.0,16,2.0,1.0,,3.0,,2.0,1.0,,3.0,,,7,9,2.0,1.0,1.0,,,87,2025-05-10
Richmond,2025,10,Essendon,12,L,22,2,1,,2,2.0,,,,,,,,,,,1,1,1.0,1.0,,,,64,2025-05-17
Richmond,2025,11↓,Geelong,18,L,22,,,,,,,,1,,,,,,,,,,,,,,,3,2025-06-28
