team,year,games_played,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,date
Essendon,2015,1,St Kilda,5,W,30,4.0,4.0,8.0,12.0,,2.0,,4.0,,1.0,2.0,3.0,1.0,2.0,,7.0,6.0,,2.0,2.0,,,88,2015-03-29
Essendon,2015,2↓,North Melbourne,7,L,30,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,38,2015-04-12
Essendon,2015,3↑,North Melbourne,16,L,30,2.0,1.0,5.0,7.0,,,,,,,,,,,,2.0,5.0,,,1.0,,,31,2015-06-14
Essendon,2015,4,Port Adelaide,17,L,30,6.0,2.0,8.0,14.0,2.0,1.0,,4.0,,3.0,,,1.0,,,7.0,7.0,1.0,,3.0,1.0,1.0,83,2015-06-21
Essendon,2015,5,Western Bulldogs,18,L,30,4.0,3.0,3.0,7.0,1.0,,,5.0,,2.0,,3.0,1.0,,,1.0,7.0,,2.0,1.0,,1.0,88,2015-06-28
Essendon,2015,6↑,Greater Western Sydney,19,L,30,2.0,2.0,2.0,4.0,,,,1.0,,1.0,,,,,,1.0,3.0,,,,,,26,2015-07-05
Essendon,2015,7↓,Adelaide,20,L,30,4.0,2.0,2.0,6.0,,,,,,1.0,,3.0,,1.0,,1.0,5.0,,,,,,50,2015-07-12
Essendon,2015,8,Collingwood,23,W,30,5.0,1.0,8.0,13.0,,,,5.0,1.0,2.0,1.0,3.0,3.0,2.0,,7.0,7.0,1.0,,1.0,,,89,2015-08-02
Essendon,2016,9,Gold Coast,1,L,30,7.0,3.0,6.0,13.0,1.0,,,,1.0,5.0,,2.0,1.0,2.0,,2.0,11.0,,,1.0,,,78,2016-03-01
Essendon,2016,10,Melbourne,2,W,30,7.0,7.0,8.0,15.0,1.0,1.0,,2.0,,3.0,,3.0,2.0,1.0,,3.0,14.0,1.0,2.0,1.0,1.0,,76,2016-03-08
Essendon,2016,11,Port Adelaide,3,L,30,7.0,6.0,7.0,14.0,,,,7.0,1.0,2.0,2.0,1.0,,,,6.0,9.0,,,2.0,,,77,2016-03-15
Essendon,2016,12,Geelong,4,L,30,3.0,,10.0,13.0,,,,1.0,,,1.0,1.0,1.0,1.0,,2.0,11.0,,,2.0,,,80,2016-03-22
Essendon,2016,13,Collingwood,5,L,30,12.0,4.0,7.0,19.0,1.0,,,6.0,1.0,3.0,3.0,5.0,2.0,1.0,,4.0,15.0,,,1.0,,,70,2016-03-29
Essendon,2016,14,Carlton,6,L,30,9.0,5.0,11.0,20.0,,,2.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,,5.0,15.0,,,1.0,,,68,2016-04-05
Essendon,2016,15,North Melbourne,8,L,30,12.0,8.0,5.0,17.0,2.0,,,2.0,1.0,4.0,,3.0,1.0,1.0,,3.0,13.0,,1.0,1.0,,1.0,95,2016-04-19
Essendon,2016,16,St Kilda,9,L,30,8.0,6.0,4.0,12.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,2.0,1.0,,6.0,8.0,1.0,1.0,1.0,,,89,2016-04-26
Essendon,2016,17,Richmond,10,L,30,6.0,3.0,6.0,12.0,,,,3.0,1.0,6.0,1.0,3.0,,,,3.0,9.0,,,2.0,,1.0,86,2016-05-03
Essendon,2016,18,Fremantle,11,L,30,10.0,6.0,2.0,12.0,,1.0,,1.0,1.0,4.0,,,1.0,,,3.0,10.0,1.0,1.0,,,,84,2016-05-10
Essendon,2016,19,Hawthorn,12,L,30,3.0,2.0,11.0,14.0,1.0,,,7.0,,1.0,2.0,1.0,1.0,,,7.0,7.0,,,,,,82,2016-05-17
Essendon,2016,20,St Kilda,16,L,30,9.0,4.0,12.0,21.0,,,1.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,,7.0,14.0,,,1.0,,,74,2016-06-14
Essendon,2016,21,Richmond,17,L,30,7.0,2.0,10.0,17.0,,1.0,1.0,5.0,,2.0,,3.0,,1.0,,5.0,11.0,,,,,1.0,78,2016-06-21
Essendon,2016,22,Brisbane Lions,18,L,30,11.0,7.0,8.0,19.0,1.0,,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,,9.0,11.0,2.0,1.0,1.0,,,69,2016-06-28
Essendon,2016,23,Adelaide,19,L,30,6.0,4.0,9.0,15.0,1.0,,,2.0,1.0,1.0,,1.0,,1.0,,4.0,11.0,2.0,,3.0,,,84,2016-07-05
Essendon,2016,24,Western Bulldogs,22,L,30,7.0,5.0,6.0,13.0,,1.0,,4.0,2.0,4.0,3.0,3.0,,1.0,,7.0,7.0,1.0,,,,1.0,82,2016-07-26
Essendon,2016,25,Carlton,23,W,30,10.0,9.0,4.0,14.0,3.0,2.0,,5.0,1.0,,,1.0,2.0,,,5.0,10.0,2.0,2.0,1.0,,,84,2016-08-02
Essendon,2017,26,Hawthorn,1,W,30,6.0,5.0,5.0,11.0,,2.0,,4.0,,,,1.0,1.0,,,5.0,6.0,,2.0,,,,84,2017-03-01
Essendon,2017,27,Brisbane Lions,2,W,30,11.0,7.0,4.0,15.0,1.0,1.0,,2.0,,4.0,2.0,5.0,1.0,3.0,,6.0,9.0,1.0,2.0,,,,90,2017-03-08
Essendon,2017,28,Carlton,3,L,30,2.0,1.0,4.0,6.0,1.0,,,2.0,,,,1.0,,,,5.0,1.0,1.0,1.0,2.0,,,73,2017-03-15
Essendon,2017,29,Adelaide,4,L,30,8.0,5.0,7.0,15.0,2.0,,,3.0,1.0,3.0,,2.0,,,,2.0,12.0,,2.0,1.0,,,83,2017-03-22
Essendon,2017,30,Sydney,14,L,30,8.0,5.0,8.0,16.0,,1.0,,1.0,1.0,3.0,3.0,,,,,5.0,13.0,,1.0,3.0,,,69,2017-05-31
Essendon,2017,31,Brisbane Lions,15,L,30,12.0,3.0,7.0,19.0,,,,7.0,,3.0,3.0,4.0,,,,8.0,11.0,,1.0,3.0,,,71,2017-06-07
Essendon,2018,32,Adelaide,1,W,4,11.0,3.0,12.0,23.0,,,,2.0,1.0,3.0,1.0,4.0,3.0,3.0,,7.0,17.0,,,1.0,,,80,2018-03-01
Essendon,2018,33,Fremantle,2,L,4,11.0,2.0,4.0,15.0,1.0,,,3.0,2.0,2.0,3.0,3.0,1.0,1.0,,6.0,7.0,,,,,,66,2018-03-08
Essendon,2018,34,Geelong,9,W,4,11.0,5.0,5.0,16.0,,,,8.0,2.0,5.0,6.0,3.0,,1.0,,7.0,9.0,,,1.0,,,75,2018-04-26
Essendon,2018,35,Greater Western Sydney,10,W,4,8.0,1.0,9.0,17.0,1.0,,,6.0,1.0,1.0,2.0,3.0,,2.0,,11.0,6.0,,,,,,77,2018-05-03
Essendon,2018,36,Richmond,11,L,4,10.0,4.0,10.0,20.0,,,,5.0,1.0,2.0,4.0,1.0,2.0,,,10.0,8.0,,1.0,1.0,,1.0,80,2018-05-10
Essendon,2018,37,Brisbane Lions,12,W,4,7.0,1.0,11.0,18.0,,,,6.0,1.0,2.0,1.0,2.0,1.0,1.0,,7.0,11.0,,,2.0,,,81,2018-05-17
Essendon,2018,38,West Coast,14,W,4,15.0,6.0,9.0,24.0,1.0,1.0,,2.0,1.0,2.0,5.0,3.0,,1.0,,9.0,16.0,,1.0,,,,73,2018-05-31
Essendon,2018,39,North Melbourne,15,W,4,13.0,5.0,9.0,22.0,,2.0,,7.0,2.0,4.0,2.0,2.0,,,,8.0,14.0,,1.0,1.0,,,78,2018-06-07
Essendon,2018,40,Collingwood,16,L,4,8.0,3.0,6.0,14.0,1.0,,,1.0,,1.0,3.0,,,,,7.0,6.0,1.0,1.0,2.0,,1.0,77,2018-06-14
Essendon,2018,41,Gold Coast,17,W,4,15.0,6.0,11.0,26.0,,2.0,,5.0,1.0,10.0,2.0,,,,,11.0,13.0,2.0,3.0,3.0,,3.0,81,2018-06-21
Essendon,2018,42,Fremantle,18,W,4,11.0,4.0,5.0,16.0,,1.0,,3.0,,4.0,2.0,3.0,,1.0,,9.0,8.0,,1.0,2.0,,1.0,80,2018-06-28
Essendon,2018,43,Sydney,19,W,4,12.0,3.0,3.0,15.0,,,,6.0,,7.0,1.0,2.0,2.0,1.0,,5.0,10.0,1.0,,3.0,,,73,2018-07-05
Essendon,2018,44,Hawthorn,20,L,4,7.0,5.0,3.0,10.0,,,1.0,6.0,,1.0,,,,,,3.0,7.0,2.0,,1.0,,,63,2018-07-12
Essendon,2018,45,St Kilda,21,W,4,11.0,7.0,11.0,22.0,2.0,2.0,,6.0,,4.0,1.0,1.0,1.0,1.0,1.0,5.0,16.0,,3.0,,,,81,2018-07-19
Essendon,2018,46,Richmond,22,L,4,5.0,4.0,10.0,15.0,,,,1.0,1.0,1.0,1.0,,1.0,,,6.0,9.0,,,1.0,,,75,2018-07-26
Essendon,2018,47,Port Adelaide,23,W,4,13.0,5.0,2.0,15.0,3.0,,,11.0,1.0,5.0,3.0,1.0,2.0,1.0,,7.0,7.0,1.0,1.0,,,1.0,75,2018-08-02
Essendon,2019,48,Greater Western Sydney,1,L,4,12.0,4.0,6.0,18.0,2.0,1.0,,2.0,1.0,2.0,1.0,2.0,,,,5.0,12.0,,2.0,3.0,1.0,,87,2019-03-01
Essendon,2019,49,St Kilda,2,L,4,8.0,4.0,7.0,15.0,,,,3.0,,1.0,1.0,4.0,1.0,3.0,,3.0,12.0,1.0,,1.0,,,72,2019-03-08
Essendon,2019,50,Geelong,7,L,4,10.0,8.0,6.0,16.0,,2.0,,3.0,2.0,3.0,1.0,2.0,1.0,1.0,,4.0,13.0,,2.0,,,,72,2019-04-12
Essendon,2019,51,Fremantle,9,W,4,9.0,4.0,15.0,24.0,,,,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,13.0,13.0,1.0,,2.0,,1.0,69,2019-04-26
Essendon,2019,52,Richmond,10,L,4,13.0,5.0,9.0,22.0,3.0,,,3.0,,4.0,2.0,3.0,,2.0,,10.0,10.0,1.0,1.0,,,,79,2019-05-03
Essendon,2019,53,Carlton,11,W,4,10.0,3.0,6.0,16.0,1.0,,,4.0,1.0,3.0,3.0,3.0,2.0,2.0,,9.0,8.0,,1.0,3.0,1.0,,77,2019-05-10
Essendon,2019,54,Hawthorn,13,W,4,13.0,3.0,8.0,21.0,2.0,,,2.0,2.0,2.0,6.0,3.0,1.0,1.0,,12.0,9.0,,,2.0,,1.0,74,2019-05-24
Essendon,2019,55,West Coast,14,L,4,10.0,3.0,5.0,15.0,,,,7.0,1.0,3.0,2.0,6.0,,4.0,,5.0,10.0,,,1.0,,1.0,86,2019-05-31
Essendon,2019,56,Greater Western Sydney,15,W,4,12.0,3.0,9.0,21.0,1.0,,,7.0,2.0,6.0,3.0,4.0,1.0,1.0,,8.0,12.0,,,3.0,,,79,2019-06-07
Essendon,2019,57,Sydney,16,W,4,11.0,2.0,6.0,17.0,1.0,,,4.0,1.0,3.0,1.0,1.0,3.0,,,3.0,14.0,,1.0,1.0,2.0,,71,2019-06-14
